,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250604090100,1748998860000,88.0,90.0,88.0,90.0,10,4800.0,0.0,5818,87.5,0
20250604090200,1748998920000,90.0,90.0,90.0,90.0,0,0.0,0.0,5818,90.0,0
20250604090300,1748998980000,91.0,92.0,91.0,91.0,49,18657.0,0.0,5818,90.0,0
20250604090400,1748999040000,92.5,93.5,92.5,93.0,76,36290.0,0.0,5818,91.0,0
20250604090500,1748999100000,93.5,94.0,93.5,93.5,6,2865.0,0.0,5818,93.0,0
20250604090600,1748999160000,93.0,93.0,91.5,91.5,45,21487.0,0.0,5818,93.5,0
20250604090700,1748999220000,91.5,91.5,91.5,91.5,19,9072.0,0.0,5818,91.5,0
20250604090800,1748999280000,92.0,92.0,91.5,92.0,10,4775.0,0.0,5818,91.5,0
20250604090900,1748999340000,92.0,92.0,92.0,92.0,0,0.0,0.0,5818,92.0,0
20250604091000,1748999400000,91.5,91.5,91.5,91.5,20,9550.0,0.0,5818,92.0,0
20250604091100,1748999460000,91.5,91.5,91.5,91.5,2,955.0,0.0,5818,91.5,0
20250604091200,1748999520000,91.5,92.5,91.5,91.5,25,11937.0,0.0,5807,91.5,0
20250604091300,1748999580000,91.0,91.0,91.0,91.0,30,14325.0,0.0,5777,91.5,0
20250604091400,1748999640000,90.5,90.5,90.5,90.5,20,9550.0,0.0,5757,91.0,0
20250604091500,1748999700000,91.0,91.0,91.0,91.0,61,23480.0,0.0,5751,90.5,0
20250604091600,1748999760000,90.0,90.0,90.0,90.0,31,14725.0,0.0,5751,91.0,0
20250604091700,1748999820000,90.0,90.0,88.5,88.5,52,24700.0,0.0,5741,90.0,0
20250604091800,1748999880000,90.0,90.0,90.0,90.0,6,2850.0,0.0,5735,88.5,0
20250604091900,1748999940000,90.0,90.0,89.5,90.0,30,14250.0,0.0,5734,90.0,0
20250604092000,1749000000000,91.5,92.0,91.5,91.5,42,19950.0,0.0,5742,90.0,0
20250604092100,1749000060000,91.0,91.5,91.0,91.5,17,8075.0,0.0,5742,91.5,0
20250604092200,1749000120000,91.5,91.5,91.5,91.5,0,0.0,0.0,5742,91.5,0
20250604092300,1749000180000,92.0,92.5,92.0,92.5,4,1900.0,0.0,5742,91.5,0
20250604092400,1749000240000,93.0,93.0,92.0,92.0,14,6650.0,0.0,5742,92.5,0
20250604092500,1749000300000,92.0,92.0,92.0,92.0,23,4730.0,0.0,5731,92.0,0
20250604092600,1749000360000,93.0,93.0,93.0,93.0,15,7087.0,0.0,5736,92.0,0
20250604092700,1749000420000,92.5,92.5,92.5,92.5,10,4725.0,0.0,5726,93.0,0
20250604092800,1749000480000,92.5,92.5,91.0,91.0,32,15120.0,0.0,5706,92.5,0
20250604092900,1749000540000,91.0,91.0,90.5,91.0,18,8505.0,0.0,5706,91.0,0
20250604093000,1749000600000,91.0,91.0,91.0,91.0,0,0.0,0.0,5706,91.0,0
20250604093100,1749000660000,90.5,91.0,90.5,91.0,37,17482.0,0.0,5706,91.0,0
20250604093200,1749000720000,90.5,90.5,90.5,90.5,2,945.0,0.0,5705,91.0,0
20250604093300,1749000780000,90.5,90.5,90.5,90.5,0,0.0,0.0,5705,90.5,0
20250604093400,1749000840000,91.0,91.0,90.0,90.0,10,4725.0,0.0,5704,90.5,0
20250604093500,1749000900000,89.0,89.0,89.0,89.0,1,472.0,0.0,5704,90.0,0
20250604093600,1749000960000,89.0,89.0,89.0,89.0,0,0.0,0.0,5704,89.0,0
20250604093700,1749001020000,89.0,89.0,89.0,89.0,0,0.0,0.0,5704,89.0,0
20250604093800,1749001080000,89.0,89.0,89.0,89.0,0,0.0,0.0,5704,89.0,0
20250604093900,1749001140000,89.0,89.0,89.0,89.0,1,472.0,0.0,5704,89.0,0
20250604094000,1749001200000,88.5,89.0,88.5,89.0,12,5670.0,0.0,5704,89.0,0
20250604094100,1749001260000,89.0,89.0,89.0,89.0,0,0.0,0.0,5704,89.0,0
20250604094200,1749001320000,88.5,88.5,87.5,87.5,47,22207.0,0.0,5696,89.0,0
20250604094300,1749001380000,87.5,87.5,85.0,85.0,26,12285.0,0.0,5695,87.5,0
20250604094400,1749001440000,86.0,86.0,86.0,86.0,2,945.0,0.0,5695,85.0,0
20250604094500,1749001500000,86.0,86.5,85.0,86.0,94,37452.0,0.0,5680,86.0,0
20250604094600,1749001560000,86.5,86.5,86.0,86.0,88,41360.0,0.0,5680,86.0,0
20250604094700,1749001620000,86.5,86.5,86.0,86.5,17,765.0,0.0,5680,86.0,0
20250604094800,1749001680000,87.0,87.0,87.0,87.0,1,467.0,0.0,5679,86.5,0
20250604094900,1749001740000,86.5,86.5,86.5,86.5,2,935.0,0.0,5679,87.0,0
20250604095000,1749001800000,87.5,87.5,86.5,86.5,7,3272.0,0.0,5679,86.5,0
20250604095100,1749001860000,86.5,86.5,86.5,86.5,0,0.0,0.0,5679,86.5,0
