option_code,price,option_type,strike,time_to_expire
jd2508-C-3150.DF,389.5,call,3150,0.038356164383561646
jd2508-C-3200.DF,341.0,call,3200,0.038356164383561646
jd2508-C-3250.DF,293.5,call,3250,0.038356164383561646
jd2508-C-3300.DF,247.5,call,3300,0.038356164383561646
jd2508-C-3350.DF,204.0,call,3350,0.038356164383561646
jd2508-C-3400.DF,164.0,call,3400,0.038356164383561646
jd2508-C-3450.DF,128.5,call,3450,0.038356164383561646
jd2508-C-3500.DF,97.5,call,3500,0.038356164383561646
jd2508-C-3550.DF,71.5,call,3550,0.038356164383561646
jd2508-C-3600.DF,50.5,call,3600,0.038356164383561646
jd2508-C-3650.DF,34.5,call,3650,0.038356164383561646
jd2508-C-3700.DF,23.0,call,3700,0.038356164383561646
jd2508-C-3750.DF,14.5,call,3750,0.038356164383561646
jd2508-C-3800.DF,9.0,call,3800,0.038356164383561646
jd2508-C-3850.DF,5.0,call,3850,0.038356164383561646
jd2508-C-3900.DF,3.0,call,3900,0.038356164383561646
jd2508-C-3950.DF,1.5,call,3950,0.038356164383561646
jd2508-C-4000.DF,0.5,call,4000,0.038356164383561646
jd2508-C-4100.DF,0.5,call,4100,0.038356164383561646
jd2508-C-4200.DF,0.5,call,4200,0.038356164383561646
jd2508-C-4300.DF,0.5,call,4300,0.038356164383561646
jd2508-C-4400.DF,0.5,call,4400,0.038356164383561646
jd2508-C-4600.DF,0.5,call,4600,0.038356164383561646
jd2508-P-3150.DF,1.0,put,3150,0.038356164383561646
jd2508-P-3200.DF,2.0,put,3200,0.038356164383561646
jd2508-P-3250.DF,4.5,put,3250,0.038356164383561646
jd2508-P-3300.DF,8.5,put,3300,0.038356164383561646
jd2508-P-3350.DF,15.5,put,3350,0.038356164383561646
jd2508-P-3400.DF,25.5,put,3400,0.038356164383561646
jd2508-P-3450.DF,39.5,put,3450,0.038356164383561646
jd2508-P-3500.DF,58.5,put,3500,0.038356164383561646
jd2508-P-3550.DF,82.5,put,3550,0.038356164383561646
jd2508-P-3600.DF,111.5,put,3600,0.038356164383561646
jd2508-P-3650.DF,145.5,put,3650,0.038356164383561646
jd2508-P-3700.DF,184.0,put,3700,0.038356164383561646
jd2508-P-3750.DF,225.5,put,3750,0.038356164383561646
jd2508-P-3800.DF,270.0,put,3800,0.038356164383561646
jd2508-P-3850.DF,316.0,put,3850,0.038356164383561646
jd2508-P-3900.DF,364.0,put,3900,0.038356164383561646
jd2508-P-3950.DF,412.5,put,3950,0.038356164383561646
jd2508-P-4000.DF,462.0,put,4000,0.038356164383561646
jd2508-P-4100.DF,561.0,put,4100,0.038356164383561646
jd2508-P-4200.DF,661.0,put,4200,0.038356164383561646
jd2508-P-4300.DF,761.0,put,4300,0.038356164383561646
jd2508-P-4400.DF,861.0,put,4400,0.038356164383561646
jd2508-P-4600.DF,1061.0,put,4600,0.038356164383561646
jd2509-C-3250.DF,430.5,call,3250,0.12876712328767123
jd2509-C-3300.DF,385.0,call,3300,0.12876712328767123
jd2509-C-3350.DF,341.0,call,3350,0.12876712328767123
jd2509-C-3400.DF,299.0,call,3400,0.12876712328767123
jd2509-C-3450.DF,259.5,call,3450,0.12876712328767123
jd2509-C-3500.DF,222.5,call,3500,0.12876712328767123
jd2509-C-3550.DF,189.0,call,3550,0.12876712328767123
jd2509-C-3600.DF,158.5,call,3600,0.12876712328767123
jd2509-C-3650.DF,131.0,call,3650,0.12876712328767123
jd2509-C-3700.DF,107.0,call,3700,0.12876712328767123
jd2509-C-3750.DF,86.0,call,3750,0.12876712328767123
jd2509-C-3800.DF,68.5,call,3800,0.12876712328767123
jd2509-C-3850.DF,53.5,call,3850,0.12876712328767123
jd2509-C-3900.DF,41.5,call,3900,0.12876712328767123
jd2509-C-3950.DF,31.5,call,3950,0.12876712328767123
jd2509-C-4000.DF,24.0,call,4000,0.12876712328767123
jd2509-C-4100.DF,13.0,call,4100,0.12876712328767123
jd2509-C-4200.DF,6.5,call,4200,0.12876712328767123
jd2509-C-4300.DF,3.0,call,4300,0.12876712328767123
jd2509-C-4400.DF,1.5,call,4400,0.12876712328767123
jd2509-C-4600.DF,0.5,call,4600,0.12876712328767123
jd2509-P-3250.DF,8.0,put,3250,0.12876712328767123
jd2509-P-3300.DF,12.5,put,3300,0.12876712328767123
jd2509-P-3350.DF,18.5,put,3350,0.12876712328767123
jd2509-P-3400.DF,26.5,put,3400,0.12876712328767123
jd2509-P-3450.DF,37.0,put,3450,0.12876712328767123
jd2509-P-3500.DF,50.0,put,3500,0.12876712328767123
jd2509-P-3550.DF,66.0,put,3550,0.12876712328767123
jd2509-P-3600.DF,85.5,put,3600,0.12876712328767123
jd2509-P-3650.DF,108.0,put,3650,0.12876712328767123
jd2509-P-3700.DF,134.0,put,3700,0.12876712328767123
jd2509-P-3750.DF,163.0,put,3750,0.12876712328767123
jd2509-P-3800.DF,195.5,put,3800,0.12876712328767123
jd2509-P-3850.DF,230.5,put,3850,0.12876712328767123
jd2509-P-3900.DF,268.5,put,3900,0.12876712328767123
jd2509-P-3950.DF,308.5,put,3950,0.12876712328767123
jd2509-P-4000.DF,350.5,put,4000,0.12876712328767123
jd2509-P-4100.DF,439.5,put,4100,0.12876712328767123
jd2509-P-4200.DF,533.0,put,4200,0.12876712328767123
jd2509-P-4300.DF,630.0,put,4300,0.12876712328767123
jd2509-P-4400.DF,728.5,put,4400,0.12876712328767123
jd2509-P-4600.DF,927.0,put,4600,0.12876712328767123
