,账号,合约代码,总持仓,方向,保证金,期权均价,期权现价,期货代码,期货现价,到期时间
0,8000138,i2509-P-730.DF,5,SELL,42002.5,6.9,6.7,i2509.DF,764.0,20250818
1,8000138,ps2509-P-37000.GF,10,SELL,82413.0,483.0,509.0,ps2509.GF,41000.0,20250807
2,8000138,ps2509-C-47000.GF,5,SELL,24942.6,296.0,270.0,ps2509.GF,41000.0,20250807
3,8000138,ps2509-P-36000.GF,15,SELL,103299.75,327.0,362.0,ps2509.GF,41000.0,20250807
4,8000138,ps2509-C-50000.GF,5,SELL,28943.25,120.0,121.0,ps2509.GF,41000.0,20250807
5,8000138,ps2509-P-35500.GF,10,SELL,66016.5,278.0,287.0,ps2509.GF,41000.0,20250807
6,8000138,ps2509-C-49000.GF,10,SELL,58126.5,160.0,155.0,ps2509.GF,41000.0,20250807
7,8000138,i2509-P-710.DF,5,SELL,34152.5,4.8,3.8,i2509.DF,764.0,20250818
8,8000138,ps2509-C-46000.GF,15,SELL,98304.75,373.0,400.0,ps2509.GF,41000.0,20250807
9,8000138,ps2509.GF,5,SELL,54963.9,40714.0,41000.0,ps2509.GF,41000.0,
10,8000138,ps2509-C-49000.GF,8,SELL,47905.2,163.5,155.0,ps2509.GF,41000.0,20250807
11,8000138,i2509-P-720.DF,3,SELL,22741.5,5.4,4.6,i2509.DF,764.0,20250818
12,8000138,ps2509-P-35500.GF,1,SELL,0.0,306.0,287.0,ps2509.GF,41000.0,20250807
13,8000138,ps2509-P-38000.GF,7,SELL,74699.1,692.43,722.0,ps2509.GF,41000.0,20250807
14,8000138,ps2509-C-48000.GF,6,SELL,36189.9,224.33,202.0,ps2509.GF,41000.0,20250807
15,709981,jd2509-P-3450.DF,18,SELL,42937.2,30.33,32.0,jd2509.DF,3580.0,20250818
16,709981,eb2508-P-7100.DF,3,SELL,5362.8,25.17,4.0,eb2508.DF,7416.0,20250716
17,709981,TA509C5100.ZF,1,SELL,1081.2,42.5,19.0,TA509C5100.ZF,19.0,20250813
18,709981,SM509P5300.ZF,4,SELL,5705.6,28.5,10.0,SM509P5300.ZF,10.0,20250813
19,709981,ps2509-P-37000.GF,11,SELL,90654.3,497.36,509.0,ps2509.GF,41000.0,20250807
20,709981,lh2509-P-13600.DF,1,SELL,13822.4,62.5,40.0,lh2509.DF,14345.0,20250818
21,709981,jd2509-P-3400.DF,21,SELL,41798.4,25.29,22.5,jd2509.DF,3580.0,20250818
22,709981,i2509-P-640.DF,5,SELL,20938.75,5.4,0.6,i2509.DF,764.0,20250818
23,709981,ps2509-C-47000.GF,9,SELL,12471.3,343.0,270.0,ps2509.GF,41000.0,20250807
