,期权合约代码,负责人,手数,平均开仓期权价,手续费,交易单位,成交期货平均价
1,ps2509-C-49000,程,2,175.0,16.0,3,41760.0
2,ps2509-C-49000,程,2,175.0,16.0,3,41825.0
3,ps2509-C-49000,程,2,185.0,16.0,3,41835.0
4,jd2508-C-3500,叶,5,4.0,2.58,10,3445.0
5,ps2509-P-35000,程,2,185.0,16.0,3,42660.0
6,ps2509-P-35000,程,3,182.0,24.0,3,42595.0
7,ps2509-P-35000,程,1,182.0,8.0,3,42595.0
8,ps2509-P-35000,程,4,180.0,32.0,3,42620.0
9,ps2509-P-35000,程,2,179.0,16.0,3,42670.0
10,ps2509-P-35000,程,1,179.0,8.0,3,42705.0
11,ps2509-P-35000,程,1,179.0,8.0,3,42705.0
12,ps2509-P-35000,程,1,182.0,8.0,3,42685.0
13,ps2509-P-35000,程,1,182.0,8.0,3,42685.0
14,ps2509-P-35000,程,2,182.0,16.0,3,42700.0
15,ps2509-P-35000,程,2,188.0,16.0,3,42510.0
16,ps2509-P-35000,程,2,187.0,16.0,3,42465.0
17,ps2509-P-35000,程,2,186.0,16.0,3,42580.0
18,ps2509-P-35000,程,2,185.0,16.0,3,42615.0
19,ps2509-P-35000,程,2,185.0,16.0,3,42585.0
20,ps2509-P-35000,程,2,184.0,16.0,3,42615.0
21,ps2509-P-35000,程,2,183.0,16.0,3,42615.0
22,ps2509-P-35000,程,2,182.0,16.0,3,42610.0
23,ps2509-P-35000,程,1,181.0,8.0,3,42605.0
24,ps2509-P-35000,程,1,181.0,8.0,3,42605.0
25,ps2509-P-35000,程,2,182.0,16.0,3,42580.0
26,ps2509-P-35000,程,2,181.0,16.0,3,42580.0
27,ps2509-P-35000,程,2,182.0,16.0,3,42585.0
28,ps2509-P-35000,程,2,182.0,16.0,3,42585.0
29,ps2509-P-35000,程,1,184.0,8.0,3,42580.0
30,ps2509-P-35000,程,1,184.0,8.0,3,42590.0
31,ps2509-P-35000,程,2,181.0,16.0,3,42580.0
32,ps2509-P-35000,程,2,180.0,16.0,3,42615.0
33,ps2509-P-35000,程,2,180.0,16.0,3,42615.0
34,ps2509-P-35000,程,2,175.0,16.0,3,42700.0
35,ps2509-P-35000,程,2,179.0,16.0,3,42915.0
36,ps2509-P-35000,程,2,182.0,16.0,3,42715.0
37,ps2509-P-36000,程,1,247.0,8.0,3,42655.0
38,ps2509-P-36000,程,1,247.0,8.0,3,42655.0
39,ps2509-P-38000,程,2,540.0,16.0,3,42300.0
40,ps2509-C-50000,程,2,175.0,16.0,3,41825.0
42,ps2509-C-50000,程,2,145.0,16.0,3,41425.0
44,ps2509-C-50000,程,2,140.0,16.0,3,41220.0
45,ps2509-C-50000,程,2,139.0,16.0,3,41165.0
