成交编号,合约,买卖,开平,成交价格,成交手数,手续费,平仓盈亏,平仓盈亏(逐笔),投保,成交时间,成交类型,交易所
3644590,ao2509C3100,　卖,开仓,61,1,14,0,0,投机,14:58:25,普通成交,上期所
2025061106781561,TA509C5000,　卖,开仓,36,1,2,0,0,投机,13:58:15,普通成交,郑商所
102478120,jd2508-C-3800,　卖,开仓,20.5,2,4,0,0,投机,13:38:39,普通成交,大商所
2025061105473007,TA509C5000,　卖,开仓,36,2,4,0,0,投机,11:22:24,普通成交,郑商所
2504397,ao2509C3100,　卖,开仓,60,1,14,0,0,投机,10:49:48,普通成交,上期所
2025061104405116,TA509C5000,　卖,开仓,33,1,2,0,0,投机,10:44:20,普通成交,郑商所
2025061104397645,TA509C5000,　卖,开仓,33,1,2,0,0,投机,10:43:57,普通成交,郑商所
2025061103992809,TA509C5000,　卖,开仓,32.5,1,2,0,0,投机,10:07:38,普通成交,郑商所
2025061103760535,TA509C5000,　卖,开仓,32.5,1,2,0,0,投机,9:50:57,普通成交,郑商所
101671712,jd2508-C-3800,　卖,开仓,20.5,2,4,0,0,投机,9:49:49,普通成交,大商所
2025061103678482,TA509C5000,　卖,开仓,32.5,1,2,0,0,投机,9:45:49,普通成交,郑商所
2025061103670515,TA509C5000,　卖,开仓,32.5,1,2,0,0,投机,9:45:19,普通成交,郑商所
2038683,ao2509C3100,　卖,开仓,59,1,14,0,0,投机,9:41:03,普通成交,上期所
