期权合约代码,负责人,手数,平均开仓期权价,期权收盘价,交易单位,手续费
CF509P12400,梁,6.0,23.0,8.0,5.0,36.0
CF509P12800,梁,4.0,20.5,11.0,5.0,24.0
CJ509P8900,梁,1.0,48.0,27.0,5.0,4.0
CJ509P9000,梁,8.0,64.25,54.0,5.0,32.0
CJ509P9100,梁,1.0,70.0,79.0,5.0,4.0
FG509P1000,梁,10.0,23.5,8.5,20.0,20.0
FG509P940,梁,8.0,12.31,2.0,20.0,12.0
MA509P2200,梁,8.0,16.62,3.5,10.0,16.0
MA509P2325,梁,6.0,21.83,21.0,10.0,12.0
MA509P2350,梁,12.0,33.92,29.5,10.0,24.0
OI509P8800,梁,2.0,41.75,19.5,10.0,12.0
PK510C8700,梁,2.0,37.5,35.0,5.0,6.4
PK510C8800,梁,3.0,31.17,28.0,5.0,9.6
RM509P2450,梁,1.0,39.0,8.5,10.0,3.2
RM509P2500,梁,3.0,26.67,13.5,10.0,9.6
SF509P5000,梁,4.0,20.5,6.0,5.0,8.0
SH509P2240,梁,7.0,23.29,7.0,30.0,56.0
SH509P2280,梁,5.0,22.8,11.0,30.0,40.0
SH509P2320,梁,2.0,27.5,16.0,30.0,16.0
SH509P2360,梁,2.0,23.25,22.5,30.0,32.0
SM509P5300,梁,4.0,28.5,7.0,5.0,8.0
SR509C6200,梁,6.0,8.58,5.0,10.0,36.0
TA509C5100,梁,1.0,42.5,19.0,5.0,2.0
TA509C5200,梁,2.0,32.25,13.5,5.0,4.0
TA509C5300,梁,3.0,45.5,10.0,5.0,6.0
TA509C5400,梁,3.0,17.67,7.0,5.0,6.0
TA509C5500,梁,2.0,13.5,6.5,5.0,4.0
TA509P4400,梁,2.0,41.0,16.0,5.0,4.0
TA509P4500,梁,9.0,43.17,30.5,5.0,18.0
TA509P4550,梁,2.0,45.75,42.0,5.0,4.0
TA509P4600,梁,1.0,86.5,57.0,5.0,2.0
UR509C1800,梁,2.0,35.0,23.0,20.0,8.0
UR509P1640,梁,1.0,26.5,9.0,20.0,4.0
UR509P1660,梁,1.0,33.0,14.0,20.0,4.0
ag2508P7800,程,1.0,70.5,3.0,15.0,8.0
ag2508P8100,程,4.0,33.5,4.5,15.0,32.0
ag2508P8200,陈,1.0,22.0,5.0,15.0,8.0
ao2509P2750,程,1.0,27.67,11.5,20.0,14.0
ao2509P2800,程,1.0,39.67,15.0,20.0,18.0
eb2508-C-7600,叶,1.0,41.0,1.5,5.0,2.0
eb2508-P-7200,叶,1.0,44.5,4.0,5.0,2.0
i2509-P-640,叶,5.0,5.4,0.5,100.0,40.0
i2509-P-660,叶,2.0,4.5,0.7,100.0,16.0
i2509-P-670,叶,1.0,5.6,1.0,100.0,8.0
i2509-P-690,叶,1.0,7.2,1.5,100.0,8.0
i2509-P-700,叶,6.0,4.65,2.3,100.0,48.0
jd2508-C-3500,叶,5.0,4.0,4.0,10.0,2.58
jd2508-C-3550,叶,8.0,26.94,1.5,10.0,16.0
jd2508-C-3600,叶,5.0,24.0,0.5,10.0,10.0
jd2508-P-3400,叶,6.0,23.0,3.0,10.0,12.0
jd2509-C-3900,叶,1.0,40.0,17.5,10.0,2.0
jd2509-P-3400,叶,21.0,25.29,13.5,10.0,42.0
jd2509-P-3450,叶,18.0,39.33,20.0,10.0,192.0
jd2509-P-3500,叶,8.0,45.56,30.5,10.0,16.0
jd2509-P-3550,叶,4.0,35.0,47.0,10.0,8.0
lc2509-P-57000,程,2.0,345.0,50.0,1.0,24.0
lc2509-P-58000,程,4.0,278.75,80.0,1.0,48.0
lc2509-P-60000,陈,4.0,265.0,150.0,1.0,48.0
lc2511-P-60000,程,3.0,1116.67,750.0,1.0,12.0
lg2509-P-750,叶,3.0,7.25,5.0,90.0,12.0
lg2509-P-775,叶,1.0,11.75,12.0,90.0,4.0
lh2509-P-13200,叶,1.0,35.0,15.0,16.0,6.0
lh2509-P-13400,叶,1.0,60.0,27.5,16.0,6.0
lh2509-P-13600,叶,1.0,62.5,47.5,16.0,6.0
m2509-C-3050,叶,4.0,29.25,22.5,10.0,12.0
m2509-C-3150,叶,2.0,18.5,11.0,10.0,6.0
m2509-P-2800,叶,1.0,10.5,5.5,10.0,3.0
m2601-P-2800,叶,4.0,31.75,22.0,10.0,12.0
m2601-P-2900,叶,2.0,47.5,43.5,10.0,6.0
pb2508P16400,程,1.0,34.0,23.0,5.0,8.0
ps2509-C-46000,陈,7.0,422.0,481.0,3.0,56.0
ps2509-C-47000,陈,9.0,343.0,353.0,3.0,72.0
ps2509-C-48000,陈,11.0,248.09,234.0,3.0,88.0
ps2509-C-49000,程,27.0,182.3,175.0,3.0,216.0
ps2509-C-50000,程,48.0,139.38,120.0,3.0,384.0
ps2509-P-32000,程,1.0,445.0,53.0,3.0,8.0
ps2509-P-33500,梁,1.0,130.0,99.0,3.0,8.0
ps2509-P-34000,陈,46.0,171.98,117.0,3.0,368.0
ps2509-P-35000,程,86.0,226.22,177.0,3.0,688.0
ps2509-P-35500,陈,24.0,378.29,223.0,3.0,192.0
ps2509-P-36000,程,17.0,394.42,249.0,3.0,136.0
ps2509-P-37000,陈,11.0,497.36,356.0,3.0,88.0
ps2509-P-38000,程,4.0,623.5,503.0,3.0,32.0
rb2510P2850,程,8.0,32.25,8.0,10.0,64.0
rb2510P2900,程,8.0,32.25,12.0,10.0,56.0
sn2508P245000,程,1.0,620.0,352.0,1.0,6.0
v2509-P-4750,叶,10.0,27.5,14.0,5.0,20.0
