,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20131108,1383840000000,4010.0,4012.0,3850.0,3868.0,26968,525467010.0,3896.0,5256,3800.0,0
20131111,1384099200000,3982.0,3983.0,3932.0,3941.0,148860,2939812780.0,3949.0,44132,3976.0,0
20131112,1384185600000,3940.0,3970.0,3932.0,3951.0,93396,1847840080.0,3957.0,38812,3941.0,0
20131113,1384272000000,3946.0,3970.0,3935.0,3952.0,62148,1229913600.0,3958.0,36600,3951.0,0
20131114,1384358400000,3958.0,3963.0,3939.0,3957.0,37318,737541390.0,3952.0,32232,3952.0,0
20131115,1384444800000,3955.0,4015.0,3954.0,4013.0,133512,2666495160.0,3994.0,43098,3957.0,0
20131118,1384704000000,4015.0,4039.0,4003.0,4029.0,108186,2177277170.0,4025.0,50176,4013.0,0
20131119,1384790400000,4025.0,4036.0,4012.0,4023.0,62266,1252562120.0,4023.0,43000,4029.0,0
20131120,1384876800000,4025.0,4048.0,4016.0,4036.0,59612,1202971630.0,4036.0,43524,4023.0,0
20131121,1384963200000,4039.0,4039.0,4005.0,4010.0,40740,819264140.0,4021.0,35924,4036.0,0
20131122,1385049600000,4012.0,4040.0,4006.0,4018.0,40808,821146870.0,4024.0,35390,4010.0,0
20131125,1385308800000,4021.0,4178.0,4021.0,4168.0,275042,5691380000.0,4138.0,70756,4018.0,0
20131126,1385395200000,4170.0,4180.0,4145.0,4162.0,150308,3127343840.0,4161.0,63964,4168.0,0
20131127,1385481600000,4166.0,4174.0,4123.0,4138.0,119328,2473586100.0,4145.0,59036,4162.0,0
20131128,1385568000000,4138.0,4193.0,4138.0,4174.0,188778,3934603260.0,4168.0,68226,4138.0,0
20131129,1385654400000,4179.0,4185.0,4156.0,4172.0,90070,1877995700.0,4170.0,66538,4174.0,0
20131202,1385913600000,4173.0,4190.0,4151.0,4162.0,58520,1219595470.0,4168.0,66024,4172.0,0
20131203,1386000000000,4160.0,4196.0,4140.0,4163.0,162642,3390630960.0,4169.0,68806,4162.0,0
20131204,1386086400000,4166.0,4176.0,4150.0,4153.0,66138,1375729960.0,4160.0,68428,4163.0,0
20131205,1386172800000,4155.0,4181.0,4149.0,4159.0,86416,1799500000.0,4165.0,66256,4153.0,0
20131206,1386259200000,4160.0,4180.0,4109.0,4131.0,93086,1928637400.0,4143.0,60776,4442.0,0
20131209,1386518400000,4138.0,4150.0,4130.0,4134.0,43026,890471830.0,4139.0,60958,4417.0,0
20131210,1386604800000,4143.0,4190.0,4134.0,4155.0,141624,2948444150.0,4163.0,64268,4134.0,0
20131211,1386691200000,4161.0,4175.0,4149.0,4155.0,68642,1428509510.0,4162.0,63620,4155.0,0
20131212,1386777600000,4159.0,4172.0,4144.0,4153.0,56068,1166477240.0,4160.0,62124,4155.0,0
20131213,1386864000000,4147.0,4157.0,4090.0,4101.0,78890,1625582550.0,4121.0,59600,4153.0,0
20131216,1387123200000,4111.0,4119.0,4082.0,4088.0,53850,1103727730.0,4099.0,60532,4101.0,0
20131217,1387209600000,4091.0,4125.0,4091.0,4107.0,56850,1168224730.0,4109.0,58862,4088.0,0
20131218,1387296000000,4101.0,4122.0,4094.0,4098.0,40438,830330680.0,4106.0,59594,4107.0,0
20131219,1387382400000,4093.0,4093.0,3962.0,3989.0,221438,4429121700.0,4000.0,66598,4098.0,0
20131220,1387468800000,3971.0,4000.0,3967.0,3982.0,82202,1636829930.0,3982.0,56724,3989.0,0
20131223,1387728000000,3957.0,3973.0,3933.0,3969.0,69360,1372561990.0,3957.0,57290,3982.0,0
20131224,1387814400000,3963.0,3994.0,3961.0,3982.0,57416,1143392280.0,3982.0,56144,3969.0,0
