time,合约在交易所的代码,期货统一规则代码,次主力合约代码
1557072000000,CJ912,CJ1912,CJ005
1557158400000,CJ912,CJ1912,CJ001
1573142400000,CJ001,CJ2001,CJ912
1574179200000,CJ001,CJ2001,CJ005
1575561600000,CJ005,CJ2005,CJ001
1577980800000,CJ005,CJ2005,CJ009
1578240000000,CJ005,CJ2005,CJ001
1579017600000,CJ005,CJ2005,CJ009
1586361600000,CJ009,CJ2009,CJ005
1587571200000,CJ009,CJ2009,CJ012
1588089600000,CJ009,CJ2009,CJ007
1588176000000,CJ009,CJ2009,CJ012
1588694400000,CJ009,CJ2009,CJ101
1589990400000,CJ009,CJ2009,CJ012
1590681600000,CJ009,CJ2009,CJ007
1590940800000,CJ009,CJ2009,CJ012
1591286400000,CJ009,CJ2009,CJ101
1591545600000,CJ009,CJ2009,CJ012
1591632000000,CJ009,CJ2009,CJ101
1594656000000,CJ009,CJ2009,CJ012
1594828800000,CJ009,CJ2009,CJ101
1597939200000,CJ101,CJ2101,CJ009
1598976000000,CJ101,CJ2101,CJ012
1600876800000,CJ101,CJ2101,CJ105
1600963200000,CJ101,CJ2101,CJ012
1603123200000,CJ101,CJ2101,CJ105
1604246400000,CJ101,CJ2101,CJ012
1604505600000,CJ101,CJ2101,CJ105
1608480000000,CJ105,CJ2105,CJ101
1609084800000,CJ105,CJ2105,CJ109
1618243200000,CJ109,CJ2109,CJ105
1619366400000,CJ109,CJ2109,CJ201
1619452800000,CJ109,CJ2109,CJ105
1619539200000,CJ109,CJ2109,CJ201
1627228800000,CJ201,CJ2201,CJ109
1629734400000,CJ201,CJ2201,CJ205
1637596800000,CJ205,CJ2205,CJ201
1639411200000,CJ205,CJ2205,CJ209
1649347200000,CJ209,CJ2209,CJ205
1651766400000,CJ209,CJ2209,CJ301
1658160000000,CJ301,CJ2301,CJ209
1659974400000,CJ301,CJ2301,CJ305
1660060800000,CJ301,CJ2301,CJ209
1661184000000,CJ301,CJ2301,CJ305
1661356800000,CJ301,CJ2301,CJ209
1661702400000,CJ301,CJ2301,CJ305
1661875200000,CJ301,CJ2301,CJ209
1662048000000,CJ301,CJ2301,CJ305
1662307200000,CJ301,CJ2301,CJ209
1662393600000,CJ301,CJ2301,CJ305
1670860800000,CJ305,CJ2305,CJ301
1671552000000,CJ305,CJ2305,CJ309
1672329600000,CJ305,CJ2305,CJ301
1672761600000,CJ305,CJ2305,CJ309
1681747200000,CJ309,CJ2309,CJ305
1683216000000,CJ309,CJ2309,CJ401
1685548800000,CJ309,CJ2309,CJ307
1685635200000,CJ309,CJ2309,CJ401
1691424000000,CJ401,CJ2401,CJ309
1692201600000,CJ401,CJ2401,CJ405
1701619200000,CJ405,CJ2405,CJ401
1702483200000,CJ405,CJ2405,CJ409
1702569600000,CJ405,CJ2405,CJ401
1702828800000,CJ405,CJ2405,CJ409
1712678400000,CJ409,CJ2409,CJ405
1713456000000,CJ409,CJ2409,CJ501
1721923200000,CJ501,CJ2501,CJ409
1724083200000,CJ501,CJ2501,CJ505
1724169600000,CJ501,CJ2501,CJ409
1724256000000,CJ501,CJ2501,CJ505
1725206400000,CJ501,CJ2501,CJ409
1725292800000,CJ501,CJ2501,CJ505
1733241600000,CJ505,CJ2505,CJ501
1735833600000,CJ505,CJ2505,CJ509
1744732800000,CJ509,CJ2509,CJ505
1746460800000,CJ509,CJ2509,CJ601
