date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,AP2405.ZF,AP405P8200.ZF,AP405C8300.ZF,20.374346733585377,18.33378511207403,19.354065922829705
20240103,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,20.564927234448188,18.564077473933335,19.56450235419076
20240104,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,20.037621471658053,18.75220194933107,19.39491171049456
20240105,AP2405.ZF,AP405P8200.ZF,AP405C8300.ZF,19.125339286001974,17.890167513601927,18.50775339980195
20240108,AP2405.ZF,AP405P8200.ZF,AP405C8300.ZF,20.54109111210414,17.97684605677716,19.25896858444065
20240109,AP2405.ZF,AP405P8000.ZF,AP405C8100.ZF,21.291541509165917,19.663732071623542,20.47763679039473
20240110,AP2405.ZF,AP405P8000.ZF,AP405C8100.ZF,20.956210225859582,19.00314892106931,19.979679573464445
20240111,AP2405.ZF,AP405P8200.ZF,AP405C8300.ZF,21.184240566456182,18.981298804992154,20.082769685724166
20240112,AP2405.ZF,AP405P8200.ZF,AP405C8300.ZF,19.708755550638806,17.480404502543205,18.594580026591004
20240115,AP2405.ZF,AP405P8200.ZF,AP405C8300.ZF,20.089795836936513,16.95689657707631,18.523346207006412
20240116,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,19.333850789381255,18.129452511349022,18.731651650365137
20240117,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,19.89137964991907,18.341627683505934,19.116503666712504
20240118,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,20.010344829556516,17.871578444677606,18.940961637117063
20240119,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,18.813064984186674,17.724756113340938,18.268910548763806
20240122,AP2405.ZF,AP405P8200.ZF,AP405C8300.ZF,20.61364856621838,17.958917597841072,19.286283082029726
20240123,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,20.96877239000601,18.524124518866966,19.74644845443649
20240124,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,19.925344012677037,17.88070913827846,18.903026575477746
20240125,AP2405.ZF,AP405P8200.ZF,AP405C8300.ZF,20.09224387871982,18.709282421520403,19.400763150120113
20240126,AP2405.ZF,AP405P8100.ZF,AP405C8200.ZF,20.28649231002288,19.120221809702578,19.70335705986273
20240129,AP2405.ZF,AP405P8100.ZF,AP405C8200.ZF,20.742045090205316,18.85123202757946,19.79663855889239
20240130,AP2405.ZF,AP405P8100.ZF,AP405C8200.ZF,20.272753998482585,19.02942558435833,19.651089791420457
20240131,AP2405.ZF,AP405P8100.ZF,AP405C8200.ZF,20.17652887110904,18.29982913698936,19.2381790040492
20240201,AP2405.ZF,AP405P8000.ZF,AP405C8100.ZF,20.247585712290885,18.30307312688385,19.275329419587365
20240202,AP2405.ZF,AP405P8000.ZF,AP405C8100.ZF,20.16483891457658,18.534502813526817,19.3496708640517
20240205,AP2405.ZF,AP405P7900.ZF,AP405C8100.ZF,20.717276985423663,19.412026225898593,20.064651605661126
20240206,AP2405.ZF,AP405P8000.ZF,AP405C8100.ZF,19.866883704713388,19.153192980247,19.510038342480193
20240207,AP2405.ZF,AP405P8000.ZF,AP405C8100.ZF,18.779468337416656,17.632296779475226,18.205882558445943
20240208,AP2405.ZF,AP405P8000.ZF,AP405C8100.ZF,18.678050146836366,18.52365246343817,18.60085130513727
20240219,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,20.93804232656033,19.98290600227402,20.460474164417175
20240220,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,19.96131340999334,18.268418677863913,19.11486604392863
20240221,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,20.469033961480243,17.574589441860994,19.021811701670618
20240222,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,20.299541565555717,17.606990755799703,18.95326616067771
20240223,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,18.788081871231693,17.191747634913447,17.98991475307257
20240226,AP2405.ZF,AP405P8300.ZF,AP405C8400.ZF,19.497336276632204,17.81974914935342,18.658542712992812
20240227,AP2405.ZF,AP405P8400.ZF,AP405C8500.ZF,18.771829260409202,17.570087350206244,18.17095830530772
20240228,AP2405.ZF,AP405P8400.ZF,AP405C8500.ZF,18.869959623864354,16.94114311142192,17.905551367643135
20240229,AP2405.ZF,AP405P8500.ZF,AP405C8600.ZF,19.84426352950858,18.43341232158256,19.13883792554557
20240301,AP2405.ZF,AP405P8600.ZF,AP405C8700.ZF,20.62297393957991,20.095368965313025,20.359171452446468
20240304,AP2405.ZF,AP405P8600.ZF,AP405C8700.ZF,22.091663168407255,20.75983603717106,21.425749602789157
20240305,AP2405.ZF,AP405P8600.ZF,AP405C8700.ZF,20.626736381753375,20.34377968242055,20.48525803208696
20240306,AP2405.ZF,AP405P8600.ZF,AP405C8700.ZF,20.282293088112407,18.004615802699973,19.143454445406192
20240307,AP2405.ZF,AP405P8600.ZF,AP405C8700.ZF,18.53851973950835,18.106964104456395,18.32274192198237
20240308,AP2405.ZF,AP405P8700.ZF,AP405C8800.ZF,15.849188944602425,14.841149099776432,15.345169022189427
20240311,AP2405.ZF,AP405P8600.ZF,AP405C8700.ZF,16.38113776352799,13.98134014059129,15.181238952059639
20240312,AP2405.ZF,AP405P8500.ZF,AP405C8600.ZF,16.103064952927294,14.554582345439817,15.328823649183555
20240313,AP2405.ZF,AP405P8000.ZF,AP405C8100.ZF,25.311070746474897,24.811397191590054,25.061233969032475
20240314,AP2405.ZF,AP405P7800.ZF,AP405C7900.ZF,28.614543259234686,27.767199022925777,28.19087114108023
20240315,AP2405.ZF,AP405P7800.ZF,AP405C7900.ZF,22.93340120898036,25.202038167064124,24.067719688022244
20240318,AP2405.ZF,AP405P7800.ZF,AP405C7900.ZF,27.55824840195868,28.294207944244356,27.926228173101517
20240319,AP2405.ZF,AP405P7800.ZF,AP405C7900.ZF,26.63048141214771,27.822166387182072,27.22632389966489
20240320,AP2405.ZF,AP405P7800.ZF,AP405C7900.ZF,24.85436003784834,27.594426227534136,26.22439313269124
20240321,AP2405.ZF,AP405P7800.ZF,AP405C7900.ZF,25.552803266389766,25.716047922722034,25.6344255945559
20240322,AP2405.ZF,AP405P7700.ZF,AP405C7800.ZF,22.876967071736136,22.878776889378628,22.87787198055738
20240325,AP2405.ZF,AP405P7700.ZF,AP405C7800.ZF,23.304063802426082,23.807502454952818,23.55578312868945
20240326,AP2405.ZF,AP405P7700.ZF,AP405C7800.ZF,23.165823867913453,17.367811201297233,20.266817534605345
20240327,AP410.ZF,AP410P8100.ZF,AP410C8200.ZF,20.97162660415732,22.212251656857234,21.591939130507278
20240328,AP410.ZF,AP410P8100.ZF,AP410C8200.ZF,18.89110701013052,15.750613995015355,17.320860502572938
20240329,AP410.ZF,AP410P8000.ZF,AP410C8100.ZF,18.23579685498251,16.60301752296932,17.419407188975917
20240401,AP410.ZF,AP410P8000.ZF,AP410C8100.ZF,18.376355409316513,17.121219621548388,17.74878751543245
20240402,AP410.ZF,AP410P8000.ZF,AP410C8100.ZF,18.87848678491707,15.305980699841406,17.092233742379236
20240403,AP410.ZF,AP410P8000.ZF,AP410C8100.ZF,19.469811878992292,16.09415381771236,17.781982848352328
20240408,AP410.ZF,AP410P8000.ZF,AP410C8100.ZF,19.371741847658807,16.549951629766564,17.960846738712686
20240409,AP410.ZF,AP410P8000.ZF,AP410C8100.ZF,19.851639255668683,16.92777344492757,18.389706350298127
20240410,AP410.ZF,AP410P8000.ZF,AP410C8100.ZF,20.1972445418267,17.394460252334177,18.795852397080438
20240411,AP410.ZF,AP410P7900.ZF,AP410C8000.ZF,19.705621995955404,16.683681631015197,18.1946518134853
20240412,AP2410.ZF,AP410P8000.ZF,AP410C8100.ZF,19.800023512238585,17.08162669614004,18.440825104189315
20240415,AP2410.ZF,AP410P8000.ZF,AP410C8100.ZF,19.90512310577173,17.584645009902953,18.74488405783734
20240416,AP2410.ZF,AP410P7800.ZF,AP410C7900.ZF,20.068309434943625,17.33560576070782,18.701957597825725
20240417,AP2410.ZF,AP410P7700.ZF,AP410C7800.ZF,19.567158393044767,18.356510468736744,18.961834430890754
20240418,AP2410.ZF,AP410P7600.ZF,AP410C7700.ZF,20.089459297135747,17.839330504970157,18.964394901052952
20240419,AP2410.ZF,AP410P7500.ZF,AP410C7600.ZF,21.54878737338577,18.670873258632366,20.109830316009067
20240422,AP2410.ZF,AP410P7600.ZF,AP410C7700.ZF,22.850298671343445,20.798608278955395,21.82445347514942
20240423,AP2410.ZF,AP410P7600.ZF,AP410C7700.ZF,22.72161419211035,20.56312545545611,21.64236982378323
20240424,AP2410.ZF,AP410P7500.ZF,AP410C7600.ZF,22.300680521441723,19.833815916410156,21.06724821892594
20240425,AP2410.ZF,AP410P7400.ZF,AP410C7500.ZF,21.936546504771744,19.033420748240935,20.48498362650634
20240426,AP2410.ZF,AP410P7400.ZF,AP410C7500.ZF,21.136959595713353,18.866286371872615,20.001622983792984
20240429,AP2410.ZF,AP410P7500.ZF,AP410C7600.ZF,21.78794720143063,19.2283314507805,20.508139326105564
20240430,AP2410.ZF,AP410P7500.ZF,AP410C7600.ZF,21.802270327527708,19.464713431444657,20.633491879486183
20240506,AP2410.ZF,AP410P7300.ZF,AP410C7400.ZF,24.630878099998075,21.88328748362223,23.257082791810152
20240507,AP2410.ZF,AP410P7400.ZF,AP410C7500.ZF,24.280566494756048,22.438447928436638,23.359507211596345
20240508,AP2410.ZF,AP410P7400.ZF,AP410C7500.ZF,23.86892337765738,21.275880378245194,22.572401877951286
20240509,AP2410.ZF,AP410P7400.ZF,AP410C7500.ZF,23.143130383474322,20.762259006365223,21.95269469491977
