date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,20.741326565990292,18.88398364823605,19.812655107113173
20240103,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,19.30732685414702,17.457955266923197,18.382641060535107
20240104,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,19.054752834197693,17.219799704224954,18.137276269211323
20240105,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,19.265369359822625,17.010452684172,18.13791102199731
20240108,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,18.253730948956402,17.20956016665339,17.731645557804896
20240109,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,18.699975565998475,16.905698657805708,17.802837111902093
20240110,OI2405.ZF,OI405P7900.ZF,OI405C8000.ZF,19.11426894648783,16.917540469870396,18.015904708179114
20240111,OI2405.ZF,OI405P7900.ZF,OI405C8000.ZF,18.160699360789074,16.01070928299041,17.085704321889743
20240112,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,17.653506143277756,15.859481454582303,16.75649379893003
20240115,OI2405.ZF,OI405P7900.ZF,OI405C8000.ZF,18.468734958225,16.053426043385166,17.261080500805082
20240116,OI2405.ZF,OI405P7900.ZF,OI405C8000.ZF,18.14969497407878,16.06926973386378,17.10948235397128
20240117,OI2405.ZF,OI405P7900.ZF,OI405C8000.ZF,17.996488840049256,16.318067481052488,17.157278160550874
20240118,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,19.10741376380854,16.33213736035954,17.71977556208404
20240119,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,19.846839174101007,16.844626771443505,18.345732972772254
20240122,OI2405.ZF,OI405P7900.ZF,OI405C8000.ZF,18.934156017173827,17.0560256240462,17.995090820610013
20240123,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,18.604803921463944,17.152606069109304,17.878704995286625
20240124,OI2405.ZF,OI405P8100.ZF,OI405C8200.ZF,18.68474260398778,17.08023699859954,17.88248980129366
20240125,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,18.52657637442847,16.791680200091744,17.659128287260106
20240126,OI2405.ZF,OI405P7900.ZF,OI405C8000.ZF,17.9550883022739,16.265569708721685,17.110329005497793
20240129,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,18.78323829124471,16.72300137369581,17.75311983247026
20240130,OI2405.ZF,OI405P7600.ZF,OI405C7700.ZF,20.02529786868596,17.368734236258437,18.6970160524722
20240131,OI2405.ZF,OI405P7600.ZF,OI405C7700.ZF,19.454649188349673,16.91243761152924,18.183543399939456
20240201,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,19.22150092977965,17.354573353278344,18.288037141528996
20240202,OI2405.ZF,OI405P7600.ZF,OI405C7700.ZF,19.098493517750423,17.733924718376848,18.416209118063634
20240205,OI2405.ZF,OI405P7600.ZF,OI405C7700.ZF,19.70852028071218,18.183562557426562,18.94604141906937
20240206,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,20.361046297944796,17.69474926352145,19.027897780733124
20240207,OI2405.ZF,OI405P7600.ZF,OI405C7700.ZF,19.86671778695392,17.63920002729271,18.752958907123315
20240208,OI2405.ZF,OI405P7600.ZF,OI405C7700.ZF,18.758773295465065,17.27277861156135,18.015775953513206
20240219,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,18.976421686333538,17.918597574478607,18.447509630406074
20240220,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,18.600122196232658,16.19035902759978,17.39524061191622
20240221,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,17.35299583037189,16.10483087196108,16.728913351166483
20240222,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,17.72618435184225,15.921590525879955,16.823887438861103
20240223,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,17.683854334576957,16.3531854198036,17.01851987719028
20240226,OI2405.ZF,OI405P7600.ZF,OI405C7700.ZF,18.214658358561646,16.92411939886629,17.569388878713966
20240227,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,18.035943032924475,16.20178276969404,17.118862901309257
20240228,OI2405.ZF,OI405P7700.ZF,OI405C7800.ZF,17.52911639650685,15.826425418341945,16.677770907424396
20240229,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,17.545340658973572,16.01836042345003,16.781850541211803
20240301,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,16.97466153768629,15.527438786578692,16.251050162132493
20240304,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,17.722113782496763,16.181012528304926,16.951563155400844
20240305,OI2405.ZF,OI405P7800.ZF,OI405C7900.ZF,16.77553917587304,15.781141719372037,16.27834044762254
20240306,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,17.703300816813467,16.802468275569133,17.2528845461913
20240307,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,17.970835273153003,16.458102926837928,17.214469099995465
20240308,OI2405.ZF,OI405P8100.ZF,OI405C8200.ZF,18.482163759315913,17.513980763212814,17.99807226126436
20240311,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,17.59013058676142,17.17548745654833,17.38280902165487
20240312,OI2405.ZF,OI405P8100.ZF,OI405C8200.ZF,18.28612277040234,17.457901398286026,17.872012084344185
20240313,OI2405.ZF,OI405P8100.ZF,OI405C8200.ZF,17.692842520382253,17.44815193283251,17.57049722660738
20240314,OI2405.ZF,OI405P8200.ZF,OI405C8300.ZF,18.927853360974083,18.37904116415133,18.653447262562707
20240315,OI2405.ZF,OI405P8200.ZF,OI405C8300.ZF,19.053030105854585,18.152793301167343,18.602911703510962
20240318,OI2405.ZF,OI405P8200.ZF,OI405C8300.ZF,20.008055870914674,20.059745627169846,20.03390074904226
20240319,OI2405.ZF,OI405P8200.ZF,OI405C8300.ZF,19.43955435648786,19.431951763923763,19.435753060205812
20240320,OI2405.ZF,OI405P8300.ZF,OI405C8400.ZF,20.09826774732865,17.82345662819081,18.96086218775973
20240321,OI2405.ZF,OI405P8400.ZF,OI405C8500.ZF,19.986212537951214,19.65312999719776,19.819671267574485
20240322,OI2405.ZF,OI405P8300.ZF,OI405C8400.ZF,19.122559947954436,18.408472761441423,18.76551635469793
20240325,OI2405.ZF,OI405P8300.ZF,OI405C8400.ZF,20.05903606005141,18.058650816465573,19.058843438258492
20240326,OI2405.ZF,OI405P8200.ZF,OI405C8300.ZF,19.485320228567115,19.01507872267757,19.250199475622342
20240327,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,18.59518045032738,17.813747240210166,18.204463845268773
20240328,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,17.75429034662627,17.45837244093929,17.60633139378278
20240329,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,16.282172267781718,15.442182774546321,15.86217752116402
20240401,OI2405.ZF,OI405P8000.ZF,OI405C8100.ZF,17.644332853584586,16.88575443311698,17.265043643350783
20240402,OI2405.ZF,OI405P8100.ZF,OI405C8200.ZF,16.752205463532217,16.579845159128947,16.666025311330582
20240403,OI2405.ZF,OI405P8200.ZF,OI405C8300.ZF,16.150445216517078,14.775324405156612,15.462884810836844
20240408,OI2405.ZF,OI405P8100.ZF,OI405C8200.ZF,20.290378861250137,19.810532120007473,20.050455490628806
20240409,OI2405.ZF,OI405P8200.ZF,OI405C8300.ZF,21.863781430982094,21.332226319271168,21.59800387512663
20240410,OI2405.ZF,OI405P8200.ZF,OI405C8300.ZF,20.092674454418848,19.985017560022694,20.03884600722077
20240411,OI2409.ZF,OI409P8200.ZF,OI409C8300.ZF,16.55364856051659,14.759218321231948,15.656433440874268
20240412,OI2409.ZF,OI409P8100.ZF,OI409C8200.ZF,16.781939926337913,14.1363728112093,15.459156368773606
20240415,OI2409.ZF,OI409P8100.ZF,OI409C8200.ZF,17.077588074798683,14.621634471183928,15.849611272991305
20240416,OI2409.ZF,OI409P8000.ZF,OI409C8100.ZF,16.614604399094915,14.59847419061675,15.606539294855832
20240417,OI2409.ZF,OI409P8000.ZF,OI409C8100.ZF,16.168275901303105,14.664779313055298,15.416527607179201
20240418,OI2409.ZF,OI409P8000.ZF,OI409C8100.ZF,17.283278855935933,14.598756435294227,15.94101764561508
20240419,OI2409.ZF,OI409P8000.ZF,OI409C8100.ZF,17.310460916551868,14.81341004897473,16.0619354827633
20240422,OI2409.ZF,OI409P8000.ZF,OI409C8100.ZF,17.51886137342104,15.09529900942616,16.3070801914236
20240423,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,20.12888987800769,17.335139569765026,18.73201472388636
20240424,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,19.24077046480372,17.903293591996125,18.572032028399924
20240425,OI2409.ZF,OI409P8200.ZF,OI409C8300.ZF,19.297293432091998,16.983499635579076,18.140396533835535
20240426,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,18.95326513784132,17.535744688009945,18.244504912925635
20240429,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,20.130129896453937,18.396022249323575,19.263076072888758
20240430,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,21.035215798438024,18.50683541832114,19.77102560837958
20240506,OI2409.ZF,OI409P8500.ZF,OI409C8600.ZF,21.161775995866254,19.768378343562738,20.465077169714498
20240507,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,21.959684876867858,19.746094233444452,20.852889555156153
20240508,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,21.33510293085364,19.008956076340986,20.172029503597315
20240509,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,20.931007497520387,18.24734492240344,19.589176209961913
20240510,OI2409.ZF,OI409P8500.ZF,OI409C8600.ZF,20.34804106291147,18.620102260111167,19.48407166151132
20240513,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,21.836911250020222,19.893664002656806,20.865287626338514
20240514,OI2409.ZF,OI409P8800.ZF,OI409C8900.ZF,21.10782866853907,19.60156443284226,20.354696550690665
20240515,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,20.814867026252916,18.69571781546361,19.75529242085826
20240516,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,20.58459673438105,18.318855899231153,19.451726316806102
20240517,OI2409.ZF,OI409P8800.ZF,OI409C8900.ZF,20.84604103236124,18.974962545541164,19.9105017889512
20240520,OI2409.ZF,OI409P8800.ZF,OI409C8900.ZF,21.337581728415127,19.573148706216408,20.455365217315766
20240521,OI2409.ZF,OI409P8800.ZF,OI409C8900.ZF,21.326324520405862,19.058979744474165,20.192652132440013
20240522,OI2409.ZF,OI409P8900.ZF,OI409C9000.ZF,22.06915481061791,20.11999465635527,21.09457473348659
20240523,OI2409.ZF,OI409P8800.ZF,OI409C8900.ZF,21.651399041437735,19.561587718849797,20.606493380143768
20240524,OI2409.ZF,OI409P8800.ZF,OI409C8900.ZF,21.48987617872089,19.307652726510387,20.398764452615637
20240527,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,20.738709473740624,19.183337449809308,19.961023461774964
20240528,OI2409.ZF,OI409P8900.ZF,OI409C9000.ZF,21.787045083485086,19.727405618389902,20.757225350937496
20240529,OI2409.ZF,OI409P9000.ZF,OI409C9100.ZF,21.879371769858206,19.6335088644771,20.75644031716765
20240530,OI2409.ZF,OI409P8800.ZF,OI409C8900.ZF,20.453753291319046,18.74877932296147,19.601266307140257
20240531,OI2409.ZF,OI409P8900.ZF,OI409C9000.ZF,21.024612933996735,19.32029323526908,20.172453084632906
20240603,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,20.38855583671602,18.872338265333983,19.630447051025
20240604,OI2409.ZF,OI409P8500.ZF,OI409C8600.ZF,20.23288952265515,19.227581503814633,19.73023551323489
20240605,OI2409.ZF,OI409P8500.ZF,OI409C8600.ZF,20.063259537391794,18.13036176320644,19.09681065029912
20240606,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,20.450922142607318,18.419270071111256,19.435096106859287
20240607,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,20.114735789511275,17.95664175615181,19.03568877283154
20240611,OI2409.ZF,OI409P8500.ZF,OI409C8600.ZF,19.962481402688002,18.47295722039259,19.217719311540296
20240612,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,20.539709720812695,19.003522715873757,19.771616218343226
20240613,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,19.640856193629595,17.432662909385606,18.5367595515076
20240614,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,19.05217836303928,17.195500688910553,18.123839525974915
20240617,OI2409.ZF,OI409P8200.ZF,OI409C8300.ZF,19.402781358779965,17.773640854094918,18.58821110643744
20240618,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,19.431684390090957,17.88343927465048,18.657561832370718
20240619,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,19.336736712506113,17.361311892743103,18.349024302624606
20240620,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,19.20294000501829,17.65598223603481,18.42946112052655
20240621,OI2409.ZF,OI409P8200.ZF,OI409C8300.ZF,18.435166651991068,16.893344987109295,17.66425581955018
20240624,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,18.84100521096557,17.63041541752107,18.23571031424332
20240625,OI2409.ZF,OI409P8200.ZF,OI409C8300.ZF,19.16558100495797,17.559279288154507,18.36243014655624
20240626,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,19.777633226751945,17.67573538815727,18.726684307454608
20240627,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,19.610275461772847,17.74914505845102,18.679710260111932
20240628,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,19.480836360716705,18.40635450574675,18.943595433231728
20240701,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,19.307487605948275,18.438064044114846,18.87277582503156
20240702,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,21.06908798178699,19.612041880667668,20.340564931227327
20240703,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,20.39244130033317,18.80104590756699,19.59674360395008
20240704,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,20.190513663907726,19.034842204887354,19.61267793439754
20240705,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,20.296406748059134,18.629772633120403,19.46308969058977
20240708,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,20.35895418333313,18.327417293997357,19.34318573866524
20240709,OI2409.ZF,OI409P8500.ZF,OI409C8600.ZF,18.758612281237706,18.424118237883,18.591365259560355
20240710,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,20.009652883333683,18.907336338718725,19.458494611026204
20240711,OI2409.ZF,OI409P8200.ZF,OI409C8300.ZF,19.417761334693942,18.41618445433198,18.91697289451296
20240712,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,18.355882755670724,18.397763436212575,18.37682309594165
20240715,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,19.983682850311947,18.16829016506749,19.07598650768972
20240716,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,19.220989671524197,18.09421718381605,18.657603427670125
20240717,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,19.054869247279544,17.595452427327135,18.32516083730334
20240718,OI2409.ZF,OI409P8500.ZF,OI409C8600.ZF,19.896278374523884,17.911709415692762,18.90399389510832
20240719,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,20.491487829834433,19.51402355318039,20.00275569150741
20240722,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,21.674936615929116,20.188141717950547,20.93153916693983
20240723,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,21.55218252813823,19.97226729959493,20.76222491386658
20240724,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,21.34217197354457,19.635438616512474,20.48880529502852
20240725,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,21.930376642454846,18.90731655497589,20.41884659871537
20240726,OI2409.ZF,OI409P8700.ZF,OI409C8800.ZF,20.703334594437596,19.73564397246563,20.219489283451615
20240729,OI2409.ZF,OI409P8600.ZF,OI409C8700.ZF,21.975638471593072,20.44542566455222,21.210532068072645
20240730,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,23.383779364077597,22.217468680792354,22.800624022434974
20240731,OI2409.ZF,OI409P8400.ZF,OI409C8500.ZF,22.459623437613267,22.198365564050647,22.328994500831957
20240801,OI2409.ZF,OI409P8200.ZF,OI409C8300.ZF,23.606255800521428,22.298942267143193,22.95259903383231
20240802,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,21.261558013781404,20.54495330728289,20.903255660532146
20240805,OI2409.ZF,OI409P8300.ZF,OI409C8400.ZF,22.968445777078283,21.668637833177996,22.31854180512814
20240806,OI2409.ZF,OI409P8000.ZF,OI409C8100.ZF,25.39155603575496,25.54052428189126,25.46604015882311
20240807,OI2409.ZF,OI409P8000.ZF,OI409C8100.ZF,25.018340730529253,23.335770934673018,24.177055832601134
20240808,OI2409.ZF,OI409P8000.ZF,OI409C8100.ZF,26.03713585388657,22.816340401574923,24.426738127730747
20240809,OI2409.ZF,OI409P8200.ZF,OI409C8300.ZF,18.361508100114374,17.136815305740193,17.74916170292728
20240812,OI2409.ZF,OI409P8100.ZF,OI409C8300.ZF,27.70618781509318,24.63459766928332,26.17039274218825
20240813,OI501.ZF,OI501P8000.ZF,OI501C8100.ZF,20.22559706283662,17.899347556761864,19.06247230979924
20240814,OI501.ZF,OI501P7900.ZF,OI501C8000.ZF,20.240031992839423,18.359539519309394,19.299785756074407
20240815,OI2501.ZF,OI501P8000.ZF,OI501C8100.ZF,21.01837556097273,17.921091013808883,19.469733287390806
20240816,OI2501.ZF,OI501P8000.ZF,OI501C8100.ZF,20.331640856115055,18.267455829797736,19.299548342956395
20240819,OI2501.ZF,OI501P8000.ZF,OI501C8100.ZF,19.953064480167846,17.732903418925506,18.842983949546678
20240820,OI2501.ZF,OI501P8000.ZF,OI501C8100.ZF,19.729445105339515,17.201756851505152,18.465600978422334
