date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,14.899401750104888,13.468329899054924,14.183865824579906
20240103,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,14.65629032514541,13.169655547506517,13.912972936325964
20240104,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.145472324827178,12.7405417109679,13.94300701789754
20240105,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,13.746511429529104,13.137692749701685,13.442102089615394
20240108,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,15.179736263641768,14.57800419693856,14.878870230290165
20240109,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,14.596671227522547,14.022223393410346,14.309447310466446
20240110,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.490183730245436,13.52798418721251,14.509083958728972
20240111,PK2403.ZF,PK403P8900.ZF,PK403C9000.ZF,16.12401810171413,14.588949939169682,15.356484020441908
20240112,PK2403.ZF,PK403P8900.ZF,PK403C9000.ZF,14.694566532224155,14.260457484668793,14.477512008446475
20240115,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.00354013361124,14.198819745851349,14.601179939731296
20240116,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.02541459857096,13.976867094150549,14.501140846360755
20240117,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,13.658234507551503,14.15211086943485,13.905172688493177
20240118,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,14.014365362106377,13.667190720367186,13.840778041236781
20240119,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,13.444171133345181,13.614106588575126,13.529138860960153
20240122,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.672106374925216,15.2019845125557,15.437045443740459
20240123,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.081400230702863,14.474742786041483,14.778071508372173
20240124,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,14.937776267281377,14.904809932699564,14.921293099990471
20240125,PK2403.ZF,PK403P8900.ZF,PK403C9000.ZF,14.889997841953834,16.000040187273594,15.445019014613713
20240126,PK2403.ZF,PK403P8900.ZF,PK403C9000.ZF,15.476988213653264,14.571059466807245,15.024023840230255
20240129,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.333301856324816,14.43561694891024,14.884459402617528
20240130,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.626311308721982,14.368553387299968,14.997432348010975
20240131,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.448101849603917,16.939721656632777,16.193911753118346
20240201,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,15.108362186980717,15.069027248994244,15.08869471798748
20240202,PK2403.ZF,PK403P8800.ZF,PK403C8900.ZF,13.231792728312296,13.184345924641363,13.20806932647683
20240205,PK2403.ZF,PK403P8700.ZF,PK403C8800.ZF,18.35858395697928,18.371100405711065,18.364842181345175
20240206,PK404.ZF,PK404P8600.ZF,PK404C8700.ZF,14.269614320254757,13.309375827573374,13.789495073914065
20240207,PK404.ZF,PK404P8600.ZF,PK404C8700.ZF,14.914950446128847,12.958796804623104,13.936873625375975
20240208,PK404.ZF,PK404P8700.ZF,PK404C8800.ZF,14.887942514033556,13.074949711555902,13.981446112794728
20240219,PK404.ZF,PK404P9000.ZF,PK404C9100.ZF,16.10576480558092,14.14120522952302,15.123485017551971
20240220,PK2404.ZF,PK404P8900.ZF,PK404C9000.ZF,13.339950438189902,13.356062376991465,13.348006407590685
20240221,PK2404.ZF,PK404P9100.ZF,PK404C9200.ZF,16.31745291342218,14.714390297738401,15.51592160558029
20240222,PK2404.ZF,PK404P9100.ZF,PK404C9200.ZF,15.757643075490973,13.806476938334121,14.782060006912548
20240223,PK2404.ZF,PK404P9100.ZF,PK404C9200.ZF,15.45685366805458,14.697027216266775,15.076940442160677
20240226,PK2404.ZF,PK404P9100.ZF,PK404C9200.ZF,15.876007734418913,15.098947201820332,15.487477468119621
20240227,PK2404.ZF,PK404P9000.ZF,PK404C9100.ZF,14.842552552182712,14.574497751245074,14.708525151713893
20240228,PK2404.ZF,PK404P9000.ZF,PK404C9100.ZF,14.142542905053029,13.84675160890312,13.994647256978073
