date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,RM2403.ZF,RM403P2750.ZF,RM403C2800.ZF,22.723707127556473,22.96714432722214,22.845425727389305
20240103,RM2403.ZF,RM403P2750.ZF,RM403C2800.ZF,23.648283269562917,22.85173013941987,23.250006704491394
20240104,RM2403.ZF,RM403P2750.ZF,RM403C2800.ZF,22.134241669319298,21.289980322490383,21.71211099590484
20240105,RM2403.ZF,RM403P2700.ZF,RM403C2750.ZF,22.73932015749859,21.968728318568267,22.35402423803343
20240108,RM2403.ZF,RM403P2650.ZF,RM403C2700.ZF,24.125998237759934,23.860287799674158,23.993143018717046
20240109,RM2403.ZF,RM403P2650.ZF,RM403C2700.ZF,23.319113166051313,22.589920582481533,22.954516874266425
20240110,RM2403.ZF,RM403P2600.ZF,RM403C2650.ZF,23.5153931748324,22.49209699693201,23.003745085882205
20240111,RM2403.ZF,RM403P2600.ZF,RM403C2650.ZF,24.852954207674724,22.88002337025902,23.866488788966873
20240112,RM2403.ZF,RM403P2600.ZF,RM403C2650.ZF,25.442917070379494,23.730823409332388,24.58687023985594
20240115,RM2403.ZF,RM403P2600.ZF,RM403C2650.ZF,23.79376566526547,23.10422553773821,23.448995601501842
20240116,RM2403.ZF,RM403P2600.ZF,RM403C2650.ZF,24.30983991574485,23.401218426240362,23.855529170992604
20240117,RM2403.ZF,RM403P2550.ZF,RM403C2600.ZF,24.027617604149043,23.4272464881527,23.727432046150874
20240118,RM2405.ZF,RM405P2550.ZF,RM405C2600.ZF,21.58833410330508,19.79596198608335,20.692148044694214
20240119,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,20.940468496685043,19.35309644659151,20.146782471638275
20240122,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,21.04562095804985,20.15133265032745,20.59847680418865
20240123,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,21.187124908052674,19.122417059359083,20.15477098370588
20240124,RM2405.ZF,RM405P2550.ZF,RM405C2600.ZF,20.60049603133726,19.181515166267925,19.891005598802593
20240125,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,20.679231651666242,19.504719771401195,20.09197571153372
20240126,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,20.972054411815595,19.897389296931404,20.4347218543735
20240129,RM2405.ZF,RM405P2450.ZF,RM405C2475.ZF,21.1594969341186,21.875115006516992,21.517305970317796
20240130,RM2405.ZF,RM405P2450.ZF,RM405C2475.ZF,22.907866639263943,20.0785139929889,21.493190316126423
20240131,RM2405.ZF,RM405P2475.ZF,RM405C2500.ZF,22.10351351642974,20.37251050577485,21.238012011102295
20240201,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,21.35671092048346,20.332093793757213,20.844402357120337
20240202,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,21.16334356916206,19.864694828021523,20.51401919859179
20240205,RM2405.ZF,RM405P2475.ZF,RM405C2500.ZF,22.32341691276084,20.96598907217495,21.644702992467895
20240206,RM2405.ZF,RM405P2475.ZF,RM405C2500.ZF,22.369726861069612,21.02334481545543,21.69653583826252
20240207,RM2405.ZF,RM405P2425.ZF,RM405C2450.ZF,22.42529109291756,20.668521638202446,21.546906365560005
20240208,RM2405.ZF,RM405P2450.ZF,RM405C2475.ZF,22.740996943138743,21.817838311780918,22.27941762745983
20240219,RM2405.ZF,RM405P2475.ZF,RM405C2500.ZF,23.015676518549817,21.45330659969453,22.234491559122173
20240220,RM2405.ZF,RM405P2450.ZF,RM405C2500.ZF,21.24483441128197,21.246957272881474,21.245895842081723
20240221,RM2405.ZF,RM405P2425.ZF,RM405C2450.ZF,20.448030059504045,19.983937939269612,20.21598399938683
20240222,RM2405.ZF,RM405P2425.ZF,RM405C2450.ZF,20.878886271636297,19.351447478668995,20.115166875152646
20240223,RM2405.ZF,RM405P2425.ZF,RM405C2450.ZF,18.529965469976887,17.88724531097394,18.208605390475412
20240226,RM2405.ZF,RM405P2425.ZF,RM405C2450.ZF,19.71686316763026,18.11723910835053,18.9170511379904
20240227,RM2405.ZF,RM405P2450.ZF,RM405C2475.ZF,19.014949653632314,17.845441420866234,18.430195537249276
20240228,RM2405.ZF,RM405P2450.ZF,RM405C2475.ZF,19.03628386950824,18.07854850745742,18.55741618848283
20240229,RM2405.ZF,RM405P2425.ZF,RM405C2450.ZF,17.975637258679246,17.573421267377572,17.77452926302841
20240301,RM2405.ZF,RM405P2475.ZF,RM405C2500.ZF,19.582043488849585,17.898884770161132,18.74046412950536
20240304,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,20.84826210424111,19.68007115663797,20.26416663043954
20240305,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,19.611280747596517,19.117709793521286,19.3644952705589
20240306,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,18.949776547152027,18.429716880835535,18.68974671399378
20240307,RM2405.ZF,RM405P2500.ZF,RM405C2550.ZF,19.13418410569725,18.09087262560552,18.612528365651386
20240308,RM2405.ZF,RM405P2550.ZF,RM405C2600.ZF,19.565905983354696,19.341273680412403,19.453589831883548
20240311,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,21.345436292566312,21.104520383637816,21.224978338102062
20240312,RM2405.ZF,RM405P2650.ZF,RM405C2700.ZF,23.463874134022078,22.491624231331524,22.977749182676803
20240313,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,21.229159541636434,21.23689794963994,21.233028745638187
20240314,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,23.290074637017632,22.39157741605961,22.840826026538622
20240315,RM2405.ZF,RM405P2650.ZF,RM405C2700.ZF,23.532899494294856,23.579622090044026,23.55626079216944
20240318,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,22.999446879715897,22.801130599326743,22.900288739521322
20240319,RM2405.ZF,RM405P2700.ZF,RM405C2750.ZF,24.66561241786928,24.154521710574418,24.41006706422185
20240320,RM2405.ZF,RM405P2700.ZF,RM405C2750.ZF,23.070420755470185,22.85094811467038,22.960684435070284
20240321,RM2405.ZF,RM405P2750.ZF,RM405C2800.ZF,24.483407058102074,25.49321265086893,24.9883098544855
20240322,RM2405.ZF,RM405P2700.ZF,RM405C2750.ZF,24.408768457712554,24.128811870370793,24.268790164041675
20240325,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,24.133012672318866,23.377553415991798,23.755283044155334
20240326,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,24.462129344801053,24.7970533473576,24.629591346079327
20240327,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,25.59979520676053,22.842213741593778,24.221004474177153
20240328,RM2405.ZF,RM405P2550.ZF,RM405C2600.ZF,26.114136757985378,23.899657100801527,25.006896929393452
20240329,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,20.251303995164076,20.010867259750622,20.13108562745735
20240401,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,20.302965694747215,21.3067256377455,20.804845666246358
20240402,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,20.539681416860805,21.523581807637786,21.031631612249296
20240403,RM2405.ZF,RM405P2600.ZF,RM405C2650.ZF,19.453031843420746,18.902556517148806,19.177794180284778
20240408,RM2405.ZF,RM405P2650.ZF,RM405C2700.ZF,22.108184448101824,27.065864212049622,24.58702433007572
20240409,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,23.157711200858316,20.433978529273983,21.79584486506615
20240410,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,22.279587347797587,20.05388514431993,21.16673624605876
20240411,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,21.974667748935374,20.05783123560298,21.016249492269175
20240412,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,21.67456390691043,19.765457707505522,20.720010807207977
20240415,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,22.77414787459299,20.60261535735311,21.68838161597305
20240416,RM2409.ZF,RM409P2800.ZF,RM409C2850.ZF,23.242316666450662,20.30684823743833,21.774582451944497
20240417,RM2409.ZF,RM409P2650.ZF,RM409C2700.ZF,22.251446440284436,20.758948352765884,21.505197396525162
20240418,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,22.906100583908636,21.22993778262027,22.068019183264454
20240419,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,23.885765423403253,22.292632105648106,23.08919876452568
20240422,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,23.112393257406573,21.357065452980965,22.23472935519377
20240423,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,24.42055714035039,22.647445005586505,23.534001072968447
20240424,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,24.39079508763942,22.405383458942644,23.398089273291035
20240425,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,25.041904352166846,22.15926890556739,23.60058662886712
20240426,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,24.245257049359907,22.417267613751843,23.331262331555877
20240429,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,24.569054642920698,22.758076529794884,23.66356558635779
20240430,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,24.426717228793247,22.927633392184042,23.677175310488643
20240506,RM2409.ZF,RM409P2800.ZF,RM409C2850.ZF,23.744623621092977,23.799758858166154,23.772191239629564
20240507,RM2409.ZF,RM409P2900.ZF,RM409C2950.ZF,25.999465183688148,23.80441109726329,24.90193814047572
20240508,RM2409.ZF,RM409P2900.ZF,RM409C2950.ZF,25.67983895006786,23.867850951935754,24.773844951001806
20240509,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.093478065489144,22.658978981659665,23.376228523574405
20240510,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.119738864972962,23.893233009972576,24.006485937472767
20240513,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.231791086041714,22.56344271828537,23.39761690216354
20240514,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.27573017155128,22.440681656382385,23.358205913966835
20240515,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.49001984846059,22.677704372163326,23.58386211031196
20240516,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,23.572372202266113,21.928546510425022,22.750459356345566
20240517,RM2409.ZF,RM409P2900.ZF,RM409C2950.ZF,24.327054736300262,22.960637051380107,23.643845893840187
20240520,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.066257055810894,23.395159778373305,23.7307084170921
20240521,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.55400262659055,23.359720037414863,23.956861332002706
20240522,RM2409.ZF,RM409P2900.ZF,RM409C2950.ZF,25.453848556489422,23.859718695808294,24.656783626148858
20240523,RM2409.ZF,RM409P2900.ZF,RM409C2950.ZF,25.184188438183174,24.702471923095963,24.94333018063957
20240524,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.862352704583945,23.024693220755186,23.943522962669565
20240527,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.586806662827165,23.569688197473564,24.078247430150363
20240528,RM2409.ZF,RM409P2850.ZF,RM409C2900.ZF,24.021360400711238,23.148215958121476,23.584788179416357
20240529,RM2409.ZF,RM409P2800.ZF,RM409C2850.ZF,24.216032436018857,23.138507553744116,23.677269994881485
20240530,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,24.0800455023091,22.359249144810203,23.219647323559652
20240531,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,23.192675036966182,23.044543272601477,23.11860915478383
20240603,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,23.53851303116217,21.840956777838468,22.68973490450032
20240604,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,23.545725047959767,23.31973414903599,23.43272959849788
20240605,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,23.9580755365091,22.60779578037982,23.28293565844446
20240606,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,24.45342589717696,22.68447497494591,23.568950436061435
20240607,RM2409.ZF,RM409P2750.ZF,RM409C2800.ZF,22.54374986223803,21.738646483038906,22.141198172638468
20240611,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,22.57542304041485,21.413730303087988,21.994576671751418
20240612,RM2409.ZF,RM409P2700.ZF,RM409C2750.ZF,22.28099107469104,20.354576148730352,21.317783611710695
20240613,RM2409.ZF,RM409P2650.ZF,RM409C2700.ZF,20.386280417437845,21.4763801957815,20.931330306609674
20240614,RM2409.ZF,RM409P2650.ZF,RM409C2700.ZF,21.452144442635003,20.317411624305883,20.884778033470443
20240617,RM2409.ZF,RM409P2600.ZF,RM409C2650.ZF,21.61004732852491,21.11792814417407,21.36398773634949
20240618,RM2409.ZF,RM409P2550.ZF,RM409C2600.ZF,22.729307874348248,21.362148675738332,22.045728275043288
20240619,RM2409.ZF,RM409P2550.ZF,RM409C2600.ZF,22.712586749262922,20.968931665441424,21.84075920735217
20240620,RM2409.ZF,RM409P2550.ZF,RM409C2600.ZF,23.88143481792605,22.820138296218715,23.350786557072382
20240621,RM2409.ZF,RM409P2550.ZF,RM409C2600.ZF,24.39380934435236,22.795970770193506,23.594890057272934
20240624,RM2409.ZF,RM409P2550.ZF,RM409C2600.ZF,24.22756614780474,23.238336931800866,23.732951539802805
20240625,RM2409.ZF,RM409P2550.ZF,RM409C2600.ZF,23.966989287773732,22.707929550399022,23.33745941908638
20240626,RM2409.ZF,RM409P2600.ZF,RM409C2650.ZF,24.276527706942115,23.52641337058672,23.901470538764418
20240627,RM2409.ZF,RM409P2600.ZF,RM409C2650.ZF,24.43651106195834,23.698179328937503,24.06734519544792
20240628,RM2409.ZF,RM409P2600.ZF,RM409C2650.ZF,23.784212392006015,23.04037192299939,23.412292157502705
20240701,RM2409.ZF,RM409P2650.ZF,RM409C2700.ZF,23.870381688494042,23.165989044712347,23.518185366603195
20240702,RM2409.ZF,RM409P2650.ZF,RM409C2700.ZF,23.318245542377905,22.470093689599747,22.894169615988826
20240703,RM2409.ZF,RM409P2650.ZF,RM409C2700.ZF,22.733488545381466,22.857064790414448,22.79527666789796
20240704,RM2409.ZF,RM409P2600.ZF,RM409C2650.ZF,23.23946564492186,22.647363447552962,22.943414546237413
20240705,RM2409.ZF,RM409P2600.ZF,RM409C2650.ZF,21.90608880555836,22.373204270619276,22.13964653808882
20240708,RM2409.ZF,RM409P2600.ZF,RM409C2650.ZF,22.400012872206176,21.934239275841286,22.16712607402373
20240709,RM2409.ZF,RM409P2550.ZF,RM409C2600.ZF,23.16563061317408,22.617005309401648,22.891317961287864
20240710,RM2409.ZF,RM409P2500.ZF,RM409C2550.ZF,22.935388979256917,21.912418963461857,22.423903971359387
20240711,RM2409.ZF,RM409P2475.ZF,RM409C2500.ZF,22.204190443198968,22.806371580903342,22.505281012051157
20240712,RM2409.ZF,RM409P2450.ZF,RM409C2475.ZF,22.540531167192913,21.364162004135387,21.952346585664152
20240715,RM2409.ZF,RM409P2400.ZF,RM409C2425.ZF,23.52742667204911,22.991782734259495,23.259604703154302
20240716,RM2409.ZF,RM409P2450.ZF,RM409C2475.ZF,26.04062327693295,26.97817780527492,26.509400541103936
20240717,RM2409.ZF,RM409P2475.ZF,RM409C2500.ZF,28.59190836640415,27.917285582735644,28.2545969745699
20240718,RM2409.ZF,RM409P2450.ZF,RM409C2475.ZF,26.023296560903596,24.992179361151432,25.507737961027516
20240719,RM2409.ZF,RM409P2500.ZF,RM409C2550.ZF,27.20378520222632,27.376055253369803,27.289920227798063
20240722,RM2409.ZF,RM409P2500.ZF,RM409C2550.ZF,28.17064345558607,29.471656555214516,28.82115000540029
20240723,RM2409.ZF,RM409P2425.ZF,RM409C2450.ZF,26.881653138806012,26.09311579356652,26.487384466186263
20240724,RM2409.ZF,RM409P2450.ZF,RM409C2475.ZF,25.222571963878295,24.96747920063814,25.095025582258216
20240725,RM2409.ZF,RM409P2425.ZF,RM409C2450.ZF,23.189888813274273,25.574354605963563,24.382121709618918
20240726,RM2409.ZF,RM409P2475.ZF,RM409C2500.ZF,25.15185404323969,25.306226511214863,25.229040277227277
20240729,RM2409.ZF,RM409P2425.ZF,RM409C2450.ZF,26.380278984236316,25.50129633552261,25.94078765987946
20240730,RM2409.ZF,RM409P2400.ZF,RM409C2425.ZF,25.095006225378135,25.859437169978982,25.47722169767856
20240731,RM2409.ZF,RM409P2425.ZF,RM409C2450.ZF,23.748760654583123,24.112340587506036,23.93055062104458
20240801,RM2409.ZF,RM409P2400.ZF,RM409C2425.ZF,26.13520319730709,24.855377364744832,25.49529028102596
20240802,RM2409.ZF,RM409P2400.ZF,RM409C2425.ZF,24.771916018779283,25.41986293391175,25.09588947634552
20240805,RM2409.ZF,RM409P2350.ZF,RM409C2375.ZF,27.227127117489324,27.03966375465086,27.133395436070092
20240806,RM2409.ZF,RM409P2300.ZF,RM409C2325.ZF,28.56660282343971,27.615294522206916,28.090948672823313
20240807,RM2409.ZF,RM409P2250.ZF,RM409C2275.ZF,31.01097855209398,31.041228056130493,31.026103304112237
20240808,RM2409.ZF,RM409P2225.ZF,RM409C2250.ZF,27.71668308262265,28.43640306489939,28.076543073761023
20240809,RM2409.ZF,RM409P2225.ZF,RM409C2250.ZF,24.812328199783497,23.77945967941406,24.295893939598777
20240812,RM2501.ZF,RM501P2250.ZF,RM501C2275.ZF,21.41043215086778,19.033635493857716,20.222033822362746
20240813,RM2501.ZF,RM501P2150.ZF,RM501C2200.ZF,20.567657580082116,20.705508259834144,20.63658291995813
20240814,RM2501.ZF,RM501P2125.ZF,RM501C2150.ZF,23.197743413122687,21.307846466768655,22.252794939945673
20240815,RM2501.ZF,RM501P2175.ZF,RM501C2200.ZF,23.129152359983877,20.75684408418054,21.94299822208221
20240816,RM2501.ZF,RM501P2150.ZF,RM501C2175.ZF,23.532998959905356,20.378704530972673,21.955851745439013
20240819,RM2501.ZF,RM501P2150.ZF,RM501C2175.ZF,23.923804712669078,20.58310833986663,22.253456526267854
20240820,RM2501.ZF,RM501P2175.ZF,RM501C2200.ZF,22.907406061906904,20.98333531698779,21.945370689447348
20240821,RM2501.ZF,RM501P2200.ZF,RM501C2225.ZF,22.945510942377016,20.27742169160997,21.611466316993493
20240822,RM2501.ZF,RM501P2175.ZF,RM501C2200.ZF,22.64351470041102,20.3539283944104,21.49872154741071
20240823,RM2501.ZF,RM501P2150.ZF,RM501C2175.ZF,22.167934846618223,19.7339663656856,20.950950606151913
20240826,RM2501.ZF,RM501P2200.ZF,RM501C2225.ZF,22.082917993053066,20.650029212074067,21.366473602563566
20240827,RM2501.ZF,RM501P2200.ZF,RM501C2225.ZF,22.051113610964062,19.51488381271628,20.782998711840172
20240828,RM2501.ZF,RM501P2225.ZF,RM501C2250.ZF,22.337006958007535,19.676427535116726,21.006717246562133
20240829,RM2501.ZF,RM501P2225.ZF,RM501C2250.ZF,21.576089155484393,19.223421177334433,20.399755166409413
20240830,RM2501.ZF,RM501P2225.ZF,RM501C2250.ZF,22.187407513298748,19.064156091355947,20.625781802327346
20240902,RM2501.ZF,RM501P2225.ZF,RM501C2250.ZF,21.08607788695879,19.440758332144082,20.263418109551438
20240903,RM2501.ZF,RM501P2350.ZF,RM501C2400.ZF,26.368808086751404,27.702269199266837,27.03553864300912
20240904,RM2501.ZF,RM501P2400.ZF,RM501C2425.ZF,25.961366058038582,23.246513793652632,24.60393992584561
20240905,RM2501.ZF,RM501P2500.ZF,RM501C2550.ZF,29.118323871310686,27.147834640116475,28.133079255713582
20240906,RM2501.ZF,RM501P2500.ZF,RM501C2550.ZF,28.359075114053827,25.72156401289322,27.040319563473524
20240909,RM2501.ZF,RM501P2500.ZF,RM501C2550.ZF,27.56912577393767,26.961962754050145,27.26554426399391
20240910,RM2501.ZF,RM501P2450.ZF,RM501C2475.ZF,26.882068257733057,26.02937191883219,26.455720088282625
20240911,RM2501.ZF,RM501P2500.ZF,RM501C2550.ZF,27.99044657099014,25.321829946020213,26.656138258505177
20240912,RM2501.ZF,RM501P2500.ZF,RM501C2550.ZF,28.027453952664327,25.865302967639703,26.946378460152015
20240913,RM2501.ZF,RM501P2550.ZF,RM501C2600.ZF,27.431909517899477,25.405727106820226,26.418818312359853
20240918,RM2501.ZF,RM501P2550.ZF,RM501C2600.ZF,28.1679112569399,26.099935278886417,27.133923267913158
20240919,RM2501.ZF,RM501P2500.ZF,RM501C2550.ZF,28.58871583032132,27.211862492598836,27.90028916146008
20240920,RM2501.ZF,RM501P2500.ZF,RM501C2550.ZF,27.356304886656012,26.156159637402947,26.756232262029478
20240923,RM2501.ZF,RM501P2475.ZF,RM501C2550.ZF,27.816291964808677,25.998870464458513,26.907581214633595
20240924,RM2501.ZF,RM501P2550.ZF,RM501C2600.ZF,27.648060026451986,25.3552142222294,26.501637124340693
