date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,SF2402.ZF,SF402P6600.ZF,SF402C6700.ZF,18.180964738594522,19.15247094442353,18.666717841509026
20240103,SF2403.ZF,SF403P6800.ZF,SF403C6900.ZF,15.952352881614152,17.339824448959174,16.646088665286662
20240104,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,19.131098344861506,15.950014241868216,17.54055629336486
20240105,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,15.422940513221583,15.2716369898233,15.347288751522441
20240108,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,15.658086679284583,16.172878097295758,15.91548238829017
20240109,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,16.76674473889348,16.064031623644674,16.415388181269076
20240110,SF2403.ZF,SF403P6600.ZF,SF403C6700.ZF,15.613857556399413,16.778777354861564,16.19631745563049
20240111,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,15.499093272120604,16.366711175902665,15.932902224011634
20240112,SF2403.ZF,SF403P6600.ZF,SF403C6800.ZF,15.547257179288382,16.28582995636581,15.916543567827095
20240115,SF2403.ZF,SF403P6600.ZF,SF403C6700.ZF,15.506931360372779,15.097110208910907,15.302020784641844
20240116,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,15.5702161425377,15.106797873539927,15.338507008038814
20240117,SF2403.ZF,SF403P6600.ZF,SF403C6700.ZF,14.746653617500968,14.354796851359538,14.550725234430253
20240118,SF2403.ZF,SF403P6600.ZF,SF403C6700.ZF,14.207717481017484,14.860510636028964,14.534114058523224
20240119,SF2403.ZF,SF403P6600.ZF,SF403C6700.ZF,13.223091653341646,15.431516406883858,14.327304030112753
20240122,SF2403.ZF,SF403P6600.ZF,SF403C6700.ZF,14.41622328684209,15.548348696454573,14.982285991648332
20240123,SF2403.ZF,SF403P6600.ZF,SF403C6700.ZF,14.869432448571281,16.850074744538546,15.859753596554913
20240124,SF2403.ZF,SF403P6600.ZF,SF403C6800.ZF,14.282909299223567,15.910365466037705,15.096637382630636
20240125,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,12.361843868202246,16.190085839152776,14.275964853677511
20240126,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,12.54239937016515,13.160513693044908,12.851456531605029
20240129,SF2403.ZF,SF403P6800.ZF,SF403C6900.ZF,14.077230062583368,16.516447227592117,15.296838645087742
20240130,SF2403.ZF,SF403P6700.ZF,SF403C6800.ZF,14.857934069644582,14.800692248088811,14.829313158866697
20240131,SF2403.ZF,SF403P6600.ZF,SF403C6700.ZF,14.802170074554297,14.967102832672891,14.884636453613595
20240201,SF2403.ZF,SF403P6500.ZF,SF403C6600.ZF,17.839060134651145,16.17357238944038,17.006316262045765
20240202,SF2403.ZF,SF403P6500.ZF,SF403C6600.ZF,15.05790819330057,17.46584481236935,16.26187650283496
20240205,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,15.014804673335155,14.388808180099701,14.701806426717429
20240206,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,15.719435351715902,14.811360485631496,15.265397918673699
20240207,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,15.424702254045341,14.293336432175675,14.859019343110507
20240208,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,16.996957863545198,16.479905311154916,16.738431587350057
20240219,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,17.04168633926806,14.874457492403902,15.958071915835982
20240220,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,15.677529969649159,14.230219681980346,14.953874825814752
20240221,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,15.06288256040896,13.724318502231823,14.393600531320391
20240222,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,14.618876540797102,12.58459722038884,13.60173688059297
20240223,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,14.550155661339344,12.906819684447818,13.728487672893582
20240226,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,14.91513200399394,12.404104038174381,13.65961802108416
20240227,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,14.217186938037004,13.176488029625629,13.696837483831317
20240228,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,13.34993036856924,11.85894105223786,12.60443571040355
20240229,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,13.733654354232383,12.63055040913752,13.182102381684953
20240301,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,13.351442641217051,12.345312351877583,12.848377496547318
20240304,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,15.595896366697778,14.432700026522626,15.014298196610202
20240305,SF2405.ZF,SF405P6600.ZF,SF405C6700.ZF,13.988633335240513,13.176687011971227,13.58266017360587
20240306,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,13.062487142932182,13.136227102097603,13.099357122514892
20240307,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,12.647752379840545,12.369107089333788,12.508429734587168
20240308,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,12.359949747476453,12.07013992025949,12.215044833867971
20240311,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,13.29302814973885,13.762890701510146,13.527959425624498
20240312,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,12.53981639156697,13.779865460174989,13.159840925870979
20240313,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,13.098325474332787,13.150491751860402,13.124408613096595
20240314,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,12.792096394729974,11.718028360815016,12.255062377772495
20240315,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,13.700135612969849,14.483962560905479,14.092049086937664
20240318,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,16.485137814331036,16.676136107757642,16.58063696104434
20240319,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,14.748900367427584,14.652518445970813,14.700709406699199
20240320,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,13.604432821392736,15.046143431228531,14.325288126310634
20240321,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,14.395474194982697,14.575602513544897,14.485538354263797
20240322,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,12.346647535041159,14.04921884167321,13.197933188357183
20240325,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,14.883638102129334,15.40913579732479,15.146386949727063
20240326,SF2405.ZF,SF405P6300.ZF,SF405C6400.ZF,13.412107970743536,27.554298775530683,20.48320337313711
20240327,SF2405.ZF,SF405P6300.ZF,SF405C6400.ZF,13.65058256707127,12.344412043864612,12.997497305467942
20240328,SF2405.ZF,SF405P6300.ZF,SF405C6400.ZF,13.858323917653886,12.661558607262569,13.259941262458227
20240329,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,13.933887385932739,12.937879313770221,13.43588334985148
20240401,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,14.47179853160518,13.285635598432973,13.878717065019076
20240402,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,14.54603597223359,12.629456500983846,13.587746236608718
20240403,SF2405.ZF,SF405P6400.ZF,SF405C6500.ZF,14.5735754590221,10.049865411817285,12.311720435419693
20240408,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,15.979222941037156,16.425810370064763,16.20251665555096
20240409,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,17.73019026980773,15.234765734721897,16.482478002264813
20240410,SF2405.ZF,SF405P6500.ZF,SF405C6600.ZF,13.57107879187924,18.132854368366537,15.851966580122888
20240411,SF406.ZF,SF406P6400.ZF,SF406C6500.ZF,13.6030528381655,12.813972753378264,13.208512795771881
20240412,SF406.ZF,SF406P6500.ZF,SF406C6600.ZF,13.457502987150782,14.84102930858886,14.14926614786982
20240415,SF406.ZF,SF406P6500.ZF,SF406C6600.ZF,17.160461294266685,14.465143409338028,15.812802351802357
20240416,SF406.ZF,SF406P6500.ZF,SF406C6600.ZF,15.166938855530166,14.85039598297902,15.008667419254593
20240417,SF2406.ZF,SF406P6500.ZF,SF406C6600.ZF,13.615554546670802,13.013202449779456,13.314378498225128
20240418,SF2406.ZF,SF406P6600.ZF,SF406C6800.ZF,16.63605451395474,15.98700900491687,16.311531759435805
20240419,SF2406.ZF,SF406P6600.ZF,SF406C6700.ZF,15.841030917603074,14.401186828100435,15.121108872851755
20240422,SF2406.ZF,SF406P6700.ZF,SF406C6800.ZF,19.313991924341696,17.61548893590284,18.46474043012227
20240423,SF2406.ZF,SF406P6500.ZF,SF406C6600.ZF,18.074034928391345,18.097143162804997,18.08558904559817
20240424,SF2406.ZF,SF406P6600.ZF,SF406C6700.ZF,21.456377411523334,23.897656849087635,22.677017130305487
20240425,SF2406.ZF,SF406P6700.ZF,SF406C6800.ZF,24.56521886342223,24.803014810314057,24.684116836868142
20240426,SF2406.ZF,SF406P6700.ZF,SF406C6800.ZF,20.391519411055352,22.766427128287173,21.578973269671263
20240429,SF2409.ZF,SF409P6800.ZF,SF409C6900.ZF,20.82234050934014,17.675109058512586,19.248724783926363
20240430,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,26.615462319275363,22.249131727548786,24.432297023412076
20240506,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,24.046887005824182,21.833753498666848,22.940320252245513
20240507,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,22.66507055927449,19.393096959515894,21.029083759395192
20240508,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,21.908602213398733,19.389887751015266,20.649244982207
20240509,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,21.588689150790227,19.803916086886765,20.696302618838494
20240510,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,21.435553260425223,19.185492506186115,20.31052288330567
20240513,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,20.362146758507805,19.814452027978206,20.088299393243005
20240514,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,20.033631006030504,17.33612215966909,18.684876582849796
20240515,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,20.418029016814778,17.524187535752468,18.971108276283623
20240516,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,21.680497324648705,18.618488083646138,20.14949270414742
20240517,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,20.986107104344224,19.45150078038899,20.218803942366605
20240520,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,21.589507809243333,18.552236361262448,20.07087208525289
20240521,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,20.954369344957595,22.528757508919963,21.74156342693878
20240522,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,19.854858432491206,20.730671298097842,20.292764865294522
20240523,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,21.204018032954348,18.899224130599343,20.051621081776844
20240524,SF2409.ZF,SF409P7300.ZF,SF409C7500.ZF,22.110663995305696,20.923510516334794,21.517087255820243
20240527,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,24.016060176092573,21.19106307065282,22.6035616233727
20240528,SF2409.ZF,SF409P7200.ZF,SF409C7300.ZF,20.63078937784696,19.206427922805037,19.918608650326
20240529,SF2409.ZF,SF409P7200.ZF,SF409C7300.ZF,24.805291898562512,19.901109718745253,22.35320080865388
20240603,SF2409.ZF,SF409P7400.ZF,SF409C7500.ZF,40.59900321740719,27.17877039562992,33.888886806518556
20240604,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,27.674703876067024,29.18323770400486,28.42897079003594
20240605,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,27.21992862246215,24.15833513888162,25.689131880671884
20240606,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,25.4631336070715,24.70448359756029,25.083808602315898
20240607,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,25.716635308022877,24.261034698849514,24.988835003436193
20240611,SF2409.ZF,SF409P7300.ZF,SF409C7400.ZF,23.17358179887805,25.836274727934754,24.504928263406402
20240612,SF2409.ZF,SF409P7200.ZF,SF409C7300.ZF,25.419643548818954,25.091935444074696,25.255789496446823
20240613,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,26.451359541222878,25.220045535366953,25.835702538294917
20240614,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,27.0508513539458,22.939262046833033,24.995056700389416
20240617,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,25.052539555666336,24.212830567513798,24.632685061590067
20240618,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,24.43285583684817,27.266757653816835,25.8498067453325
20240619,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,26.94812000566376,25.95629231737095,26.452206161517353
20240620,SF2409.ZF,SF409P7100.ZF,SF409C7200.ZF,24.340585887498502,24.741218674887236,24.54090228119287
20240621,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,24.148400231494918,23.78622222052896,23.967311226011937
20240624,SF2409.ZF,SF409P6900.ZF,SF409C7000.ZF,23.285159929642994,23.692355396104038,23.488757662873518
20240625,SF2409.ZF,SF409P6900.ZF,SF409C7000.ZF,23.842947016035577,23.81372402046395,23.828335518249766
20240626,SF2409.ZF,SF409P6900.ZF,SF409C7000.ZF,23.91261751101922,22.42227922500666,23.16744836801294
20240627,SF2409.ZF,SF409P6800.ZF,SF409C6900.ZF,22.70732822223533,20.923533984274677,21.815431103255
20240628,SF2409.ZF,SF409P6800.ZF,SF409C6900.ZF,21.191143700391883,21.054648846552315,21.1228962734721
20240701,SF2409.ZF,SF409P6900.ZF,SF409C7000.ZF,22.268510155780554,20.90640985711581,21.587460006448183
20240702,SF2409.ZF,SF409P6900.ZF,SF409C7000.ZF,21.335878635856023,21.693263306676993,21.514570971266508
20240703,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,22.84440551037073,21.938886763136807,22.39164613675377
20240704,SF2409.ZF,SF409P7000.ZF,SF409C7100.ZF,22.851531053605477,22.18309601951709,22.517313536561282
20240705,SF2409.ZF,SF409P6800.ZF,SF409C6900.ZF,20.88584094622639,20.884875925981895,20.88535843610414
20240708,SF2409.ZF,SF409P6800.ZF,SF409C6900.ZF,21.037739251136692,20.161048201232653,20.599393726184672
20240709,SF2409.ZF,SF409P6700.ZF,SF409C6800.ZF,19.05507363759614,18.957983933384185,19.00652878549016
20240710,SF2409.ZF,SF409P6600.ZF,SF409C6700.ZF,19.014838152647112,17.90810521506008,18.461471683853595
20240711,SF2409.ZF,SF409P6700.ZF,SF409C6800.ZF,18.363173181998764,18.11748678996335,18.240329985981056
20240712,SF2409.ZF,SF409P6600.ZF,SF409C6700.ZF,17.974908812557842,18.504834242055214,18.239871527306526
20240715,SF2409.ZF,SF409P6700.ZF,SF409C6800.ZF,19.291110105913837,18.77150450596669,19.031307305940263
20240716,SF2409.ZF,SF409P6600.ZF,SF409C6700.ZF,18.925920966834905,17.574128398258996,18.25002468254695
20240717,SF2409.ZF,SF409P6600.ZF,SF409C6700.ZF,19.331252056933963,17.63726748365753,18.484259770295747
20240718,SF2409.ZF,SF409P6600.ZF,SF409C6700.ZF,17.370264353664165,16.03104956950295,16.700656961583558
20240719,SF2409.ZF,SF409P6600.ZF,SF409C6700.ZF,16.585220335000102,16.959513406169634,16.772366870584868
20240722,SF2409.ZF,SF409P6600.ZF,SF409C6700.ZF,16.91357347921004,17.66568823665348,17.289630857931762
20240723,SF2409.ZF,SF409P6600.ZF,SF409C6700.ZF,17.55971762264187,17.54267591601676,17.551196769329316
20240724,SF2409.ZF,SF409P6700.ZF,SF409C6800.ZF,18.482750651078913,18.770283921397013,18.626517286237963
