date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,SM2402.ZF,SM402P6300.ZF,SM402C6400.ZF,17.15587434361811,16.581172743673083,16.868523543645594
20240103,SM2403.ZF,SM403P6400.ZF,SM403C6500.ZF,16.388820587682748,16.484993716039398,16.43690715186107
20240104,SM2403.ZF,SM403P6400.ZF,SM403C6500.ZF,15.793927368965658,16.526249194678584,16.16008828182212
20240105,SM2403.ZF,SM403P6400.ZF,SM403C6500.ZF,16.06796214319824,15.049014305049768,15.558488224124005
20240108,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,14.204078387369808,15.68912320138062,14.946600794375215
20240109,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,14.872750422900058,14.832608473260306,14.852679448080181
20240110,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,14.373692150061451,14.99331577752859,14.68350396379502
20240111,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,12.550469619865497,15.042970575590358,13.796720097727928
20240112,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,12.110057664785897,13.855681321779048,12.982869493282472
20240115,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,12.543012980027799,13.601965518568004,13.072489249297902
20240116,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,11.05840403215859,12.44656300616693,11.752483519162759
20240117,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,12.16105307496345,12.289715858283563,12.225384466623506
20240118,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,12.049874053808505,12.140675038614303,12.095274546211403
20240119,SM2403.ZF,SM403P6400.ZF,SM403C6500.ZF,11.039813922626417,11.798763868623109,11.419288895624764
20240122,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,11.904933532515459,11.365095403197927,11.635014467856692
20240123,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,10.452906944846339,12.732337803343006,11.592622374094672
20240124,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,10.791554473729665,11.901659043608696,11.34660675866918
20240125,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,9.827364521312537,9.902130214456772,9.864747367884654
20240126,SM2403.ZF,SM403P6400.ZF,SM403C6500.ZF,10.813288098268291,12.09245076585576,11.452869432062027
20240129,SM2403.ZF,SM403P6400.ZF,SM403C6500.ZF,11.628647797264003,12.898708235604841,12.263678016434422
20240130,SM2403.ZF,SM403P6400.ZF,SM403C6500.ZF,11.652807499426666,14.847220119950869,13.250013809688767
20240131,SM2403.ZF,SM403P6300.ZF,SM403C6400.ZF,12.112007239732923,14.34136240527986,13.226684822506392
20240201,SM2403.ZF,SM403P6200.ZF,SM403C6300.ZF,14.324967941712169,12.398832028551999,13.361899985132084
20240202,SM2405.ZF,SM405P6200.ZF,SM405C6300.ZF,13.067059541103493,13.336867454486597,13.201963497795045
20240205,SM2405.ZF,SM405P6200.ZF,SM405C6300.ZF,13.189435970744034,13.20023385226025,13.194834911502141
20240206,SM2405.ZF,SM405P6200.ZF,SM405C6300.ZF,10.818975332949263,12.650635694599439,11.73480551377435
20240207,SM2405.ZF,SM405P6200.ZF,SM405C6300.ZF,14.072243991107547,13.719218980887362,13.895731485997455
20240208,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,14.170202952099947,13.60167742785874,13.885940189979344
20240219,SM2405.ZF,SM405P6200.ZF,SM405C6300.ZF,13.918542686394739,12.76273768760318,13.340640186998959
20240220,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,13.240404479618666,13.29379464388647,13.267099561752568
20240221,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,12.540918684673466,12.760725072640241,12.650821878656853
20240222,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,12.203282007765589,11.15712967756398,11.680205842664783
20240223,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,11.773185501067502,11.719190823209946,11.746188162138724
20240226,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,11.998022921483658,12.107619326100519,12.05282112379209
20240227,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,11.66571520175641,11.846170077048075,11.755942639402242
20240228,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,11.123490943517798,10.78118682245889,10.952338882988343
20240229,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,11.170699962441956,11.055291095328622,11.112995528885289
20240301,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,11.358953444796983,11.19649796861687,11.277725706706926
20240304,SM2405.ZF,SM405P6300.ZF,SM405C6400.ZF,11.12279680815146,12.94001426853593,12.031405538343694
20240305,SM2405.ZF,SM405P6200.ZF,SM405C6300.ZF,10.417417619923711,11.336998640140923,10.877208130032317
20240306,SM2405.ZF,SM405P6200.ZF,SM405C6300.ZF,10.2505359130663,10.765669758495331,10.508102835780814
