date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,a2403.DF,a2403-P-4900.DF,a2403-C-4950.DF,10.048445670421073,8.403987296310179,9.226216483365626
20240103,a2403.DF,a2403-P-4850.DF,a2403-C-4900.DF,10.577740784760282,9.235699306127906,9.906720045444091
20240104,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,10.12620879403391,8.986710684187804,9.556459739110856
20240105,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,9.605420924916196,8.333972849730056,8.969696887323126
20240108,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,10.110678829592445,8.964073631378932,9.537376230485688
20240109,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,9.478472464178584,9.454509560319243,9.466491012248913
20240110,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,10.480668111184466,9.123767330191273,9.80221772068787
20240111,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,10.04088512158636,8.402529405282806,9.221707263434585
20240112,a2403.DF,a2403-P-4750.DF,a2403-C-4800.DF,11.022681708636345,10.431884629463251,10.727283169049798
20240115,a2403.DF,a2403-P-4750.DF,a2403-C-4800.DF,10.66541574212105,10.706899274940133,10.686157508530592
20240116,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,10.313723380656867,10.223886909169408,10.268805144913138
20240117,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,10.27865226250935,8.909332542841229,9.59399240267529
20240118,a2403.DF,a2403-P-4750.DF,a2403-C-4800.DF,9.44895358006378,9.983882839129857,9.71641820959682
20240119,a2403.DF,a2403-P-4750.DF,a2403-C-4800.DF,9.732671352982818,9.192390256820149,9.462530804901483
20240122,a2403.DF,a2403-P-4750.DF,a2403-C-4800.DF,10.716345905713291,11.299890789879893,11.008118347796591
20240123,a2403.DF,a2403-P-4750.DF,a2403-C-4800.DF,9.942112385396232,9.924880153868529,9.93349626963238
20240124,a2403.DF,a2403-P-4800.DF,a2403-C-4850.DF,9.244840544744276,9.318653773226748,9.28174715898551
20240125,a2403.DF,a2403-P-4750.DF,a2403-C-4800.DF,7.687997899606623,8.89103689827109,8.289517398938855
20240126,a2403.DF,a2403-P-4650.DF,a2403-C-4700.DF,15.06765961402476,11.461821488942428,13.264740551483596
20240129,a2403.DF,a2403-P-4650.DF,a2403-C-4700.DF,15.240190144541335,12.603369259344872,13.921779701943104
20240130,a2403.DF,a2403-P-4650.DF,a2403-C-4700.DF,12.218332510527794,11.160541920225342,11.689437215376568
20240131,a2403.DF,a2403-P-4700.DF,a2403-C-4750.DF,11.607866674003072,10.875904455516432,11.241885564759752
20240201,a2403.DF,a2403-P-4700.DF,a2403-C-4750.DF,12.66732318377598,11.20732042112464,11.93732180245031
20240202,a2403.DF,a2403-P-4700.DF,a2403-C-4750.DF,12.25146674105824,10.335032765923229,11.293249753490734
20240205,a2403.DF,a2403-P-4700.DF,a2403-C-4750.DF,16.494678535928912,12.89586219403047,14.695270364979692
20240206,a2403.DF,a2403-P-4750.DF,a2403-C-4800.DF,10.371320097845972,16.160222394897875,13.265771246371925
20240207,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,19.580484912797477,11.38141841304135,15.480951662919413
20240208,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,11.957899255119388,10.124935570127194,11.041417412623291
20240219,a2405.DF,a2405-P-4650.DF,a2405-C-4700.DF,13.170500488282885,10.387781395888569,11.779140942085723
20240220,a2405.DF,a2405-P-4650.DF,a2405-C-4700.DF,9.827461549858397,8.125928445906204,8.976694997882301
20240221,a2405.DF,a2405-P-4650.DF,a2405-C-4700.DF,9.564469115410246,7.642404210040701,8.603436662725473
20240222,a2405.DF,a2405-P-4600.DF,a2405-C-4650.DF,9.524814273464504,8.206997317008307,8.865905795236406
20240223,a2405.DF,a2405-P-4550.DF,a2405-C-4600.DF,11.507105556769654,9.955997917589348,10.7315517371795
20240226,a2405.DF,a2405-P-4500.DF,a2405-C-4550.DF,11.620008694829568,10.129755832270783,10.874882263550177
20240227,a2405.DF,a2405-P-4550.DF,a2405-C-4600.DF,10.872115459645112,9.901244606950153,10.386680033297631
20240228,a2405.DF,a2405-P-4450.DF,a2405-C-4500.DF,12.345264306218557,11.567800683655737,11.956532494937148
20240229,a2405.DF,a2405-P-4500.DF,a2405-C-4550.DF,12.335116039034986,10.859495697604462,11.597305868319724
20240301,a2405.DF,a2405-P-4500.DF,a2405-C-4550.DF,11.22213248064534,9.975885333637285,10.599008907141313
20240304,a2405.DF,a2405-P-4550.DF,a2405-C-4600.DF,11.055812552564516,10.503116314611908,10.779464433588211
20240305,a2405.DF,a2405-P-4550.DF,a2405-C-4600.DF,10.623856851104923,10.288270281438349,10.456063566271638
20240306,a2405.DF,a2405-P-4600.DF,a2405-C-4650.DF,10.11788085434516,9.29654927850372,9.70721506642444
20240307,a2405.DF,a2405-P-4600.DF,a2405-C-4650.DF,9.786620262900932,8.301902264060828,9.04426126348088
20240308,a2405.DF,a2405-P-4650.DF,a2405-C-4700.DF,10.019058834131547,8.858338659055727,9.438698746593635
20240311,a2405.DF,a2405-P-4650.DF,a2405-C-4700.DF,10.784775324859597,8.648166957175532,9.716471141017564
20240312,a2405.DF,a2405-P-4650.DF,a2405-C-4700.DF,10.540051858724322,8.369202065915612,9.454626962319969
20240313,a2405.DF,a2405-P-4700.DF,a2405-C-4750.DF,9.971648121239024,8.687379620231479,9.329513870735251
20240314,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,11.46368025056968,9.79939524795008,10.63153774925988
20240315,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,9.877884984854711,8.47933465078674,9.178609817820725
20240318,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,9.982086189960116,9.619311149487135,9.800698669723626
20240319,a2405.DF,a2405-P-4700.DF,a2405-C-4750.DF,10.864737716291414,8.088829780417923,9.476783748354668
20240320,a2405.DF,a2405-P-4700.DF,a2405-C-4750.DF,10.367962629913388,9.544937769749536,9.956450199831462
20240321,a2405.DF,a2405-P-4700.DF,a2405-C-4750.DF,10.525476471058315,9.46419880343738,9.994837637247848
20240322,a2405.DF,a2405-P-4700.DF,a2405-C-4750.DF,10.259103936350655,8.74598060735043,9.502542271850544
20240325,a2405.DF,a2405-P-4700.DF,a2405-C-4750.DF,10.560553501080372,9.720049794259356,10.140301647669864
20240326,a2405.DF,a2405-P-4700.DF,a2405-C-4750.DF,10.537913614178404,9.756306016752694,10.147109815465548
20240327,a2405.DF,a2405-P-4700.DF,a2405-C-4750.DF,10.324374991013586,10.45176468530454,10.388069838159064
20240328,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,10.68732643340168,10.98320148958354,10.83526396149261
20240329,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,9.885751041768884,9.720986766915573,9.803368904342229
20240401,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,10.210723842360304,10.960978601447083,10.585851221903695
20240402,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,9.568019394676035,9.409862349538445,9.48894087210724
20240403,a2405.DF,a2405-P-4750.DF,a2405-C-4800.DF,7.639518304867643,7.47337908439269,7.556448694630166
20240408,a2405.DF,a2405-P-4800.DF,a2405-C-4850.DF,12.852649788774915,16.218310715264998,14.535480252019958
20240409,a2407.DF,a2407-P-4800.DF,a2407-C-4850.DF,14.59508521706574,9.116175605905164,11.855630411485452
20240410,a2407.DF,a2407-P-4800.DF,a2407-C-4850.DF,9.807139499036294,8.693206481343527,9.25017299018991
20240411,a2407.DF,a2407-P-4800.DF,a2407-C-4850.DF,9.90891158774692,8.225582308234696,9.067246947990808
20240412,a2407.DF,a2407-P-4750.DF,a2407-C-4800.DF,9.891491413840924,8.237553050702465,9.064522232271694
20240415,a2407.DF,a2407-P-4700.DF,a2407-C-4750.DF,10.090682008941815,8.553789788367446,9.32223589865463
20240416,a2407.DF,a2407-P-4700.DF,a2407-C-4750.DF,9.62087176451666,8.322543861574367,8.971707813045514
20240417,a2407.DF,a2407-P-4650.DF,a2407-C-4700.DF,9.354213520666567,8.519055802611552,8.93663466163906
20240418,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,9.986599495247718,8.678979108848358,9.332789302048038
20240419,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,9.493159462880929,8.813060887510375,9.15311017519565
20240422,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,10.123250345468607,9.036212131115365,9.579731238291984
20240423,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,10.263017836031969,9.608219868494473,9.935618852263218
20240424,a2407.DF,a2407-P-4650.DF,a2407-C-4700.DF,11.085650599846764,10.34240895483304,10.714029777339904
20240425,a2407.DF,a2407-P-4650.DF,a2407-C-4700.DF,10.633806510414558,9.920027991199614,10.276917250807086
20240426,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,10.794285547300971,9.89380958111557,10.344047564208273
20240429,a2407.DF,a2407-P-4650.DF,a2407-C-4700.DF,11.16410141311018,10.260191956459174,10.712146684784678
20240430,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,10.763463133823397,9.557169837272388,10.160316485547892
20240506,a2407.DF,a2407-P-4650.DF,a2407-C-4700.DF,11.588386949544786,11.335145991188336,11.461766470366562
20240507,a2407.DF,a2407-P-4700.DF,a2407-C-4750.DF,11.777047870383887,10.90402271769744,11.340535294040665
20240508,a2407.DF,a2407-P-4650.DF,a2407-C-4700.DF,11.397776145214545,10.44467213190336,10.921224138558951
20240509,a2407.DF,a2407-P-4650.DF,a2407-C-4700.DF,11.330307185114302,9.703531206942165,10.516919196028232
20240510,a2407.DF,a2407-P-4550.DF,a2407-C-4600.DF,10.425842753576358,10.035013072926818,10.230427913251589
20240513,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,11.646935026808103,11.128388462144846,11.387661744476476
20240514,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,11.216231720894788,10.29916978485786,10.757700752876325
20240515,a2407.DF,a2407-P-4600.DF,a2407-C-4650.DF,10.848367813599388,10.26075589570985,10.55456185465462
