date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,al2402.SF,al2402P19700.SF,al2402C19800.SF,18.921833769826605,17.17540413017112,18.04861894999886
20240103,al2402.SF,al2402P19300.SF,al2402C19400.SF,14.567271754330333,13.866992289319432,14.217132021824883
20240104,al2402.SF,al2402P19200.SF,al2402C19300.SF,13.2340110730144,11.397812665740924,12.315911869377661
20240105,al2402.SF,al2402P19100.SF,al2402C19200.SF,11.055682872062802,10.150621156721368,10.603152014392084
20240108,al2402.SF,al2402P19100.SF,al2402C19200.SF,11.730022385279604,10.905685373631146,11.317853879455374
20240109,al2402.SF,al2402P18900.SF,al2402C19000.SF,11.06262879379685,10.825880149314836,10.944254471555844
20240110,al2402.SF,al2402P18900.SF,al2402C19000.SF,11.407604969953479,10.394879417985054,10.901242193969267
20240111,al2403.SF,al2403P19000.SF,al2403C19100.SF,11.421092331253293,10.54116614540963,10.981129238331462
20240112,al2403.SF,al2403P19000.SF,al2403C19100.SF,11.492611157916757,9.422920078215418,10.457765618066087
20240115,al2403.SF,al2403P18800.SF,al2403C18900.SF,11.330576797792473,10.04167979381781,10.68612829580514
20240116,al2403.SF,al2403P18800.SF,al2403C18900.SF,10.814562522344758,9.561409160986072,10.187985841665416
20240117,al2403.SF,al2403P18800.SF,al2403C18900.SF,10.158650992066118,9.839346141303185,9.998998566684651
20240118,al2403.SF,al2403P18700.SF,al2403C18800.SF,9.799249941657505,9.078529834586831,9.43888988812217
20240119,al2403.SF,al2403P18600.SF,al2403C18700.SF,9.988540936518007,9.199300842513097,9.593920889515552
20240122,al2403.SF,al2403P18600.SF,al2403C18700.SF,9.198203696479496,9.100532636981871,9.149368166730683
20240123,al2403.SF,al2403P18600.SF,al2403C18700.SF,9.180491696606513,8.366178456712523,8.773335076659517
20240124,al2403.SF,al2403P19000.SF,al2403C19100.SF,11.834801701220416,10.381406803330853,11.108104252275634
20240125,al2403.SF,al2403P18800.SF,al2403C18900.SF,10.117780253034057,10.25109533413668,10.184437793585369
