date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,b2402.DF,b2402-P-4250.DF,b2402-C-4300.DF,20.54004572812593,19.501254787324022,20.020650257724974
20240103,b2402.DF,b2402-P-4250.DF,b2402-C-4300.DF,18.50326903217622,17.112861183060836,17.80806510761853
20240104,b2402.DF,b2402-P-4250.DF,b2402-C-4300.DF,14.842964259618713,15.924103859812314,15.383534059715513
20240105,b2402.DF,b2402-P-4200.DF,b2402-C-4250.DF,15.721110421802814,12.534710449785516,14.127910435794165
20240108,b2403.DF,b2403-P-3950.DF,b2403-C-4000.DF,20.077418280038383,18.679102985334158,19.37826063268627
20240109,b2403.DF,b2403-P-3950.DF,b2403-C-4000.DF,18.3389317834681,16.208017061761556,17.27347442261483
20240110,b2403.DF,b2403-P-3950.DF,b2403-C-4000.DF,16.129191858515128,15.239807865300337,15.684499861907732
20240111,b2403.DF,b2403-P-3900.DF,b2403-C-3950.DF,16.95400629371454,15.366195791473029,16.160101042593784
20240112,b2403.DF,b2403-P-3800.DF,b2403-C-3850.DF,19.38739768066189,18.0124899705472,18.699943825604546
20240115,b2403.DF,b2403-P-3800.DF,b2403-C-3850.DF,18.48989273077596,16.142190361145982,17.31604154596097
20240116,b2403.DF,b2403-P-3800.DF,b2403-C-3850.DF,18.86017030152888,16.534736441319794,17.697453371424338
20240117,b2403.DF,b2403-P-3750.DF,b2403-C-3800.DF,18.973273746572513,17.62543892296252,18.299356334767516
20240118,b2403.DF,b2403-P-3700.DF,b2403-C-3750.DF,19.68250869831698,16.9853256231627,18.33391716073984
20240119,b2403.DF,b2403-P-3700.DF,b2403-C-3750.DF,17.921995295038336,14.6791573282614,16.30057631164987
20240122,b2403.DF,b2403-P-3700.DF,b2403-C-3800.DF,16.491220646408834,16.512402727045515,16.501811686727173
20240123,b2403.DF,b2403-P-3750.DF,b2403-C-3800.DF,15.928953907175556,15.005710694199667,15.467332300687612
20240124,b2403.DF,b2403-P-3800.DF,b2403-C-3850.DF,15.811583190303292,15.904403075896523,15.857993133099907
20240125,b2403.DF,b2403-P-3700.DF,b2403-C-3800.DF,16.648354697668495,15.742665808202542,16.19551025293552
20240126,b2403.DF,b2403-P-3600.DF,b2403-C-3650.DF,20.748677664891506,18.87071378963303,19.809695727262266
20240129,b2403.DF,b2403-P-3500.DF,b2403-C-3550.DF,25.044814725801643,22.779517185070418,23.91216595543603
20240130,b2403.DF,b2403-P-3550.DF,b2403-C-3600.DF,20.902114907176227,19.537909455731057,20.22001218145364
20240131,b2403.DF,b2403-P-3600.DF,b2403-C-3650.DF,20.027526788313235,19.421882146435692,19.724704467374465
20240201,b2403.DF,b2403-P-3600.DF,b2403-C-3650.DF,18.900183176787653,16.142810262591805,17.52149671968973
20240202,b2403.DF,b2403-P-3600.DF,b2403-C-3650.DF,16.646830878106652,17.05870174675634,16.8527663124315
20240205,b2403.DF,b2403-P-3600.DF,b2403-C-3650.DF,20.883585525764374,21.83705611096277,21.360320818363572
20240206,b2403.DF,b2403-P-3600.DF,b2403-C-3650.DF,28.332333171112428,22.370643469669695,25.351488320391063
20240207,b2405.DF,b2405-P-3450.DF,b2405-C-3500.DF,16.433600788852402,17.468836672437288,16.951218730644847
20240208,b2405.DF,b2405-P-3450.DF,b2405-C-3500.DF,17.313347542243786,13.74100697460464,15.527177258424214
20240219,b2405.DF,b2405-P-3500.DF,b2405-C-3550.DF,17.03023957637906,14.513801118084558,15.772020347231809
20240220,b2405.DF,b2405-P-3500.DF,b2405-C-3550.DF,15.788963736629972,14.126216445076428,14.9575900908532
20240221,b2405.DF,b2405-P-3450.DF,b2405-C-3500.DF,14.673412775545058,13.05341543435162,13.86341410494834
