date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,br2402.SF,br2402P12600.SF,br2402C12800.SF,25.368796281456024,27.649256037784927,26.509026159620475
20240103,br2403.SF,br2403P12400.SF,br2403C12600.SF,22.27541306466685,24.46316932824949,23.36929119645817
20240104,br2403.SF,br2403P12200.SF,br2403C12400.SF,22.22248654897124,20.79916791475117,21.510827231861207
20240105,br2403.SF,br2403P12200.SF,br2403C12600.SF,20.65666335231843,20.459887124786935,20.55827523855268
20240108,br2403.SF,br2403P12000.SF,br2403C12200.SF,22.245846806255855,18.785280569230274,20.515563687743064
20240109,br2403.SF,br2403P12000.SF,br2403C12200.SF,22.417096321409254,21.120198439945955,21.768647380677606
20240110,br2403.SF,br2403P12000.SF,br2403C12200.SF,21.668074057297616,20.57120668908868,21.11964037319315
20240111,br2403.SF,br2403P12200.SF,br2403C12400.SF,23.933087263624454,20.45952870409586,22.19630798386016
20240112,br2403.SF,br2403P12200.SF,br2403C12400.SF,23.917789936883842,20.27684102314246,22.09731548001315
20240115,br2403.SF,br2403P12200.SF,br2403C12400.SF,21.61398415187011,20.006067735104516,20.81002594348731
20240116,br2403.SF,br2403P12200.SF,br2403C12400.SF,21.060810111190527,17.719729545727297,19.390269828458912
20240117,br2403.SF,br2403P12000.SF,br2403C12200.SF,19.191020565203605,26.454733128344564,22.822876846774086
20240118,br2403.SF,br2403P12000.SF,br2403C12200.SF,20.99202532442859,19.277764595114032,20.13489495977131
20240119,br2403.SF,br2403P12000.SF,br2403C12200.SF,20.921474761333776,18.67154620970959,19.796510485521683
20240122,br2403.SF,br2403P11800.SF,br2403C12000.SF,20.055289532815426,21.886515800268395,20.97090266654191
20240123,br2403.SF,br2403P11800.SF,br2403C12000.SF,20.24483945178382,19.477639041462176,19.861239246623
20240124,br2403.SF,br2403P12000.SF,br2403C12200.SF,20.19454413124136,18.9939348272117,19.59423947922653
20240125,br2403.SF,br2403P12200.SF,br2403C12400.SF,21.401628637204002,18.457655301363435,19.92964196928372
20240126,br2403.SF,br2403P12000.SF,br2403C12200.SF,18.002476353661244,17.881875974709118,17.94217616418518
20240129,br2403.SF,br2403P12400.SF,br2403C12600.SF,20.33559278149348,19.015454084310797,19.67552343290214
20240130,br2403.SF,br2403P12400.SF,br2403C12600.SF,20.15990779892818,19.16686418566079,19.663385992294486
20240131,br2403.SF,br2403P12400.SF,br2403C12800.SF,20.84559658115344,18.869166744379434,19.857381662766436
20240201,br2403.SF,br2403P12400.SF,br2403C12600.SF,20.305102944571672,20.114681555698102,20.209892250134885
20240202,br2403.SF,br2403P12200.SF,br2403C12400.SF,19.7218479226253,18.464537904657504,19.093192913641403
20240205,br2403.SF,br2403P12400.SF,br2403C12600.SF,18.972982445281417,20.67966452024983,19.826323482765623
20240206,br2403.SF,br2403P12200.SF,br2403C12400.SF,18.837510961848775,22.337463879714537,20.587487420781656
20240207,br2403.SF,br2403P12600.SF,br2403C12800.SF,22.37075943193919,18.572724456194422,20.471741944066807
20240208,br2403.SF,br2403P12600.SF,br2403C12800.SF,16.73772814357647,15.617807639964301,16.177767891770387
20240219,br2403.SF,br2403P12800.SF,br2403C13000.SF,24.670366987192192,30.300712645895146,27.48553981654367
20240220,br2403.SF,br2403P12800.SF,br2403C13000.SF,23.935258586715264,26.11487443695406,25.025066511834662
20240221,br2403.SF,br2403P12800.SF,br2403C13000.SF,25.464232652673974,28.661271835945705,27.06275224430984
20240222,br2403.SF,br2403P13000.SF,br2403C13200.SF,28.287246197740977,38.53979155779316,33.41351887776707
20240223,br2404.SF,br2404P13000.SF,br2404C13200.SF,21.0339730269145,19.689439802135016,20.361706414524757
20240226,br2404.SF,br2404P13200.SF,br2404C13400.SF,20.229365933373,21.033321095202247,20.63134351428762
20240227,br2404.SF,br2404P13400.SF,br2404C13600.SF,23.36758136039103,24.176800474851348,23.772190917621188
20240228,br2404.SF,br2404P13400.SF,br2404C13600.SF,23.752340181203174,21.81004033128048,22.78119025624183
20240229,br2404.SF,br2404P13200.SF,br2404C13400.SF,19.15278147062672,20.99081300561059,20.071797238118656
20240301,br2404.SF,br2404P13200.SF,br2404C13400.SF,20.15679606010204,21.714207234945658,20.93550164752385
20240304,br2404.SF,br2404P13000.SF,br2404C13200.SF,20.65146146498221,21.106063483923275,20.878762474452742
20240305,br2404.SF,br2404P12800.SF,br2404C13000.SF,17.981069309561462,18.38370425601414,18.182386782787802
20240306,br2404.SF,br2404P13000.SF,br2404C13400.SF,19.40605383784787,19.54617063979826,19.476112238823063
20240307,br2404.SF,br2404P13000.SF,br2404C13200.SF,19.386299849001844,17.312056145683165,18.349177997342505
20240308,br2404.SF,br2404P13400.SF,br2404C13600.SF,24.682841907665885,23.9014864520498,24.292164179857842
20240311,br2404.SF,br2404P13200.SF,br2404C13400.SF,20.058958150304854,20.330286486064185,20.19462231818452
20240312,br2404.SF,br2404P13000.SF,br2404C13200.SF,17.63365348958926,20.968187497418658,19.30092049350396
20240313,br2404.SF,br2404P13000.SF,br2404C13200.SF,16.168919246309123,19.768491220587194,17.96870523344816
20240314,br2404.SF,br2404P13200.SF,br2404C13400.SF,20.837432494431965,20.605314233623616,20.72137336402779
20240315,br2404.SF,br2404P13400.SF,br2404C13600.SF,24.965967864259962,24.62946948729968,24.79771867577982
20240318,br2404.SF,br2404P14000.SF,br2404C14200.SF,41.18124545421591,44.62892261921883,42.90508403671737
20240319,br2404.SF,br2404P13800.SF,br2404C14000.SF,30.67806376895341,28.333945326034716,29.506004547494065
20240320,br2405.SF,br2405P13800.SF,br2405C14000.SF,26.956757172286412,27.78631894790419,27.3715380600953
20240321,br2405.SF,br2405P13400.SF,br2405C13600.SF,21.259563885509877,27.259825870971383,24.25969487824063
20240322,br2405.SF,br2405P13400.SF,br2405C13600.SF,24.67518517609902,20.677943330286812,22.676564253192915
20240325,br2405.SF,br2405P13400.SF,br2405C13600.SF,23.735866600508427,22.50697962818303,23.121423114345728
