date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20241018,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,12.18130122005571,10.654725650728272,11.418013435391991
20241021,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,12.851260341616822,11.336091629494513,12.093675985555667
20241022,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,12.737681526268302,11.36211827385598,12.04989990006214
20241023,cs2501.DF,cs2501-P-2600.DF,cs2501-C-2700.DF,12.23274049644368,11.877722072415658,12.05523128442967
20241024,cs2501.DF,cs2501-P-2650.DF,cs2501-C-2700.DF,11.755389755583105,11.164978937847108,11.460184346715106
20241025,cs2501.DF,cs2501-P-2650.DF,cs2501-C-2700.DF,12.10064159430639,11.793524234846558,11.947082914576473
20241028,cs2501.DF,cs2501-P-2650.DF,cs2501-C-2700.DF,12.008798816253337,11.68868755054313,11.848743183398234
20241029,cs2501.DF,cs2501-P-2600.DF,cs2501-C-2650.DF,11.748962944236213,10.208982419512006,10.97897268187411
20241030,cs2501.DF,cs2501-P-2650.DF,cs2501-C-2700.DF,11.915810972132505,11.023083710341803,11.469447341237153
20241031,cs2501.DF,cs2501-P-2650.DF,cs2501-C-2700.DF,11.601257833143556,11.614532625199162,11.607895229171358
20241101,cs2501.DF,cs2501-P-2650.DF,cs2501-C-2700.DF,11.974341643779265,11.507553536918408,11.740947590348837
20241104,cs2501.DF,cs2501-P-2600.DF,cs2501-C-2650.DF,12.452384113638688,10.854256467954228,11.653320290796458
20241105,cs2501.DF,cs2501-P-2600.DF,cs2501-C-2650.DF,11.359119183950542,10.265992147404532,10.812555665677536
20241106,cs2501.DF,cs2501-P-2600.DF,cs2501-C-2650.DF,11.284838096407292,10.48162609884849,10.883232097627891
20241107,cs2501.DF,cs2501-P-2600.DF,cs2501-C-2650.DF,12.019728990308398,11.555155643845467,11.787442317076932
20241108,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,11.09950503913684,11.29387735531568,11.19669119722626
20241111,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,11.924622701851622,11.991452508535247,11.958037605193434
20241112,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,12.786987783898377,11.90421701063276,12.34560239726557
20241113,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,12.611217554517129,10.87619462567277,11.74370609009495
20241114,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,11.574152689986013,10.631292115681601,11.102722402833807
20241115,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,10.159720958572523,10.532864324317146,10.346292641444833
20241118,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,11.28366318729376,9.21942342328213,10.251543305287946
20241119,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,11.24466975995667,9.76408015904786,10.504374959502265
20241120,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,10.75797998466783,10.546131698513728,10.65205584159078
20241121,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,11.341787905710339,9.562502811978902,10.452145358844621
20241122,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,10.903352372036297,10.506419938586852,10.704886155311574
20241125,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,10.563581089988212,10.535759965310577,10.549670527649393
20241126,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,10.41661968300247,10.250722318495734,10.333671000749103
20241127,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,10.211470672052576,9.70158790457404,9.956529288313309
20241128,cs2501.DF,cs2501-P-2550.DF,cs2501-C-2600.DF,10.454884218642963,9.056698952603071,9.755791585623017
20241129,cs2501.DF,cs2501-P-2500.DF,cs2501-C-2550.DF,12.561452407999871,10.74271413372718,11.652083270863525
20241202,cs2501.DF,cs2501-P-2500.DF,cs2501-C-2550.DF,13.188628806283056,11.418636238446146,12.303632522364602
20241203,cs2501.DF,cs2501-P-2500.DF,cs2501-C-2550.DF,13.02707225727201,12.87575857419915,12.95141541573558
20241204,cs2501.DF,cs2501-P-2450.DF,cs2501-C-2500.DF,13.552103642373863,12.021192161130928,12.786647901752396
20241205,cs2501.DF,cs2501-P-2500.DF,cs2501-C-2550.DF,12.661185168145778,14.909367749457672,13.785276458801725
20241206,cs2501.DF,cs2501-P-2450.DF,cs2501-C-2500.DF,12.185216177949023,11.41031578125883,11.797765979603927
20241209,cs2501.DF,cs2501-P-2450.DF,cs2501-C-2500.DF,13.803555753212809,11.910587910840052,12.857071832026431
20241210,cs2501.DF,cs2501-P-2500.DF,cs2501-C-2550.DF,13.005084198863548,15.937392934006539,14.471238566435044
20241211,cs2501.DF,cs2501-P-2500.DF,cs2501-C-2550.DF,11.386548900102623,14.792569600783226,13.089559250442925
20241212,cs2501.DF,cs2501-P-2500.DF,cs2501-C-2550.DF,9.19807957964758,12.759040329379204,10.978559954513392
