date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,cu2402.SF,cu2402P68000.SF,cu2402C69000.SF,10.596359795614278,9.941311338291515,10.268835566952896
20240103,cu2402.SF,cu2402P68000.SF,cu2402C69000.SF,10.667441897975479,9.982868485944508,10.325155191959993
20240104,cu2402.SF,cu2402P68000.SF,cu2402C69000.SF,10.245126205693927,9.912630375537413,10.07887829061567
20240105,cu2402.SF,cu2402P68000.SF,cu2402C69000.SF,10.147090275250429,9.685342344530737,9.916216309890583
20240108,cu2402.SF,cu2402P68000.SF,cu2402C69000.SF,10.338881034144462,9.816602775121854,10.077741904633157
20240109,cu2402.SF,cu2402P68000.SF,cu2402C69000.SF,10.004524535320636,10.128518268240798,10.066521401780717
20240110,cu2402.SF,cu2402P67000.SF,cu2402C68000.SF,9.36011749153893,8.818999640887297,9.089558566213114
20240111,cu2402.SF,cu2402P68000.SF,cu2402C69000.SF,9.052045337656574,9.33304587799602,9.192545607826297
20240112,cu2402.SF,cu2402P68000.SF,cu2402C69000.SF,8.846680397659284,8.938536584560401,8.892608491109844
20240115,cu2402.SF,cu2402P67000.SF,cu2402C68000.SF,11.095311878992874,9.569413819215644,10.332362849104259
20240116,cu2403.SF,cu2403P67000.SF,cu2403C68000.SF,9.44481568054709,7.83368463337128,8.639250156959186
20240117,cu2403.SF,cu2403P67000.SF,cu2403C68000.SF,9.947810189101373,8.232655967853688,9.090233078477532
20240118,cu2403.SF,cu2403P67000.SF,cu2403C68000.SF,9.788279354420283,7.973672366905688,8.880975860662986
20240119,cu2403.SF,cu2403P67000.SF,cu2403C68000.SF,9.22217390537878,7.502893046851229,8.362533476115004
20240122,cu2403.SF,cu2403P67000.SF,cu2403C68000.SF,9.339502854592316,7.54775714506369,8.443629999828003
20240123,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,8.177418272998834,7.946040532592454,8.061729402795644
20240124,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,8.562298853432507,8.309513869413511,8.435906361423008
20240125,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,10.238944379072391,8.071328384580848,9.155136381826619
20240126,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,8.827540339886246,7.515807636111951,8.1716739879991
20240129,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,9.196687595621778,7.519220982365993,8.357954288993886
20240130,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,9.626481469177756,7.428244800883562,8.52736313503066
20240131,cu2403.SF,cu2403P69000.SF,cu2403C70000.SF,9.467211231327056,8.751056037646743,9.109133634486899
20240201,cu2403.SF,cu2403P68000.SF,cu2403C70000.SF,10.294728954466349,10.199412532878045,10.247070743672197
20240202,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,9.673279176237676,8.716574607959892,9.194926892098785
20240205,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,9.840909686602437,9.610467957203246,9.725688821902843
20240206,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,9.728373964667657,9.747914515071075,9.738144239869367
20240207,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,9.21606051809136,10.013551137153641,9.6148058276225
20240208,cu2403.SF,cu2403P67000.SF,cu2403C68000.SF,11.133118113869406,8.771282431864114,9.95220027286676
20240219,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,10.327974216281456,11.83350412381637,11.080739170048913
20240220,cu2403.SF,cu2403P68000.SF,cu2403C69000.SF,12.480675520523643,12.258398916182694,12.36953721835317
20240221,cu2403.SF,cu2403P68000.SF,cu2403C70000.SF,13.294671149344117,15.415191851772056,14.354931500558086
20240222,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,10.006042793509062,8.72265649108945,9.364349642299256
20240223,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,8.926541360678913,8.33908264679559,8.632812003737252
20240226,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,9.779781019904398,8.857257777078702,9.31851939849155
20240227,cu2404.SF,cu2404P68000.SF,cu2404C70000.SF,9.043938850856941,8.81506969531604,8.92950427308649
20240228,cu2404.SF,cu2404P68000.SF,cu2404C69000.SF,8.942809552768875,7.888458806574186,8.41563417967153
20240229,cu2404.SF,cu2404P68000.SF,cu2404C69000.SF,8.438554861529548,7.595031702101325,8.016793281815437
20240301,cu2404.SF,cu2404P68000.SF,cu2404C69000.SF,8.652019126093318,7.441994004462677,8.047006565277997
20240304,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,9.026890113895968,9.720245979538793,9.37356804671738
20240305,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,9.012771633401547,9.396888460457273,9.204830046929409
20240306,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,9.118448275019366,10.05071155437844,9.584579914698903
20240307,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,9.989850588671814,10.907674193593618,10.448762391132716
20240308,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,10.772422131792512,10.999978566934463,10.886200349363488
20240311,cu2404.SF,cu2404P69000.SF,cu2404C70000.SF,10.276914171726089,10.9364384532167,10.606676312471395
20240312,cu2405.SF,cu2405P69000.SF,cu2405C70000.SF,11.132664128655898,10.006629200852704,10.569646664754302
20240313,cu2405.SF,cu2405P70000.SF,cu2405C71000.SF,12.732719994615547,12.311716986591291,12.522218490603418
20240314,cu2405.SF,cu2405P71000.SF,cu2405C72000.SF,14.862483394672504,14.291312703984529,14.576898049328516
20240315,cu2405.SF,cu2405P73000.SF,cu2405C74000.SF,18.793805794067787,17.421275364518202,18.107540579292994
20240318,cu2405.SF,cu2405P72000.SF,cu2405C73000.SF,17.311745097377333,16.98251879473584,17.147131946056586
20240319,cu2405.SF,cu2405P72000.SF,cu2405C73000.SF,15.522641004951085,14.870110355399133,15.196375680175109
20240320,cu2405.SF,cu2405P72000.SF,cu2405C73000.SF,14.152805570608502,14.206136366149765,14.179470968379134
20240321,cu2405.SF,cu2405P73000.SF,cu2405C74000.SF,15.287618064535973,14.830106575043786,15.05886231978988
20240322,cu2405.SF,cu2405P72000.SF,cu2405C73000.SF,13.393007355777497,12.693751327152041,13.04337934146477
20240325,cu2405.SF,cu2405P72000.SF,cu2405C73000.SF,12.807786229208808,12.828510043083414,12.81814813614611
20240326,cu2405.SF,cu2405P71000.SF,cu2405C73000.SF,11.470361857138894,12.282795186577705,11.876578521858299
20240327,cu2405.SF,cu2405P72000.SF,cu2405C73000.SF,12.281947452226277,12.338178209251323,12.3100628307388
20240328,cu2405.SF,cu2405P72000.SF,cu2405C73000.SF,12.556981763770924,12.727633562833166,12.642307663302045
20240329,cu2405.SF,cu2405P72000.SF,cu2405C73000.SF,13.067877393904517,13.339734833038936,13.203806113471726
20240401,cu2405.SF,cu2405P73000.SF,cu2405C74000.SF,14.817873631670246,15.887447428253973,15.352660529962108
20240402,cu2405.SF,cu2405P73000.SF,cu2405C74000.SF,14.127492495056357,15.081374396867222,14.604433445961789
20240403,cu2405.SF,cu2405P73000.SF,cu2405C74000.SF,14.899367905916508,15.647081911019553,15.27322490846803
20240408,cu2405.SF,cu2405P75000.SF,cu2405C76000.SF,16.303387722885322,16.03909455876062,16.17124114082297
20240409,cu2406.SF,cu2406P76000.SF,cu2406C77000.SF,17.932408643957803,16.586736670855366,17.259572657406586
20240410,cu2406.SF,cu2406P76000.SF,cu2406C77000.SF,17.456986947502585,15.745979616086696,16.601483281794643
20240411,cu2406.SF,cu2406P76000.SF,cu2406C77000.SF,17.195566953775394,16.007270731630374,16.601418842702884
20240412,cu2406.SF,cu2406P76000.SF,cu2406C77000.SF,18.23036732380789,16.811642967107,17.521005145457444
20240415,cu2406.SF,cu2406P76000.SF,cu2406C77000.SF,17.26041466897599,16.198814929942927,16.72961479945946
20240416,cu2406.SF,cu2406P76000.SF,cu2406C77000.SF,17.09595827396351,16.83635531959261,16.96615679677806
20240417,cu2406.SF,cu2406P76000.SF,cu2406C77000.SF,16.94056214226106,16.20773140362765,16.574146772944356
20240418,cu2406.SF,cu2406P78000.SF,cu2406C79000.SF,21.558000711178092,20.882181629371967,21.22009117027503
20240419,cu2406.SF,cu2406P79000.SF,cu2406C80000.SF,22.763865262570054,21.22044926948892,21.992157266029487
20240422,cu2406.SF,cu2406P79000.SF,cu2406C80000.SF,22.004682632516577,20.976998402922142,21.49084051771936
20240423,cu2406.SF,cu2406P78000.SF,cu2406C79000.SF,19.19632299898314,18.806403951875026,19.00136347542908
20240424,cu2406.SF,cu2406P79000.SF,cu2406C80000.SF,21.188065647154602,20.6157363790664,20.901901013110503
20240425,cu2406.SF,cu2406P80000.SF,cu2406C82000.SF,21.339934248745905,21.730796154093937,21.53536520141992
20240426,cu2406.SF,cu2406P80000.SF,cu2406C82000.SF,23.76727877290842,23.54259210673561,23.654935439822015
20240429,cu2406.SF,cu2406P80000.SF,cu2406C82000.SF,23.165418745861565,22.832177460874654,22.99879810336811
20240430,cu2406.SF,cu2406P82000.SF,cu2406C84000.SF,22.102562858107248,22.493167077958585,22.29786496803292
20240506,cu2406.SF,cu2406P80000.SF,cu2406C82000.SF,20.892284668775453,20.552209681587104,20.72224717518128
20240507,cu2406.SF,cu2406P80000.SF,cu2406C82000.SF,18.61481545258762,18.51417435119647,18.564494901892047
20240508,cu2406.SF,cu2406P79000.SF,cu2406C80000.SF,16.861077244752078,16.244845554393088,16.55296139957258
20240509,cu2406.SF,cu2406P79000.SF,cu2406C80000.SF,16.953308138139896,16.552714370909882,16.75301125452489
20240510,cu2406.SF,cu2406P80000.SF,cu2406C82000.SF,18.10082336125917,19.30637934821149,18.70360135473533
20240513,cu2406.SF,cu2406P80000.SF,cu2406C82000.SF,19.751730452093526,20.984528708724696,20.36812958040911
