date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,eb2402.DF,eb2402-P-8600.DF,eb2402-C-8700.DF,23.18553358281001,22.731864903178007,22.958699242994008
20240103,eb2402.DF,eb2402-P-8500.DF,eb2402-C-8600.DF,21.04403312682673,20.08794596851067,20.5659895476687
20240104,eb2402.DF,eb2402-P-8400.DF,eb2402-C-8500.DF,19.3978191495464,18.048597484211363,18.723208316878882
20240105,eb2402.DF,eb2402-P-8300.DF,eb2402-C-8400.DF,17.96747908540305,14.994859756038489,16.481169420720768
20240108,eb2403.DF,eb2403-P-8300.DF,eb2403-C-8400.DF,22.801761411832462,24.718213729636812,23.759987570734637
20240109,eb2403.DF,eb2403-P-8300.DF,eb2403-C-8400.DF,21.752891561404013,19.21482289966399,20.483857230534
20240110,eb2403.DF,eb2403-P-8400.DF,eb2403-C-8500.DF,20.797002788216375,19.72998319163141,20.26349298992389
20240111,eb2403.DF,eb2403-P-8500.DF,eb2403-C-8600.DF,21.418878170060246,19.372870358858254,20.395874264459252
20240112,eb2403.DF,eb2403-P-8500.DF,eb2403-C-8600.DF,21.828326807199268,19.40432086593928,20.616323836569272
20240115,eb2403.DF,eb2403-P-8500.DF,eb2403-C-8600.DF,21.433298003922346,19.47456821954856,20.453933111735452
20240116,eb2403.DF,eb2403-P-8800.DF,eb2403-C-8900.DF,24.91327828039449,22.93667427892504,23.924976279659766
20240117,eb2403.DF,eb2403-P-8600.DF,eb2403-C-8700.DF,23.083296663171478,21.460252453630105,22.271774558400793
20240118,eb2403.DF,eb2403-P-8700.DF,eb2403-C-8800.DF,23.519286079406893,21.559728273409696,22.539507176408293
20240119,eb2403.DF,eb2403-P-8700.DF,eb2403-C-8800.DF,21.9719872951493,20.352315991525703,21.162151643337502
20240122,eb2403.DF,eb2403-P-8800.DF,eb2403-C-8900.DF,22.4449706922067,23.693785985479714,23.069378338843208
20240123,eb2403.DF,eb2403-P-8800.DF,eb2403-C-8900.DF,23.029174735968883,20.904583648080276,21.966879192024578
20240124,eb2403.DF,eb2403-P-8900.DF,eb2403-C-9000.DF,21.86931947601388,21.64680999210742,21.758064734060653
20240125,eb2403.DF,eb2403-P-8700.DF,eb2403-C-8800.DF,21.554095356607835,21.502854324415512,21.528474840511674
20240126,eb2403.DF,eb2403-P-8700.DF,eb2403-C-8800.DF,22.3903831068582,21.757001752793954,22.073692429826075
20240129,eb2403.DF,eb2403-P-8700.DF,eb2403-C-8800.DF,23.821781069117396,21.383292119391466,22.60253659425443
20240130,eb2403.DF,eb2403-P-8800.DF,eb2403-C-8900.DF,26.155010496271764,22.28125150615696,24.21813100121436
20240131,eb2403.DF,eb2403-P-8700.DF,eb2403-C-8800.DF,23.34005524481331,21.259577021268463,22.299816133040885
20240201,eb2403.DF,eb2403-P-8800.DF,eb2403-C-8900.DF,23.702741493528762,21.958443207050898,22.83059235028983
20240202,eb2403.DF,eb2403-P-8600.DF,eb2403-C-8700.DF,20.91162496217954,20.25486202291776,20.58324349254865
20240205,eb2403.DF,eb2403-P-8700.DF,eb2403-C-8800.DF,28.777309700179522,25.79036686159434,27.283838280886933
20240206,eb2403.DF,eb2403-P-8900.DF,eb2403-C-9000.DF,29.14548355275205,30.466767272281782,29.806125412516916
20240207,eb2405.DF,eb2405-P-9000.DF,eb2405-C-9100.DF,21.811278742011993,17.287513402380494,19.549396072196245
20240208,eb2405.DF,eb2405-P-9000.DF,eb2405-C-9100.DF,22.457425317894756,19.06555661223725,20.761490965066002
20240219,eb2405.DF,eb2405-P-9200.DF,eb2405-C-9300.DF,22.068405897697506,24.515777508134487,23.292091702915997
20240220,eb2405.DF,eb2405-P-9000.DF,eb2405-C-9100.DF,22.03583012079782,29.127570068695047,25.58170009474643
20240221,eb2405.DF,eb2405-P-9000.DF,eb2405-C-9100.DF,20.253227939056362,26.251672062315983,23.252450000686174
20240222,eb2404.DF,eb2404-P-9100.DF,eb2404-C-9300.DF,21.640498613638737,21.88788039313576,21.76418950338725
20240223,eb2404.DF,eb2404-P-9100.DF,eb2404-C-9200.DF,19.62750441696161,21.14428762679393,20.38589602187777
20240226,eb2404.DF,eb2404-P-9000.DF,eb2404-C-9100.DF,22.390074232863046,23.122606814016795,22.75634052343992
20240227,eb2404.DF,eb2404-P-9100.DF,eb2404-C-9200.DF,21.25226645881981,20.765295194146773,21.008780826483292
20240228,eb2404.DF,eb2404-P-9000.DF,eb2404-C-9100.DF,21.173397239621224,20.298251787542267,20.735824513581747
20240229,eb2404.DF,eb2404-P-9000.DF,eb2404-C-9100.DF,20.770024692504187,20.87035071325114,20.82018770287766
20240301,eb2404.DF,eb2404-P-9000.DF,eb2404-C-9100.DF,19.40401331161683,19.406141551591833,19.405077431604333
20240304,eb2404.DF,eb2404-P-9000.DF,eb2404-C-9100.DF,24.372504919314398,25.148885077718475,24.760694998516435
20240305,eb2404.DF,eb2404-P-9100.DF,eb2404-C-9200.DF,27.72544104985878,26.66328422017624,27.194362635017512
20240306,eb2404.DF,eb2404-P-9100.DF,eb2404-C-9200.DF,27.35109359606004,30.39404434119411,28.872568968627075
20240307,eb2405.DF,eb2405-P-9000.DF,eb2405-C-9100.DF,18.704813805336837,16.164051660128628,17.43443273273273
20240308,eb2405.DF,eb2405-P-9100.DF,eb2405-C-9200.DF,17.644784433418156,16.408010044239738,17.02639723882895
20240311,eb2405.DF,eb2405-P-9200.DF,eb2405-C-9300.DF,18.682329424270446,17.855867896945167,18.269098660607806
20240312,eb2405.DF,eb2405-P-9200.DF,eb2405-C-9300.DF,17.912314841108874,16.982345394498346,17.44733011780361
20240313,eb2405.DF,eb2405-P-9200.DF,eb2405-C-9300.DF,17.16055256424272,16.04487434975922,16.60271345700097
20240314,eb2405.DF,eb2405-P-9400.DF,eb2405-C-9500.DF,20.380493817261634,18.239627093474816,19.310060455368223
20240315,eb2405.DF,eb2405-P-9300.DF,eb2405-C-9500.DF,18.111919542878322,17.550618937931493,17.831269240404907
20240318,eb2405.DF,eb2405-P-9300.DF,eb2405-C-9400.DF,20.110134276348305,17.55033127567347,18.830232776010888
20240319,eb2405.DF,eb2405-P-9300.DF,eb2405-C-9400.DF,18.995332920958372,18.539586733943338,18.767459827450857
20240320,eb2405.DF,eb2405-P-9200.DF,eb2405-C-9300.DF,17.488085571236574,16.933842077391777,17.210963824314177
20240321,eb2405.DF,eb2405-P-9200.DF,eb2405-C-9300.DF,18.37503467425305,17.90924275751051,18.142138715881778
20240322,eb2405.DF,eb2405-P-9100.DF,eb2405-C-9200.DF,17.954724150726225,15.779737737945887,16.867230944336058
20240325,eb2405.DF,eb2405-P-9200.DF,eb2405-C-9300.DF,18.18802187464076,18.575127301360258,18.38157458800051
