date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,eg2405.DF,eg2405-P-4550.DF,eg2405-C-4600.DF,18.002430074441467,16.5109135828409,17.25667182864118
20240103,eg2405.DF,eg2405-P-4550.DF,eg2405-C-4600.DF,18.714256169423237,16.178957006515954,17.446606587969598
20240104,eg2405.DF,eg2405-P-4550.DF,eg2405-C-4600.DF,17.7315532004377,16.136343677177162,16.93394843880743
20240105,eg2405.DF,eg2405-P-4650.DF,eg2405-C-4700.DF,19.722252881200152,17.204343724812745,18.463298303006447
20240108,eg2405.DF,eg2405-P-4650.DF,eg2405-C-4700.DF,20.188194846384135,18.783455145065233,19.485824995724684
20240109,eg2405.DF,eg2405-P-4550.DF,eg2405-C-4600.DF,19.695895990070014,16.855224969906025,18.27556047998802
20240110,eg2405.DF,eg2405-P-4450.DF,eg2405-C-4500.DF,18.97756055669845,17.543935588728417,18.260748072713433
20240111,eg2405.DF,eg2405-P-4500.DF,eg2405-C-4550.DF,19.407908718388484,18.209750255651482,18.808829487019985
20240112,eg2405.DF,eg2405-P-4500.DF,eg2405-C-4550.DF,19.415494463195845,17.425240120076737,18.42036729163629
20240115,eg2405.DF,eg2405-P-4600.DF,eg2405-C-4650.DF,20.601493399019066,17.75608499427554,19.1787891966473
20240116,eg2405.DF,eg2405-P-4600.DF,eg2405-C-4650.DF,20.187551839162452,18.45224994784705,19.31990089350475
20240117,eg2405.DF,eg2405-P-4650.DF,eg2405-C-4700.DF,19.92685199735214,17.973492686881986,18.950172342117064
20240118,eg2405.DF,eg2405-P-4650.DF,eg2405-C-4700.DF,20.44180840480614,18.312032377455555,19.376920391130845
20240119,eg2405.DF,eg2405-P-4550.DF,eg2405-C-4600.DF,19.418209822479774,17.733882580779216,18.576046201629495
20240122,eg2405.DF,eg2405-P-4550.DF,eg2405-C-4600.DF,19.524148664632214,17.292929735346643,18.408539199989427
20240123,eg2405.DF,eg2405-P-4650.DF,eg2405-C-4700.DF,19.937016910160217,17.866624804505985,18.9018208573331
20240124,eg2405.DF,eg2405-P-4700.DF,eg2405-C-4750.DF,19.983653083674653,18.032041897406952,19.007847490540804
20240125,eg2405.DF,eg2405-P-4650.DF,eg2405-C-4700.DF,18.606568467551334,17.272854467656405,17.93971146760387
20240126,eg2405.DF,eg2405-P-4700.DF,eg2405-C-4750.DF,19.48292364891091,17.5916581768341,18.537290912872503
20240129,eg2405.DF,eg2405-P-4700.DF,eg2405-C-4750.DF,19.569356516249535,18.12900343931863,18.849179977784082
20240130,eg2405.DF,eg2405-P-4700.DF,eg2405-C-4750.DF,20.228524026483825,18.02825761646374,19.128390821473783
20240131,eg2405.DF,eg2405-P-4750.DF,eg2405-C-4800.DF,20.80576251945222,18.70071568009842,19.75323909977532
20240201,eg2405.DF,eg2405-P-4700.DF,eg2405-C-4750.DF,19.810322036004518,19.113701399355822,19.46201171768017
