date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,i2405.DF,i2405-P-1000.DF,i2405-C-1020.DF,28.42341711397974,25.946215806356342,27.18481646016804
20240103,i2405.DF,i2405-P-1000.DF,i2405-C-1020.DF,27.513250255157907,25.029812502645783,26.271531378901845
20240104,i2405.DF,i2405-P-1000.DF,i2405-C-1020.DF,27.732176603833626,24.239788664630986,25.985982634232307
20240105,i2405.DF,i2405-P-990.DF,i2405-C-1020.DF,27.37099508854025,24.407584086235097,25.889289587387672
20240108,i2405.DF,i2405-P-990.DF,i2405-C-1000.DF,27.228964780475135,25.121336771604547,26.175150776039843
20240109,i2405.DF,i2405-P-990.DF,i2405-C-1000.DF,26.063777986657076,22.985934540834297,24.524856263745686
20240110,i2405.DF,i2405-P-960.DF,i2405-C-970.DF,27.02904061609474,23.89973391989665,25.464387267995697
20240111,i2405.DF,i2405-P-970.DF,i2405-C-980.DF,26.4911283876715,23.47265823306848,24.98189331036999
20240112,i2405.DF,i2405-P-940.DF,i2405-C-950.DF,27.913016515122997,24.911230663131956,26.412123589127475
20240115,i2405.DF,i2405-P-930.DF,i2405-C-940.DF,28.851628988280055,26.873633605152925,27.86263129671649
20240116,i2405.DF,i2405-P-930.DF,i2405-C-940.DF,28.243132947847904,24.72135349289178,26.482243220369842
20240117,i2405.DF,i2405-P-920.DF,i2405-C-930.DF,28.769704123751406,26.33842039549275,27.55406225962208
20240118,i2405.DF,i2405-P-940.DF,i2405-C-950.DF,28.83165457545576,25.33180799719526,27.08173128632551
20240119,i2405.DF,i2405-P-950.DF,i2405-C-960.DF,28.212002113610996,24.701047183867747,26.45652464873937
20240122,i2405.DF,i2405-P-950.DF,i2405-C-960.DF,28.571905965123417,27.26058378116218,27.916244873142798
20240123,i2405.DF,i2405-P-960.DF,i2405-C-970.DF,27.765176651234185,24.848850032527555,26.307013341880868
20240124,i2405.DF,i2405-P-970.DF,i2405-C-990.DF,28.64885206512242,24.53562969121489,26.592240878168653
20240125,i2405.DF,i2405-P-980.DF,i2405-C-990.DF,26.916614367404968,24.64381730587694,25.780215836640956
20240126,i2405.DF,i2405-P-980.DF,i2405-C-1000.DF,27.57754386570176,23.50699781171563,25.542270838708696
20240129,i2405.DF,i2405-P-990.DF,i2405-C-1000.DF,28.164180115418358,23.67887189747618,25.92152600644727
20240130,i2405.DF,i2405-P-970.DF,i2405-C-990.DF,27.981405236979324,24.48370085674563,26.232553046862478
20240131,i2405.DF,i2405-P-960.DF,i2405-C-970.DF,27.241785620583524,25.508539531593343,26.375162576088435
20240201,i2405.DF,i2405-P-960.DF,i2405-C-970.DF,28.116567873914445,25.94732864466286,27.031948259288654
20240202,i2405.DF,i2405-P-940.DF,i2405-C-950.DF,30.964267379291666,26.794757832033806,28.879512605662736
20240205,i2405.DF,i2405-P-940.DF,i2405-C-950.DF,30.933109987242375,26.81465176778568,28.873880877514026
20240206,i2405.DF,i2405-P-930.DF,i2405-C-940.DF,29.66860486772518,27.594389946680963,28.63149740720307
20240207,i2405.DF,i2405-P-940.DF,i2405-C-950.DF,28.79772131784204,27.274968661944175,28.03634498989311
20240208,i2405.DF,i2405-P-960.DF,i2405-C-970.DF,27.791564005785098,25.650370504539655,26.72096725516238
20240219,i2405.DF,i2405-P-950.DF,i2405-C-960.DF,31.58200476354042,28.836770273776303,30.20938751865836
20240220,i2405.DF,i2405-P-900.DF,i2405-C-920.DF,32.50909154672815,29.702504118294044,31.105797832511097
20240221,i2405.DF,i2405-P-890.DF,i2405-C-900.DF,33.88391370137837,31.884891493350416,32.88440259736439
20240222,i2405.DF,i2405-P-890.DF,i2405-C-900.DF,33.79387859178236,31.062245899829815,32.42806224580609
20240223,i2405.DF,i2405-P-890.DF,i2405-C-910.DF,32.269069253841494,28.702628260690886,30.48584875726619
