date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240910,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3550.DF,19.925116677283015,17.48721437384613,18.706165525564572
20240911,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3550.DF,19.750141904477484,17.24756211616187,18.498852010319677
20240912,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3550.DF,19.484730940512314,17.123124994158722,18.303927967335518
20240913,jd2501.DF,jd2501-P-3550.DF,jd2501-C-3600.DF,19.401293176829704,16.281741577518513,17.841517377174107
20240918,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3600.DF,20.113743136320114,17.341105448121336,18.727424292220725
20240919,jd2501.DF,jd2501-P-3550.DF,jd2501-C-3600.DF,20.929723279562644,17.903385149493424,19.416554214528034
20240920,jd2501.DF,jd2501-P-3600.DF,jd2501-C-3650.DF,20.65264819303444,18.00946735401491,19.331057773524677
20240923,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3550.DF,21.453430058657926,18.98939345419054,20.22141175642423
20240924,jd2501.DF,jd2501-P-3550.DF,jd2501-C-3600.DF,21.981216817649447,19.65392140259738,20.817569110123415
20240925,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3550.DF,23.525538403493083,20.537037660218026,22.031288031855553
20240926,jd2501.DF,jd2501-P-3450.DF,jd2501-C-3550.DF,23.89282128681003,21.723138724208795,22.807980005509414
20240927,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3550.DF,24.880466155648122,21.887508049244662,23.38398710244639
20240930,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3550.DF,24.995972875580698,23.05901807575081,24.027495475665752
20241008,jd2501.DF,jd2501-P-3450.DF,jd2501-C-3500.DF,26.912738560765607,26.374001802866264,26.643370181815936
20241009,jd2501.DF,jd2501-P-3450.DF,jd2501-C-3500.DF,26.14184310695218,25.164285692378257,25.65306439966522
20241010,jd2501.DF,jd2501-P-3450.DF,jd2501-C-3500.DF,25.73612720304966,23.25050574374481,24.493316473397236
20241011,jd2501.DF,jd2501-P-3400.DF,jd2501-C-3450.DF,25.148860474961214,22.465249811606725,23.807055143283968
20241014,jd2501.DF,jd2501-P-3450.DF,jd2501-C-3500.DF,24.744880907694565,23.34566572483516,24.04527331626486
20241015,jd2501.DF,jd2501-P-3450.DF,jd2501-C-3500.DF,24.02855962331598,22.284477958138677,23.15651879072733
20241016,jd2501.DF,jd2501-P-3500.DF,jd2501-C-3550.DF,23.741478344078313,21.530820549057907,22.636149446568112
