date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20241010,lh2501.DF,lh2501-P-15600.DF,lh2501-C-15800.DF,26.138313900222137,25.343644773011594,25.740979336616867
20241011,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,24.947956258760406,24.228075540842813,24.58801589980161
20241014,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,25.58686209867838,23.75745833734615,24.672160218012266
20241015,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,24.80503760901892,23.924647475391506,24.364842542205214
20241016,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,24.53665343722517,22.37693931494255,23.456796376083858
20241017,lh2501.DF,lh2501-P-15000.DF,lh2501-C-15200.DF,23.618332442353303,22.11444331166771,22.866387877010506
20241018,lh2501.DF,lh2501-P-15000.DF,lh2501-C-15200.DF,22.684584145048778,21.858379920653785,22.27148203285128
20241021,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,23.342740224406977,21.52378646554944,22.433263344978208
20241022,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,22.357378051121156,21.380636087484486,21.86900706930282
20241023,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,23.425405608846823,21.73549205694192,22.58044883289437
20241024,lh2501.DF,lh2501-P-15400.DF,lh2501-C-15600.DF,21.817881188640207,21.551606701304344,21.684743944972276
20241025,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,22.315625254394643,21.178927891207206,21.747276572800924
20241028,lh2501.DF,lh2501-P-15000.DF,lh2501-C-15200.DF,21.576107921680077,20.75032274523749,21.163215333458783
20241029,lh2501.DF,lh2501-P-15000.DF,lh2501-C-15200.DF,22.105291340093466,20.00501289780655,21.05515211895001
20241030,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,21.78776464670468,22.045814895835115,21.916789771269897
20241031,lh2501.DF,lh2501-P-15000.DF,lh2501-C-15200.DF,21.751207757238255,21.093661922753274,21.422434839995766
20241101,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,22.299381825436864,21.170758092243588,21.735069958840228
20241104,lh2501.DF,lh2501-P-15400.DF,lh2501-C-15600.DF,23.076653821612325,21.350184379593447,22.213419100602884
20241105,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,23.483294412563612,22.129704714282,22.806499563422804
20241106,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,22.429669885821102,22.807045932596218,22.61835790920866
20241107,lh2501.DF,lh2501-P-15400.DF,lh2501-C-15600.DF,23.23306796431405,22.563461367750094,22.89826466603207
20241108,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15600.DF,22.670889655593967,21.612724586038194,22.141807120816082
20241111,lh2501.DF,lh2501-P-15400.DF,lh2501-C-15600.DF,22.64879227151876,22.312695212417694,22.480743741968226
20241112,lh2501.DF,lh2501-P-15600.DF,lh2501-C-15800.DF,23.331557805043495,21.600105146720527,22.465831475882013
20241113,lh2501.DF,lh2501-P-15600.DF,lh2501-C-15800.DF,22.17153465321925,22.515723028467995,22.34362884084362
20241114,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,22.943683982069167,21.631270238247787,22.287477110158477
20241115,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,21.666620590806364,21.124938622822764,21.395779606814564
20241118,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,22.65320012338701,21.283789717877834,21.968494920632423
20241119,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,20.503659943138704,20.626807468483328,20.565233705811018
20241120,lh2501.DF,lh2501-P-15400.DF,lh2501-C-15600.DF,18.768336530734455,16.953451104909313,17.860893817821882
20241121,lh2501.DF,lh2501-P-15400.DF,lh2501-C-15600.DF,19.18577380181769,18.19127796038257,18.68852588110013
20241122,lh2501.DF,lh2501-P-15400.DF,lh2501-C-15600.DF,20.407061194464404,17.8201330763676,19.113597135416
20241125,lh2501.DF,lh2501-P-15400.DF,lh2501-C-15600.DF,21.501843056089456,19.65636763687418,20.579105346481818
20241126,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,21.33201577551678,20.090937403152374,20.711476589334577
20241127,lh2501.DF,lh2501-P-15200.DF,lh2501-C-15400.DF,16.933303747427345,18.573066796354468,17.753185271890906
20241128,lh2501.DF,lh2501-P-15000.DF,lh2501-C-15200.DF,19.25961887221773,18.677808711447437,18.968713791832585
20241129,lh2501.DF,lh2501-P-15000.DF,lh2501-C-15200.DF,19.560117066347594,18.361684396546913,18.960900731447254
20241202,lh2501.DF,lh2501-P-14800.DF,lh2501-C-15000.DF,22.618409602774243,21.167616524060666,21.893013063417456
20241203,lh2501.DF,lh2501-P-14600.DF,lh2501-C-14800.DF,19.965554530564084,20.102302312119487,20.033928421341784
20241204,lh2501.DF,lh2501-P-14600.DF,lh2501-C-14800.DF,18.260527619224153,19.50550096589275,18.88301429255845
20241205,lh2501.DF,lh2501-P-14600.DF,lh2501-C-14800.DF,19.05770461864686,19.617347624955308,19.337526121801083
20241206,lh2501.DF,lh2501-P-14600.DF,lh2501-C-14800.DF,18.492159967712908,18.80464890495975,18.648404436336328
20241209,lh2501.DF,lh2501-P-14600.DF,lh2501-C-14800.DF,19.489262609691632,19.860729642059173,19.674996125875403
20241210,lh2501.DF,lh2501-P-14600.DF,lh2501-C-14800.DF,18.484572332298654,17.710628241165324,18.09760028673199
20241211,lh2501.DF,lh2501-P-14400.DF,lh2501-C-14600.DF,17.726892255607087,17.561710889389484,17.644301572498286
20241212,lh2501.DF,lh2501-P-14200.DF,lh2501-C-14400.DF,17.81537805261539,16.88999712952497,17.35268759107018
20241213,lh2501.DF,lh2501-P-14200.DF,lh2501-C-14400.DF,13.513488107152105,16.40111433999981,14.957301223575957
20241216,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,17.33296088979823,16.489028115538343,16.910994502668288
20241217,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,16.653264612727888,15.897362126314963,16.275313369521427
20241218,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,17.305643216564313,15.70093417312846,16.503288694846386
20241219,lh2503.DF,lh2503-P-12400.DF,lh2503-C-12600.DF,18.69449439502529,17.120918142601788,17.90770626881354
20241220,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,19.381388089398257,17.929568049728868,18.655478069563564
20241223,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,18.709610786799807,17.327593071195636,18.01860192899772
20241224,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,17.30352565226503,16.350270840488687,16.826898246376857
20241225,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,17.761138705344994,15.900024855153482,16.83058178024924
20241226,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,17.5906008946253,15.566106547686317,16.578353721155807
20241227,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,17.216037200156634,15.577932720543261,16.396984960349947
20241230,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,17.03837080605023,15.523529771675362,16.280950288862797
20241231,lh2503.DF,lh2503-P-12600.DF,lh2503-C-13000.DF,16.7534391385688,15.340734074977307,16.047086606773053
20250102,lh2503.DF,lh2503-P-13000.DF,lh2503-C-13200.DF,16.358259320228175,14.52701480587023,15.442637063049203
20250103,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,15.459017171339909,12.741810624487943,14.100413897913926
20250106,lh2503.DF,lh2503-P-13000.DF,lh2503-C-13200.DF,18.098407525910527,15.09591792185899,16.597162723884757
20250107,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,17.957669343021873,16.544350986828395,17.251010164925134
20250108,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,18.311101233192975,15.906670908724912,17.108886070958945
20250109,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,19.19010415274571,17.32246631111152,18.256285231928615
20250110,lh2503.DF,lh2503-P-12600.DF,lh2503-C-12800.DF,18.374105512968118,17.086527822414986,17.730316667691554
20250113,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,18.500441824343138,16.140435939450164,17.32043888189665
20250114,lh2503.DF,lh2503-P-13000.DF,lh2503-C-13200.DF,17.3005909923188,16.278354351339242,16.78947267182902
20250115,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,17.145221411180213,16.496111517766256,16.820666464473234
20250116,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,17.532243980964598,15.980046218384155,16.756145099674377
20250117,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,17.43911605046455,16.488452841874913,16.963784446169733
20250120,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,19.58230501287192,18.99832260169191,19.290313807281915
20250121,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,18.451371171955604,18.211951772803285,18.331661472379444
20250122,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,18.36296002689764,18.1612036630778,18.26208184498772
20250123,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13200.DF,18.493677990441228,17.622572913829288,18.058125452135258
20250124,lh2503.DF,lh2503-P-12800.DF,lh2503-C-13000.DF,17.89995899086665,17.249696816046033,17.57482790345634
20250127,lh2503.DF,lh2503-P-13000.DF,lh2503-C-13200.DF,18.650244792331115,19.021589462248873,18.835917127289996
