date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,m2405.DF,m2405-P-3200.DF,m2405-C-3250.DF,18.17899120840148,15.398292354973877,16.78864178168768
20240103,m2405.DF,m2405-P-3200.DF,m2405-C-3250.DF,17.61121810424678,15.28210473123955,16.446661417743165
20240104,m2405.DF,m2405-P-3250.DF,m2405-C-3300.DF,17.254857468217086,15.156696802815611,16.20577713551635
20240105,m2405.DF,m2405-P-3200.DF,m2405-C-3250.DF,16.84358914287699,15.180165363940516,16.011877253408752
20240108,m2405.DF,m2405-P-3150.DF,m2405-C-3200.DF,17.15320313391174,14.781435384336403,15.967319259124071
20240109,m2405.DF,m2405-P-3150.DF,m2405-C-3200.DF,16.789332087748278,14.021171919562411,15.405252003655345
20240110,m2405.DF,m2405-P-3100.DF,m2405-C-3150.DF,15.352050122440431,13.214541522857576,14.283295822649004
20240111,m2405.DF,m2405-P-3100.DF,m2405-C-3150.DF,15.835553321170776,13.41634192368172,14.62594762242625
20240112,m2405.DF,m2405-P-3050.DF,m2405-C-3100.DF,16.008721318641697,14.498345305281472,15.253533311961585
20240115,m2405.DF,m2405-P-3050.DF,m2405-C-3100.DF,14.954760410422644,13.434042417093481,14.194401413758062
20240116,m2405.DF,m2405-P-3050.DF,m2405-C-3100.DF,15.296843696454662,13.618353796769256,14.457598746611959
20240117,m2405.DF,m2405-P-3050.DF,m2405-C-3100.DF,15.823603692517018,14.039432600663645,14.931518146590331
20240118,m2405.DF,m2405-P-3000.DF,m2405-C-3050.DF,16.76257043778048,14.845285877276165,15.803928157528322
20240119,m2405.DF,m2405-P-3000.DF,m2405-C-3050.DF,15.3448513415155,14.15103153027479,14.747941435895147
20240122,m2405.DF,m2405-P-3000.DF,m2405-C-3050.DF,15.373950118226523,14.10139685915188,14.7376734886892
20240123,m2405.DF,m2405-P-3000.DF,m2405-C-3050.DF,15.474029801398295,13.452869762466225,14.46344978193226
20240124,m2405.DF,m2405-P-3050.DF,m2405-C-3100.DF,15.874789533675763,14.153134725586957,15.01396212963136
20240125,m2405.DF,m2405-P-3000.DF,m2405-C-3100.DF,16.059500219674817,14.10035968553975,15.079929952607284
20240126,m2405.DF,m2405-P-3000.DF,m2405-C-3050.DF,15.832435020671486,14.625794454196775,15.22911473743413
20240129,m2405.DF,m2405-P-2950.DF,m2405-C-3000.DF,15.933196413417505,14.895228981261619,15.414212697339561
20240130,m2405.DF,m2405-P-2900.DF,m2405-C-2950.DF,17.036255239619976,14.855201512556466,15.945728376088221
20240131,m2405.DF,m2405-P-2950.DF,m2405-C-3000.DF,17.674594993787114,14.902523154460878,16.288559074123995
