date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20241028,ni2412.SF,ni2412P126000.SF,ni2412C128000.SF,25.47359339809051,23.360652948487623,24.417123173289067
20241029,ni2412.SF,ni2412P122000.SF,ni2412C124000.SF,24.59332688880619,23.25935599444537,23.92634144162578
20241030,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,24.34794941826085,23.87384902525665,24.11089922175875
20241031,ni2412.SF,ni2412P122000.SF,ni2412C124000.SF,25.148016091386737,20.599963887404424,22.873989989395582
20241101,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,24.100714961630697,23.879000421743704,23.9898576916872
20241104,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,25.427788411074964,26.338205572835214,25.88299699195509
20241105,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,27.001083452480444,26.12862231232697,26.564852882403706
20241106,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,26.791473928347582,27.60481001829659,27.198141973322087
20241107,ni2412.SF,ni2412P126000.SF,ni2412C128000.SF,25.827369493004433,29.540500734723608,27.68393511386402
20241108,ni2412.SF,ni2412P128000.SF,ni2412C130000.SF,25.526258355100122,25.761460808399633,25.64385958174988
20241111,ni2412.SF,ni2412P128000.SF,ni2412C130000.SF,25.150809950267018,25.753124467786193,25.451967209026606
20241112,ni2412.SF,ni2412P126000.SF,ni2412C128000.SF,24.77724149550435,24.959937734369554,24.86858961493695
20241113,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,24.77103605812205,25.406940336796268,25.08898819745916
20241114,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,23.82017165531451,24.30942958898959,24.06480062215205
20241115,ni2412.SF,ni2412P122000.SF,ni2412C124000.SF,22.265019356716344,22.09639918004931,22.180709268382827
20241118,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,24.77952708425486,25.773826497447644,25.27667679085125
20241119,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,23.953689460457774,24.32020272477543,24.136946092616604
20241120,ni2412.SF,ni2412P126000.SF,ni2412C128000.SF,19.594298515635188,23.0200427600978,21.307170637866495
20241121,ni2412.SF,ni2412P126000.SF,ni2412C128000.SF,17.32495832169975,15.423836659631492,16.374397490665622
20241122,ni2412.SF,ni2412P124000.SF,ni2412C126000.SF,16.067478374860517,15.931749135379553,15.999613755120034
20241125,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,23.70335458882258,21.54982227407377,22.626588431448177
20241126,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,19.939543240883,20.408282568189684,20.173912904536344
20241127,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,22.093561885126427,20.80715170590176,21.450356795514093
20241128,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,19.68631831144591,19.06733910004921,19.37682870574756
20241129,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,22.00466383308591,21.0103972891056,21.507530561095756
20241202,ni2501.SF,ni2501P124000.SF,ni2501C126000.SF,20.940334433309463,18.857916537439905,19.899125485374682
20241203,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,20.95342686971193,21.029229836177787,20.99132835294486
20241204,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,21.848374280001405,20.52604232834595,21.18720830417368
20241205,ni2501.SF,ni2501P124000.SF,ni2501C126000.SF,20.06028557317817,20.444554455605704,20.252420014391937
20241206,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,23.48893408023096,19.625116477631117,21.557025278931036
20241209,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,22.480104931186702,21.500975873503307,21.990540402345005
20241210,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,23.364285837379796,21.97216610763618,22.66822597250799
20241211,ni2501.SF,ni2501P124000.SF,ni2501C126000.SF,23.846252597778847,22.935939656069348,23.391096126924097
20241212,ni2501.SF,ni2501P128000.SF,ni2501C130000.SF,22.140359124755335,21.859603133363752,21.99998112905954
20241213,ni2501.SF,ni2501P128000.SF,ni2501C130000.SF,22.804437059708437,20.70685644587702,21.755646752792728
20241216,ni2501.SF,ni2501P126000.SF,ni2501C128000.SF,21.816249361892392,22.957874447596723,22.387061904744556
20241217,ni2501.SF,ni2501P124000.SF,ni2501C126000.SF,22.9830549565511,23.805353406606468,23.394204181578786
20241218,ni2501.SF,ni2501P122000.SF,ni2501C124000.SF,21.85796340318435,21.739152649080452,21.7985580261324
20241219,ni2501.SF,ni2501P122000.SF,ni2501C124000.SF,20.384798175899107,21.15790784397664,20.771353009937876
20241220,ni2501.SF,ni2501P122000.SF,ni2501C124000.SF,21.541994618271257,22.300492157015793,21.921243387643525
20241223,ni2501.SF,ni2501P124000.SF,ni2501C126000.SF,21.282855274082525,22.46531625115211,21.87408576261732
20241224,ni2501.SF,ni2501P124000.SF,ni2501C126000.SF,18.770271330528693,20.599781586006827,19.68502645826776
20241225,ni2502.SF,ni2502P124000.SF,ni2502C126000.SF,19.10767660965554,18.32412349436368,18.71590005200961
20241226,ni2502.SF,ni2502P126000.SF,ni2502C128000.SF,17.11825456872835,16.937901347987605,17.028077958357976
20241227,ni2502.SF,ni2502P124000.SF,ni2502C126000.SF,17.568823309361072,16.486868940780518,17.027846125070795
20241230,ni2502.SF,ni2502P124000.SF,ni2502C126000.SF,17.740048692079178,16.86055811291492,17.30030340249705
20241231,ni2502.SF,ni2502P124000.SF,ni2502C126000.SF,17.794188518239128,16.648355828678287,17.221272173458708
20250102,ni2502.SF,ni2502P122000.SF,ni2502C124000.SF,18.316832131479867,17.879983324893615,18.098407728186743
20250103,ni2502.SF,ni2502P122000.SF,ni2502C124000.SF,19.168206493501252,18.243240207566583,18.705723350533916
20250106,ni2502.SF,ni2502P122000.SF,ni2502C124000.SF,21.730561093160937,20.65771180304507,21.194136448103002
20250107,ni2502.SF,ni2502P122000.SF,ni2502C124000.SF,20.934894725106272,20.299140214671386,20.61701746988883
20250108,ni2502.SF,ni2502P124000.SF,ni2502C126000.SF,20.711624537404205,20.811873915840394,20.7617492266223
20250109,ni2502.SF,ni2502P124000.SF,ni2502C126000.SF,20.177178176270736,19.201695067113715,19.689436621692224
20250110,ni2502.SF,ni2502P124000.SF,ni2502C126000.SF,19.554565742307176,18.52110327082114,19.03783450656416
20250113,ni2502.SF,ni2502P126000.SF,ni2502C128000.SF,21.049726390289038,20.38478108902356,20.7172537396563
20250114,ni2502.SF,ni2502P126000.SF,ni2502C128000.SF,21.32201341003017,19.049219933351488,20.18561667169083
20250115,ni2502.SF,ni2502P126000.SF,ni2502C128000.SF,21.27516056729073,20.68458947247263,20.979875019881682
20250116,ni2502.SF,ni2502P128000.SF,ni2502C130000.SF,20.800058989054065,20.626356878610693,20.71320793383238
20250117,ni2502.SF,ni2502P128000.SF,ni2502C130000.SF,18.357228793276075,20.909545876390098,19.63338733483309
20250120,ni2502.SF,ni2502P126000.SF,ni2502C128000.SF,24.26843196514058,23.503312102588993,23.885872033864786
