date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20241025,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,15.945536591743542,14.399386489256184,15.172461540499864
20241028,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,17.323784625322038,14.811132877947284,16.06745875163466
20241029,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,15.939005915131755,16.020044773163445,15.9795253441476
20241030,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,17.24163520920397,16.958763350466857,17.100199279835415
20241031,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,15.917539306315936,15.856833760296428,15.887186533306181
20241101,pb2412.SF,pb2412P16800.SF,pb2412C17000.SF,15.113207133485886,15.21243983248597,15.162823482985928
20241104,pb2412.SF,pb2412P16800.SF,pb2412C17000.SF,15.87357351576402,19.38196931025815,17.627771413011086
20241105,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,17.532808328812365,17.12148502577632,17.327146677294344
20241106,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,16.844673231394975,16.978857616853368,16.91176542412417
20241107,pb2412.SF,pb2412P16800.SF,pb2412C17000.SF,17.36770095547159,17.290507354671618,17.329104155071605
20241108,pb2412.SF,pb2412P16800.SF,pb2412C17000.SF,16.145427632329675,16.40026286731414,16.272845249821906
20241111,pb2412.SF,pb2412P16800.SF,pb2412C17000.SF,17.877439210815567,15.488102337128304,16.682770773971935
20241112,pb2412.SF,pb2412P16800.SF,pb2412C17000.SF,16.721925170640382,15.355024036105988,16.038474603373185
20241113,pb2412.SF,pb2412P17000.SF,pb2412C17200.SF,17.433847885328543,15.83260688829388,16.63322738681121
20241114,pb2412.SF,pb2412P16800.SF,pb2412C17000.SF,15.138024523119666,16.56729837409395,15.85266144860681
20241115,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,15.078354847566134,12.172718801206399,13.625536824386266
20241118,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,15.718658963577658,14.433055745294165,15.075857354435911
20241119,pb2412.SF,pb2412P16600.SF,pb2412C16800.SF,15.229243650580438,15.977171100493361,15.6032073755369
20241120,pb2412.SF,pb2412P16800.SF,pb2412C17000.SF,13.488262045011327,14.387685361244037,13.937973703127682
20241121,pb2501.SF,pb2501P16800.SF,pb2501C17000.SF,13.962064749640831,13.383452260947488,13.672758505294158
20241122,pb2501.SF,pb2501P16800.SF,pb2501C17000.SF,13.87563243679422,12.876367786413907,13.376000111604064
20241125,pb2501.SF,pb2501P17000.SF,pb2501C17200.SF,14.095502685474115,15.30818540111343,14.701844043293772
20241126,pb2501.SF,pb2501P17000.SF,pb2501C17400.SF,14.243325782209123,13.224258054797811,13.733791918503467
20241127,pb2501.SF,pb2501P17200.SF,pb2501C17400.SF,13.6531994093294,12.437109539138792,13.045154474234096
20241128,pb2501.SF,pb2501P17200.SF,pb2501C17400.SF,11.875622361068276,11.971509901169469,11.923566131118871
20241129,pb2501.SF,pb2501P17200.SF,pb2501C17400.SF,13.847892147141044,11.343265133052821,12.595578640096932
20241202,pb2501.SF,pb2501P17600.SF,pb2501C17800.SF,16.185747739002075,15.079520204525288,15.632633971763681
20241203,pb2501.SF,pb2501P17400.SF,pb2501C17600.SF,13.837443365061814,14.693447752918107,14.26544555898996
20241204,pb2501.SF,pb2501P17600.SF,pb2501C17800.SF,16.325732255960506,14.500132879755077,15.41293256785779
20241205,pb2501.SF,pb2501P17600.SF,pb2501C17800.SF,14.872171332698231,14.567088267608963,14.719629800153598
20241206,pb2501.SF,pb2501P17600.SF,pb2501C17800.SF,14.42730098080814,15.186315837930422,14.806808409369282
20241209,pb2501.SF,pb2501P17600.SF,pb2501C17800.SF,16.951397940759342,13.238533446093653,15.094965693426499
