date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,pg2402.DF,pg2402-P-4950.DF,pg2402-C-5000.DF,26.23942846191134,26.95699175824081,26.598210110076074
20240103,pg2402.DF,pg2402-P-4850.DF,pg2402-C-4900.DF,22.965218051658766,21.856853917319246,22.411035984489004
20240104,pg2402.DF,pg2402-P-4750.DF,pg2402-C-4800.DF,21.828886107487307,23.438336404326435,22.63361125590687
20240105,pg2402.DF,pg2402-P-4650.DF,pg2402-C-4700.DF,22.709637413989533,21.222933473492645,21.96628544374109
20240108,pg2403.DF,pg2403-P-4400.DF,pg2403-C-4450.DF,20.872169382124888,26.82843624296677,23.850302812545827
20240109,pg2403.DF,pg2403-P-4300.DF,pg2403-C-4350.DF,28.466233839580912,25.800999831065035,27.133616835322975
20240110,pg2403.DF,pg2403-P-4300.DF,pg2403-C-4350.DF,27.430621332035678,25.653552860794893,26.542087096415287
20240111,pg2403.DF,pg2403-P-4250.DF,pg2403-C-4300.DF,26.96211510608057,26.656963051742704,26.809539078911637
20240112,pg2403.DF,pg2403-P-4250.DF,pg2403-C-4300.DF,26.508066198990747,26.809653733207494,26.658859966099122
20240115,pg2403.DF,pg2403-P-4200.DF,pg2403-C-4300.DF,27.813337620172053,27.338298147492495,27.575817883832272
20240116,pg2403.DF,pg2403-P-4250.DF,pg2403-C-4300.DF,27.964074776041414,27.92982939253025,27.946952084285833
20240117,pg2403.DF,pg2403-P-4200.DF,pg2403-C-4250.DF,27.484548002732943,26.844543425009228,27.164545713871085
20240118,pg2403.DF,pg2403-P-4200.DF,pg2403-C-4250.DF,26.202925211667427,26.54262110631585,26.372773158991638
20240119,pg2403.DF,pg2403-P-4250.DF,pg2403-C-4300.DF,27.189564372944545,26.06797762173606,26.628770997340304
20240122,pg2403.DF,pg2403-P-4250.DF,pg2403-C-4300.DF,29.02923180560547,27.90536378573117,28.46729779566832
20240123,pg2403.DF,pg2403-P-4250.DF,pg2403-C-4300.DF,26.098961448283752,27.13338527472462,26.616173361504188
20240124,pg2403.DF,pg2403-P-4250.DF,pg2403-C-4300.DF,27.035770330764308,27.222595611211737,27.129182970988023
20240125,pg2403.DF,pg2403-P-4300.DF,pg2403-C-4350.DF,26.278840321366076,26.868836087547006,26.573838204456543
20240126,pg2403.DF,pg2403-P-4300.DF,pg2403-C-4350.DF,26.400279301324254,25.949795417499466,26.17503735941186
20240129,pg2403.DF,pg2403-P-4300.DF,pg2403-C-4350.DF,28.811184941422326,28.676633082628634,28.74390901202548
20240130,pg2403.DF,pg2403-P-4350.DF,pg2403-C-4400.DF,29.169406087510612,29.344392752885852,29.25689942019823
20240131,pg2403.DF,pg2403-P-4100.DF,pg2403-C-4150.DF,35.090116077418394,31.51061259489918,33.300364336158786
20240201,pg2403.DF,pg2403-P-4100.DF,pg2403-C-4150.DF,33.09803572276695,31.717478382113573,32.40775705244026
