date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20250520,ps2507.GF,ps2507-P-35500.GF,ps2507-C-36000.GF,32.21251243185002,29.52623961330722,30.86937602257862
20250521,ps2507.GF,ps2507-P-35500.GF,ps2507-C-36000.GF,31.437237046584237,30.03086760320607,30.734052324895156
20250522,ps2507.GF,ps2507-P-36000.GF,ps2507-C-36500.GF,33.12041678345196,28.76995090250545,30.945183842978704
20250523,ps2507.GF,ps2507-P-36000.GF,ps2507-C-36500.GF,27.96626904847613,26.59316178255953,27.27971541551783
20250526,ps2507.GF,ps2507-P-34500.GF,ps2507-C-35000.GF,29.82920019549926,27.23773209690266,28.53346614620096
20250527,ps2507.GF,ps2507-P-35000.GF,ps2507-C-35500.GF,29.96596323307396,26.7888965301154,28.37742988159468
20250528,ps2507.GF,ps2507-P-35000.GF,ps2507-C-35500.GF,29.19513074910936,27.917588201814485,28.556359475461925
20250529,ps2507.GF,ps2507-P-35000.GF,ps2507-C-35500.GF,30.370322160824188,26.79693263630409,28.58362739856414
20250530,ps2507.GF,ps2507-P-35500.GF,ps2507-C-36000.GF,29.32199388102298,27.0933383872474,28.207666134135188
20250603,ps2507.GF,ps2507-P-34000.GF,ps2507-C-34500.GF,30.384270234867504,28.723452515200957,29.55386137503423
20250604,ps2507.GF,ps2507-P-35000.GF,ps2507-C-35500.GF,27.001754972009245,25.84893922282092,26.425347097415084
20250605,ps2507.GF,ps2507-P-34500.GF,ps2507-C-35000.GF,25.20247693664161,23.60554009791865,24.40400851728013
20250606,ps2507.GF,ps2507-P-34500.GF,ps2507-C-35000.GF,17.867421982645475,18.1612328980882,18.014327440366834
20250609,ps2508.GF,ps2508-P-32500.GF,ps2508-C-33000.GF,27.760382262605752,26.81890852222763,27.28964539241669
20250610,ps2508.GF,ps2508-P-32500.GF,ps2508-C-33000.GF,30.76157901511885,29.616649196115656,30.189114105617254
20250611,ps2508.GF,ps2508-P-32500.GF,ps2508-C-33000.GF,28.4549428227084,27.8187578122702,28.136850317489294
20250612,ps2508.GF,ps2508-P-32500.GF,ps2508-C-33000.GF,27.33467776625208,26.16279124205945,26.748734504155763
20250613,ps2508.GF,ps2508-P-32500.GF,ps2508-C-33000.GF,28.54681179130995,27.17148276880576,27.85914728005785
20250616,ps2508.GF,ps2508-P-33000.GF,ps2508-C-33500.GF,29.29146617406861,28.23280000995812,28.762133092013364
20250617,ps2508.GF,ps2508-P-32500.GF,ps2508-C-33000.GF,27.570839736469825,26.21875215414023,26.894795945305027
20250618,ps2508.GF,ps2508-P-32500.GF,ps2508-C-33000.GF,28.448979873442827,26.871941500568493,27.66046068700566
20250619,ps2508.GF,ps2508-P-32000.GF,ps2508-C-32500.GF,26.186976845781626,26.86444107794596,26.525708961863792
20250620,ps2508.GF,ps2508-P-31000.GF,ps2508-C-31500.GF,27.93808635549886,27.932635857709982,27.93536110660442
20250623,ps2508.GF,ps2508-P-30500.GF,ps2508-C-31000.GF,30.38640066268533,30.065805717399808,30.22610319004257
20250624,ps2508.GF,ps2508-P-31000.GF,ps2508-C-31500.GF,27.10067332080651,27.75586744125824,27.428270381032373
20250625,ps2508.GF,ps2508-P-30500.GF,ps2508-C-31000.GF,26.502891024018695,25.253309300963046,25.878100162490878
20250626,ps2508.GF,ps2508-P-31500.GF,ps2508-C-32000.GF,26.297647245210108,25.56931449157116,25.93348086839063
20250627,ps2508.GF,ps2508-P-33000.GF,ps2508-C-33500.GF,28.063389609103663,28.92553337220146,28.49446149065256
20250630,ps2508.GF,ps2508-P-33500.GF,ps2508-C-34000.GF,34.065681579957634,32.17619273284259,33.12093715640011
