date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,rb2405.SF,rb2405P4000.SF,rb2405C4050.SF,16.409804184389312,13.473766985701488,14.9417855850454
20240103,rb2405.SF,rb2405P4050.SF,rb2405C4100.SF,16.628949318646217,13.438987914961928,15.033968616804072
20240104,rb2405.SF,rb2405P4000.SF,rb2405C4050.SF,16.14106971248746,13.342596845434837,14.741833278961149
20240105,rb2405.SF,rb2405P3950.SF,rb2405C4000.SF,15.685766142062088,12.799657258763594,14.24271170041284
20240108,rb2405.SF,rb2405P3900.SF,rb2405C4000.SF,15.403773892476384,13.062844179681024,14.233309036078705
20240109,rb2405.SF,rb2405P3900.SF,rb2405C3950.SF,14.759896548727673,12.161502543963122,13.460699546345397
20240110,rb2405.SF,rb2405P3850.SF,rb2405C3900.SF,15.189234746538268,12.792466288430349,13.990850517484308
20240111,rb2405.SF,rb2405P3900.SF,rb2405C3950.SF,15.121796090883127,12.651751373953331,13.886773732418229
20240112,rb2405.SF,rb2405P3900.SF,rb2405C3950.SF,15.241018254441933,13.189093933178606,14.215056093810269
20240115,rb2405.SF,rb2405P3850.SF,rb2405C3900.SF,15.206733093365896,13.075702239548608,14.141217666457251
20240116,rb2405.SF,rb2405P3850.SF,rb2405C3900.SF,15.296093315658595,12.332287864590336,13.814190590124465
20240117,rb2405.SF,rb2405P3850.SF,rb2405C3900.SF,15.45668789320488,13.787578290690709,14.622133091947795
20240118,rb2405.SF,rb2405P3900.SF,rb2405C3950.SF,15.116217047432345,12.754220558605187,13.935218803018767
20240119,rb2405.SF,rb2405P3900.SF,rb2405C3950.SF,14.914000347096826,12.96035966984003,13.937180008468427
20240122,rb2405.SF,rb2405P3900.SF,rb2405C3950.SF,14.882516758899406,13.109814732998407,13.996165745948907
20240123,rb2405.SF,rb2405P3900.SF,rb2405C3950.SF,15.08801907891974,12.584302396144906,13.836160737532323
20240124,rb2405.SF,rb2405P3950.SF,rb2405C4000.SF,15.27301511037808,12.534401175925963,13.90370814315202
20240125,rb2405.SF,rb2405P3950.SF,rb2405C4000.SF,15.129711481827806,12.644542617103905,13.887127049465857
20240126,rb2405.SF,rb2405P3950.SF,rb2405C4000.SF,14.889177458092387,12.731700206997132,13.81043883254476
20240129,rb2405.SF,rb2405P3950.SF,rb2405C4000.SF,15.086573200258943,12.533738302005837,13.81015575113239
20240130,rb2405.SF,rb2405P3900.SF,rb2405C3950.SF,15.449746785210108,12.719837178101434,14.084791981655771
20240131,rb2405.SF,rb2405P3850.SF,rb2405C3900.SF,14.980089458580808,13.404809803180632,14.19244963088072
20240201,rb2405.SF,rb2405P3850.SF,rb2405C3900.SF,14.859150327652792,13.021719863648862,13.940435095650827
20240202,rb2405.SF,rb2405P3800.SF,rb2405C3850.SF,15.682018323964856,13.375210412352326,14.52861436815859
20240205,rb2405.SF,rb2405P3800.SF,rb2405C3850.SF,15.558428870742343,13.381406026516112,14.469917448629229
20240206,rb2405.SF,rb2405P3800.SF,rb2405C3850.SF,15.824107235986991,13.82914928575418,14.826628260870585
20240207,rb2405.SF,rb2405P3800.SF,rb2405C3850.SF,15.56740779424975,13.637478809472558,14.602443301861154
20240208,rb2405.SF,rb2405P3850.SF,rb2405C3900.SF,15.107882360051262,12.939961677580241,14.023922018815751
20240219,rb2405.SF,rb2405P3800.SF,rb2405C3850.SF,16.491662776911145,14.998696169271339,15.745179473091241
20240220,rb2405.SF,rb2405P3750.SF,rb2405C3800.SF,15.964670126190628,14.750428307655145,15.357549216922887
20240221,rb2405.SF,rb2405P3750.SF,rb2405C3800.SF,15.811849140046395,14.164267271370973,14.988058205708683
20240222,rb2405.SF,rb2405P3750.SF,rb2405C3800.SF,15.987458662490027,14.11076187444727,15.049110268468649
20240223,rb2405.SF,rb2405P3750.SF,rb2405C3800.SF,16.306108895509833,14.187814146665684,15.246961521087758
20240226,rb2405.SF,rb2405P3700.SF,rb2405C3750.SF,15.594417781123738,13.680470374676485,14.637444077900112
20240227,rb2405.SF,rb2405P3800.SF,rb2405C3850.SF,15.641170861232828,13.380493338440832,14.51083209983683
20240228,rb2405.SF,rb2405P3800.SF,rb2405C3850.SF,15.569626733149397,13.44197479674325,14.505800764946322
20240229,rb2405.SF,rb2405P3750.SF,rb2405C3800.SF,15.357802624629427,13.6862163693398,14.522009496984612
20240301,rb2405.SF,rb2405P3750.SF,rb2405C3800.SF,15.381485622657049,14.196563367127169,14.789024494892109
20240304,rb2405.SF,rb2405P3750.SF,rb2405C3800.SF,15.695198914231051,14.739385576688685,15.217292245459868
20240305,rb2405.SF,rb2405P3700.SF,rb2405C3750.SF,15.81796840590851,14.720837426476715,15.269402916192613
20240306,rb2405.SF,rb2405P3700.SF,rb2405C3750.SF,15.251497692703236,13.799359757876564,14.525428725289899
20240307,rb2405.SF,rb2405P3700.SF,rb2405C3750.SF,15.240945762360328,14.106962215366131,14.673953988863229
20240308,rb2405.SF,rb2405P3650.SF,rb2405C3700.SF,15.773487498584574,14.526234761368093,15.149861129976333
20240311,rb2405.SF,rb2405P3600.SF,rb2405C3650.SF,17.081770324468284,16.42164760126101,16.751708962864647
20240312,rb2405.SF,rb2405P3600.SF,rb2405C3650.SF,16.847684580150517,14.788120392332424,15.81790248624147
20240313,rb2405.SF,rb2405P3550.SF,rb2405C3600.SF,17.633971591858057,16.333837057853437,16.983904324855747
20240314,rb2405.SF,rb2405P3500.SF,rb2405C3550.SF,21.544754842541217,19.936253253964757,20.740504048252987
20240315,rb2405.SF,rb2405P3450.SF,rb2405C3500.SF,20.732240615127882,19.775871326583097,20.25405597085549
20240318,rb2405.SF,rb2405P3500.SF,rb2405C3550.SF,22.868729091270172,20.79068099883977,21.829705045054972
20240319,rb2405.SF,rb2405P3550.SF,rb2405C3600.SF,19.332847572147223,17.2767005928204,18.30477408248381
20240320,rb2405.SF,rb2405P3550.SF,rb2405C3600.SF,18.1384730143688,16.266005108636165,17.202239061502482
20240321,rb2405.SF,rb2405P3600.SF,rb2405C3650.SF,16.585909384752497,14.640150143401643,15.61302976407707
20240322,rb2405.SF,rb2405P3600.SF,rb2405C3650.SF,15.701477897885322,14.117607964902717,14.90954293139402
20240325,rb2405.SF,rb2405P3550.SF,rb2405C3600.SF,17.304938132440324,15.20975837587875,16.257348254159538
20240326,rb2405.SF,rb2405P3450.SF,rb2405C3500.SF,18.17215362158854,16.709251414849714,17.440702518219126
20240327,rb2405.SF,rb2405P3450.SF,rb2405C3500.SF,18.25184373186783,17.007711121745697,17.62977742680676
20240328,rb2405.SF,rb2405P3450.SF,rb2405C3500.SF,18.51597696923314,16.295705411641066,17.4058411904371
20240329,rb2405.SF,rb2405P3400.SF,rb2405C3450.SF,19.62239659475252,17.865569386740944,18.74398299074673
20240401,rb2405.SF,rb2405P3450.SF,rb2405C3500.SF,18.24260191680137,16.562245129896112,17.40242352334874
20240402,rb2405.SF,rb2405P3450.SF,rb2405C3500.SF,17.791212551498365,16.395138584372365,17.093175567935365
20240403,rb2410.SF,rb2410P3450.SF,rb2410C3500.SF,18.25963615227753,15.292878713870127,16.77625743307383
20240408,rb2410.SF,rb2410P3550.SF,rb2410C3600.SF,18.285387450289356,16.174886515622575,17.230136982955965
20240409,rb2410.SF,rb2410P3550.SF,rb2410C3600.SF,18.154876657159335,15.705315912655774,16.930096284907556
20240410,rb2410.SF,rb2410P3550.SF,rb2410C3600.SF,17.82674648714486,14.72136838269266,16.27405743491876
20240411,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,17.80103826411511,14.602894883643641,16.201966573879375
20240412,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,17.5738056642749,14.15675416174354,15.865279913009221
20240415,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,18.11696982912166,14.45179458865367,16.284382208887664
20240416,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,18.005712672970624,14.41227998935585,16.208996331163238
20240417,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,18.906106091622174,15.1241037892025,17.015104940412336
20240418,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,18.21853521708064,14.664157901218895,16.441346559149768
20240419,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,17.84899458422451,13.964069407056193,15.906531995640352
20240422,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,17.550576154265972,13.87916494111629,15.714870547691131
20240423,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,17.690926794763723,13.064548998413303,15.377737896588513
20240424,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,17.07158302692788,13.590917369447784,15.331250198187831
20240425,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,17.108690981079047,13.465450301254627,15.287070641166837
20240426,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,17.01988668509538,13.47496110753912,15.24742389631725
20240429,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,17.686076377299166,14.211648523116786,15.948862450207976
20240430,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,16.944439871601546,14.78179100657258,15.863115439087064
20240506,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,17.073221653097832,13.737426096352987,15.40532387472541
20240507,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,16.786214191845,13.61457045542628,15.20039232363564
20240508,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,16.532335794866597,13.491381579840153,15.011858687353374
20240509,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,16.453332203633252,13.504240234442038,14.978786219037644
20240510,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,16.0460390033723,13.290858082813195,14.668448543092747
20240513,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,16.21359655650385,13.310393363307544,14.761994959905696
20240514,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.41350409873075,13.367650787839864,14.890577443285308
20240515,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.25342081645946,13.50625310416245,14.879836960310955
20240516,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,16.826996538821753,13.731550614889546,15.27927357685565
20240517,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,16.96543536324548,13.853860240101668,15.409647801673573
20240520,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,16.559549570914506,13.724373926599462,15.141961748756984
20240521,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,16.555190466898313,13.341774375312557,14.948482421105435
20240522,rb2410.SF,rb2410P3750.SF,rb2410C3850.SF,16.593904341647523,13.429909939361934,15.011907140504729
20240523,rb2410.SF,rb2410P3750.SF,rb2410C3800.SF,16.497949199247305,13.405816521512486,14.951882860379897
20240524,rb2410.SF,rb2410P3750.SF,rb2410C3800.SF,16.60564784229079,13.49161739712014,15.048632619705465
20240527,rb2410.SF,rb2410P3750.SF,rb2410C3800.SF,16.703251122819346,13.684245585559415,15.193748354189381
20240528,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,16.42828927577164,13.171661619750678,14.79997544776116
20240529,rb2410.SF,rb2410P3750.SF,rb2410C3800.SF,16.41242315727446,13.695534776216936,15.0539789667457
20240530,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,16.514539773286057,13.580686453741695,15.047613113513876
20240531,rb2410.SF,rb2410P3700.SF,rb2410C3750.SF,16.535026438735816,14.22390584022771,15.379466139481764
20240603,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,16.67775667783144,13.867536226902477,15.272646452366958
20240604,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.0603806028601,13.763728204196553,14.912054403528327
20240605,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,15.903349484151816,13.642417551074331,14.772883517613074
20240606,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,16.237316735640704,13.592183507164066,14.914750121402385
20240607,rb2410.SF,rb2410P3650.SF,rb2410C3700.SF,15.738686573594629,13.526372505568682,14.632529539581656
20240611,rb2410.SF,rb2410P3550.SF,rb2410C3600.SF,16.508379303909635,14.193378449053073,15.350878876481353
20240612,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.301093418914427,14.057164540108458,15.179128979511443
20240613,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.195719673787806,13.953376125165759,15.074547899476784
20240614,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.225853541338065,13.613104472976278,14.919479007157172
20240617,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.270020246762556,13.74422168998498,15.00712096837377
20240618,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.094756902020013,13.765334165762013,14.930045533891013
20240619,rb2410.SF,rb2410P3600.SF,rb2410C3650.SF,16.33543050182313,14.382477067164709,15.35895378449392
20240620,rb2410.SF,rb2410P3550.SF,rb2410C3600.SF,16.034768388708446,14.147449796689312,15.09110909269888
20240621,rb2410.SF,rb2410P3550.SF,rb2410C3600.SF,16.077059454300084,14.431792038749292,15.254425746524689
20240624,rb2410.SF,rb2410P3500.SF,rb2410C3550.SF,16.101487967706145,14.007614902217098,15.05455143496162
20240625,rb2410.SF,rb2410P3500.SF,rb2410C3550.SF,15.595175089702701,13.671100210684425,14.633137650193564
20240626,rb2410.SF,rb2410P3550.SF,rb2410C3600.SF,15.449267865944288,13.472812451257541,14.461040158600914
