date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,si2402.GF,si2402-P-14200.GF,si2402-C-14400.GF,19.28808778408639,21.709741958936593,20.49891487151149
20240103,si2402.GF,si2402-P-14200.GF,si2402-C-14400.GF,19.326233766325796,21.011721490289325,20.16897762830756
20240104,si2402.GF,si2402-P-14200.GF,si2402-C-14400.GF,15.1639649028743,17.453742640892063,16.308853771883182
20240105,si2402.GF,si2402-P-13800.GF,si2402-C-14000.GF,13.37419751758699,18.522129988733553,15.948163753160273
20240108,si2403.GF,si2403-P-13800.GF,si2403-C-14000.GF,17.179419648941423,18.80409850101304,17.99175907497723
20240109,si2403.GF,si2403-P-13800.GF,si2403-C-14000.GF,17.0032293923616,15.093578572625033,16.048403982493316
20240110,si2403.GF,si2403-P-13800.GF,si2403-C-14000.GF,15.816690420952591,15.79364979512176,15.805170108037176
20240111,si2403.GF,si2403-P-13800.GF,si2403-C-14000.GF,15.63930441960006,15.113526099560575,15.376415259580318
20240112,si2403.GF,si2403-P-13600.GF,si2403-C-13800.GF,17.922525857946354,15.717487795827587,16.82000682688697
20240115,si2403.GF,si2403-P-13600.GF,si2403-C-13800.GF,16.71429496146916,16.04968136007436,16.381988160771762
20240116,si2403.GF,si2403-P-13400.GF,si2403-C-13600.GF,16.79042362690507,16.799472769392267,16.794948198148667
20240117,si2403.GF,si2403-P-13400.GF,si2403-C-13600.GF,17.043902671263513,17.23178680069181,17.137844735977662
20240118,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,17.78271711323292,17.009104214298112,17.395910663765516
20240119,si2403.GF,si2403-P-13400.GF,si2403-C-13600.GF,15.307498168779738,15.453701235611506,15.380599702195621
20240122,si2403.GF,si2403-P-13400.GF,si2403-C-13600.GF,15.93701137308218,17.065583541801292,16.501297457441737
20240123,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,16.372405770500798,15.649223744461837,16.010814757481317
20240124,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,15.302978148656987,15.617699130789395,15.46033863972319
20240125,si2403.GF,si2403-P-13400.GF,si2403-C-13600.GF,14.377470003509618,15.91906073543696,15.14826536947329
20240126,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,13.989160058469224,14.644257607448719,14.316708832958971
20240129,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,15.870295933882831,15.790660462255907,15.830478198069368
20240130,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,16.442444101249,16.584366966882552,16.513405534065775
20240131,si2403.GF,si2403-P-13000.GF,si2403-C-13200.GF,16.75115567825623,16.29810462762329,16.524630152939757
20240201,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,15.55059381028053,15.754888672888532,15.65274124158453
20240202,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,11.410485852154508,15.717172890172906,13.563829371163706
20240205,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,15.972597802971883,19.062239083934283,17.51741844345308
20240206,si2403.GF,si2403-P-13200.GF,si2403-C-13400.GF,17.341477737848983,18.8248611839076,18.083169460878292
20240207,si2404.GF,si2404-P-13400.GF,si2404-C-13600.GF,13.741752245261207,13.209402802194536,13.475577523727871
20240208,si2404.GF,si2404-P-13400.GF,si2404-C-13600.GF,12.043874178367089,12.223126193192387,12.133500185779738
20240219,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,16.039821285587642,15.362183261863768,15.701002273725706
20240220,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,14.22082976468839,14.90686471414132,14.563847239414855
20240221,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,14.70397080123466,14.956061489642025,14.830016145438343
20240222,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,14.88496450679142,14.296309571302885,14.590637039047152
20240223,si2404.GF,si2404-P-13400.GF,si2404-C-13600.GF,13.729108399301424,15.7607718227989,14.744940111050163
20240226,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,14.169701357521655,16.230376285718087,15.20003882161987
20240227,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,13.581248323747602,14.474702973838038,14.02797564879282
20240228,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,13.89977787354724,15.137437843180813,14.518607858364026
20240229,si2404.GF,si2404-P-13000.GF,si2404-C-13200.GF,14.281925548853975,15.606303120330237,14.944114334592106
20240301,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,16.13642581856981,19.53721825199625,17.836822035283028
20240304,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,21.641907528322136,23.29704797021889,22.469477749270514
20240305,si2404.GF,si2404-P-13200.GF,si2404-C-13400.GF,18.46328203544785,20.936474536665838,19.699878286056844
20240306,si2405.GF,si2405-P-13200.GF,si2405-C-13400.GF,14.83033519175814,16.596706487635178,15.71352083969666
20240307,si2405.GF,si2405-P-13200.GF,si2405-C-13400.GF,14.665978061017295,15.945887729898272,15.305932895457783
20240308,si2405.GF,si2405-P-13200.GF,si2405-C-13400.GF,14.818117003808808,15.360673297989793,15.0893951508993
20240311,si2405.GF,si2405-P-13000.GF,si2405-C-13200.GF,15.279246408654803,16.761339455907333,16.020292932281066
20240312,si2405.GF,si2405-P-13200.GF,si2405-C-13400.GF,16.335560738736557,18.115164678055454,17.225362708396005
20240313,si2405.GF,si2405-P-13200.GF,si2405-C-13400.GF,17.8731392059831,17.992919582434634,17.933029394208866
20240314,si2405.GF,si2405-P-13200.GF,si2405-C-13400.GF,18.25534755465021,19.623007575743102,18.93917756519666
20240315,si2405.GF,si2405-P-12600.GF,si2405-C-12800.GF,19.042025383600542,20.169019003782036,19.60552219369129
20240318,si2405.GF,si2405-P-12600.GF,si2405-C-12800.GF,21.872868166921126,23.07848672362462,22.475677445272872
20240319,si2405.GF,si2405-P-12600.GF,si2405-C-12800.GF,21.573328215338243,20.676165401784207,21.124746808561227
20240320,si2405.GF,si2405-P-12600.GF,si2405-C-12800.GF,20.194235563167386,22.724348671989997,21.45929211757869
20240321,si2405.GF,si2405-P-12600.GF,si2405-C-12800.GF,19.58655062012431,20.43968963499956,20.013120127561933
20240322,si2405.GF,si2405-P-12400.GF,si2405-C-12600.GF,19.921917286415503,21.142881938496004,20.532399612455755
20240325,si2405.GF,si2405-P-12200.GF,si2405-C-12400.GF,23.091693074431532,22.301112998703463,22.696403036567496
20240326,si2405.GF,si2405-P-12200.GF,si2405-C-12400.GF,20.78225682897155,21.933380208260473,21.357818518616014
20240327,si2405.GF,si2405-P-12000.GF,si2405-C-12200.GF,21.55913461647118,20.89094844894026,21.22504153270572
20240328,si2405.GF,si2405-P-12000.GF,si2405-C-12200.GF,21.398758508172865,22.222091602067888,21.810425055120376
20240329,si2405.GF,si2405-P-11800.GF,si2405-C-12000.GF,21.244242941208714,20.851749430657804,21.047996185933258
20240401,si2405.GF,si2405-P-11800.GF,si2405-C-12000.GF,21.774117894187093,23.319282061259212,22.54669997772315
20240402,si2405.GF,si2405-P-12000.GF,si2405-C-12200.GF,21.170922048200712,21.52525044145946,21.348086244830085
20240403,si2405.GF,si2405-P-12000.GF,si2405-C-12200.GF,14.626910512143866,15.435308855347094,15.03110968374548
20240408,si2405.GF,si2405-P-12000.GF,si2405-C-12200.GF,23.090242344263412,26.883563517379123,24.986902930821266
20240409,si2406.GF,si2406-P-12200.GF,si2406-C-12400.GF,18.58019484725027,18.89809350792144,18.739144177585857
20240410,si2406.GF,si2406-P-12200.GF,si2406-C-12400.GF,16.20768146578062,18.419588922522024,17.313635194151324
20240411,si2406.GF,si2406-P-12000.GF,si2406-C-12200.GF,18.858564071663807,17.198728970032253,18.028646520848028
20240412,si2406.GF,si2406-P-12200.GF,si2406-C-12400.GF,17.71629324080285,18.652522155058588,18.18440769793072
20240415,si2406.GF,si2406-P-12000.GF,si2406-C-12200.GF,17.60319288968086,18.285087685966893,17.944140287823878
20240416,si2406.GF,si2406-P-11800.GF,si2406-C-12000.GF,16.97751687233003,17.502678955563418,17.240097913946723
20240417,si2406.GF,si2406-P-11600.GF,si2406-C-11800.GF,17.692432894753658,18.856415525563875,18.274424210158767
20240418,si2406.GF,si2406-P-11600.GF,si2406-C-11800.GF,20.727506775610657,21.3326093659127,21.030058070761676
20240419,si2406.GF,si2406-P-11400.GF,si2406-C-11600.GF,21.685813791303023,22.15328688109424,21.919550336198633
20240422,si2406.GF,si2406-P-11600.GF,si2406-C-11800.GF,22.431772491163844,23.833210343068988,23.132491417116416
20240423,si2406.GF,si2406-P-11600.GF,si2406-C-11800.GF,20.92842868507767,22.074720357497906,21.501574521287786
20240424,si2406.GF,si2406-P-11600.GF,si2406-C-11800.GF,20.3018691282769,21.309421385500798,20.805645256888848
20240425,si2406.GF,si2406-P-11600.GF,si2406-C-11800.GF,19.28032426224633,19.838343658921488,19.55933396058391
20240426,si2406.GF,si2406-P-11600.GF,si2406-C-11800.GF,18.631284562139424,18.54649920532852,18.58889188373397
20240429,si2406.GF,si2406-P-11800.GF,si2406-C-12000.GF,20.450699625428353,20.918234215227567,20.68446692032796
20240430,si2406.GF,si2406-P-11800.GF,si2406-C-12000.GF,17.59582702217768,19.661740404255184,18.628783713216432
20240506,si2406.GF,si2406-P-11800.GF,si2406-C-12000.GF,22.83860278831697,25.18671880501272,24.012660796664846
20240507,si2406.GF,si2406-P-11800.GF,si2406-C-12000.GF,21.40407000157195,22.862269901847977,22.133169951709963
20240508,si2406.GF,si2406-P-11800.GF,si2406-C-12000.GF,20.16573283253564,25.839763500700236,23.002748166617938
20240509,si2406.GF,si2406-P-12000.GF,si2406-C-12200.GF,19.718569151411234,24.650787565212358,22.184678358311796
