date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20241028,sn2412.SF,sn2412P255000.SF,sn2412C260000.SF,21.66952451576097,20.82675887722288,21.248141696491924
20241029,sn2412.SF,sn2412P250000.SF,sn2412C255000.SF,22.900101769040692,19.7762751154501,21.338188442245396
20241030,sn2412.SF,sn2412P255000.SF,sn2412C260000.SF,21.33371595678447,20.211879300519698,20.772797628652086
20241031,sn2412.SF,sn2412P255000.SF,sn2412C260000.SF,19.32032332893642,19.639222844997366,19.479773086966894
20241101,sn2412.SF,sn2412P255000.SF,sn2412C260000.SF,21.3550712637821,21.04118797280393,21.198129618293017
20241104,sn2412.SF,sn2412P260000.SF,sn2412C265000.SF,22.294963140736744,22.453901916962216,22.374432528849482
20241105,sn2412.SF,sn2412P260000.SF,sn2412C265000.SF,22.28976213278309,21.545899701416914,21.9178309171
20241106,sn2412.SF,sn2412P260000.SF,sn2412C265000.SF,20.599266388689454,19.98671132478061,20.292988856735032
20241107,sn2412.SF,sn2412P260000.SF,sn2412C265000.SF,20.181408314017652,19.422460321774373,19.801934317896013
20241108,sn2412.SF,sn2412P260000.SF,sn2412C265000.SF,18.95139890189227,18.557970750868925,18.754684826380597
20241111,sn2412.SF,sn2412P260000.SF,sn2412C265000.SF,18.745003701187716,17.88064194065252,18.31282282092012
20241112,sn2412.SF,sn2412P255000.SF,sn2412C260000.SF,18.207243479942925,18.67648760217228,18.441865541057602
20241113,sn2412.SF,sn2412P245000.SF,sn2412C250000.SF,23.886297243552477,22.405556171200132,23.145926707376304
20241114,sn2412.SF,sn2412P240000.SF,sn2412C245000.SF,25.523536017335513,24.483797770597505,25.00366689396651
20241115,sn2412.SF,sn2412P240000.SF,sn2412C245000.SF,22.750848283074752,20.62269940161483,21.68677384234479
20241118,sn2412.SF,sn2412P240000.SF,sn2412C245000.SF,20.917768529111306,21.483542815993946,21.200655672552628
20241119,sn2412.SF,sn2412P240000.SF,sn2412C245000.SF,21.189054694938864,18.29534995055383,19.742202322746348
