date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,17.96665501993903,15.383617335676561,16.675136177807794
20240103,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,17.453982648020105,15.29896858015167,16.376475614085887
20240104,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,17.1069919548628,15.116575576695377,16.111783765779087
20240105,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,17.63018518213858,15.702829814781294,16.666507498459936
20240108,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,17.772036133546816,15.89274453492823,16.832390334237523
20240109,v2405.DF,v2405-P-5700.DF,v2405-C-5900.DF,17.20794311287655,15.935970539880906,16.571956826378727
20240110,v2405.DF,v2405-P-5700.DF,v2405-C-5800.DF,17.652171221753964,15.598185348924348,16.625178285339157
20240111,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,17.2927975472373,15.209035140486776,16.250916343862038
20240112,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.92348962548641,14.87336093998692,15.898425282736666
20240115,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.80327500247218,14.897392854810187,15.850333928641184
20240116,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.267326808434206,14.71238856604418,15.489857687239192
20240117,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.129176344837752,14.341281044845786,15.23522869484177
20240118,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.381567111330725,14.215944350851178,14.798755731090951
20240119,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.85643705965044,13.858617085119903,14.857527072385171
20240122,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.25126799716896,14.871966725148333,15.561617361158646
20240123,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,16.8550123118903,14.809147888935179,15.832080100412739
20240124,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,16.753369780982077,15.865769371485019,16.30956957623355
20240125,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,16.404168732464683,14.703784913805897,15.55397682313529
20240126,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.216459058269336,14.895122862093668,15.555790960181502
20240129,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,16.706612189621488,15.329933418484359,16.018272804052923
20240130,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.78269491903549,15.961680287744635,16.37218760339006
20240131,v2405.DF,v2405-P-5700.DF,v2405-C-5800.DF,17.305110704471588,16.02570444547519,16.665407574973386
20240201,v2405.DF,v2405-P-5700.DF,v2405-C-5800.DF,16.363889546964188,15.05353061758859,15.70871008227639
20240202,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.56896923076095,16.119900359322884,16.344434795041916
20240205,v2405.DF,v2405-P-5700.DF,v2405-C-5800.DF,16.24328462039699,14.980058509600813,15.611671564998902
20240206,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.993939697960528,15.038843773140892,15.516391735550709
20240207,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.587788935409282,15.792414956255655,16.190101945832467
20240208,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.7089454093609,14.226406877690742,14.967676143525821
20240219,v2405.DF,v2405-P-5700.DF,v2405-C-5800.DF,15.684641434007208,15.527529453086084,15.606085443546647
20240220,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.184847632133536,15.832620729239599,16.008734180686567
20240221,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.724580516235948,15.399791516095899,15.562186016165924
20240222,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.467802017996227,14.758167044490303,15.112984531243265
20240223,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.074403086037899,14.172138875897849,14.623270980967874
20240226,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.05296247715723,14.30090742726193,14.67693495220958
20240227,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,16.05339081994776,14.561922362810584,15.307656591379173
20240228,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,14.661106385642167,13.581813851323899,14.121460118483032
20240229,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,15.685206188696979,14.477728697580467,15.081467443138724
20240301,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,15.194403305025943,13.715059390363516,14.454731347694729
20240304,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,13.55971048276398,14.685866351458879,14.12278841711143
20240305,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,14.884817859125295,14.740464356514254,14.812641107819775
20240306,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,15.162789277374204,14.886868895896614,15.024829086635409
20240307,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,14.364368969187158,14.537417783560693,14.450893376373926
20240308,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,15.067914376051798,14.722625244667709,14.895269810359753
20240311,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,14.761316581613412,14.461124985042476,14.611220783327944
20240312,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,15.248360253224297,15.516372584579658,15.382366418901977
20240313,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,14.57128698243993,14.566509835659733,14.568898409049831
20240314,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.02223519423882,14.050339912872431,14.536287553555626
20240315,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,16.677894108337142,16.874816806374707,16.776355457355926
20240318,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,17.80391012000959,19.137073030492978,18.470491575251284
20240319,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,16.421225362778664,17.79150665621515,17.10636600949691
20240320,v2405.DF,v2405-P-6000.DF,v2405-C-6100.DF,19.23608165012121,19.2556319897063,19.245856819913755
20240321,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,16.244821349474712,17.391772827485024,16.818297088479866
20240322,v2405.DF,v2405-P-5900.DF,v2405-C-6000.DF,15.460872301251683,16.30094307085705,15.880907686054366
20240325,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,16.169714558091947,15.30065315133678,15.735183854714364
20240326,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,13.474516469089862,14.412532496634018,13.943524482861939
20240327,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,14.981673939256746,14.572094708103153,14.77688432367995
20240328,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,13.388840312942424,13.979794541877325,13.684317427409875
20240329,v2405.DF,v2405-P-5700.DF,v2405-C-5800.DF,14.07891429198877,13.385244087103116,13.732079189545942
20240401,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,14.792999345643834,15.68898380861376,15.240991577128796
20240402,v2405.DF,v2405-P-5700.DF,v2405-C-5800.DF,13.931995612603371,12.912877787475018,13.422436700039196
20240403,v2405.DF,v2405-P-5700.DF,v2405-C-5800.DF,11.64680257768638,11.835258286402407,11.741030432044393
20240408,v2405.DF,v2405-P-5800.DF,v2405-C-5900.DF,15.299903202330665,25.02484979714782,20.162376499739242
20240409,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,14.932098026883834,14.449554884468514,14.690826455676174
20240410,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,14.445262733181666,13.551818826133788,13.998540779657727
20240411,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,14.780888420563379,13.109743123509046,13.945315772036214
20240412,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,14.746290214220506,13.09099344942602,13.918641831823262
20240415,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,14.558560586791936,13.462910174338361,14.010735380565148
20240416,v2409.DF,v2409-P-5800.DF,v2409-C-5900.DF,14.07682158425952,12.762966795345571,13.419894189802545
20240417,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,13.989929323741096,12.819245530446777,13.404587427093936
20240418,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,14.430072357940437,13.195765617907288,13.812918987923862
20240419,v2409.DF,v2409-P-5800.DF,v2409-C-5900.DF,14.650259147602199,12.637781288826687,13.644020218214443
20240422,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,15.073795844762902,13.786358902259868,14.430077373511384
20240423,v2409.DF,v2409-P-5800.DF,v2409-C-5900.DF,14.002548253828435,12.962595696342245,13.482571975085339
20240424,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,15.162054951586606,13.985158004410936,14.573606477998771
20240425,v2409.DF,v2409-P-5900.DF,v2409-C-6000.DF,15.279120377868724,14.064926379249712,14.672023378559217
