date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,y2405.DF,y2405-P-7400.DF,y2405-C-7500.DF,17.58394544218224,15.552321394569782,16.56813341837601
20240103,y2405.DF,y2405-P-7300.DF,y2405-C-7400.DF,16.78560799456203,14.811936921275837,15.798772457918934
20240104,y2405.DF,y2405-P-7300.DF,y2405-C-7400.DF,17.07588233582664,14.663038031267172,15.869460183546906
20240105,y2405.DF,y2405-P-7300.DF,y2405-C-7400.DF,16.81088349017567,15.020671647728943,15.915777568952306
20240108,y2405.DF,y2405-P-7300.DF,y2405-C-7400.DF,16.908418346364254,15.889791785061988,16.399105065713123
20240109,y2405.DF,y2405-P-7400.DF,y2405-C-7500.DF,17.214871117724087,15.02730688190442,16.121088999814255
20240110,y2405.DF,y2405-P-7500.DF,y2405-C-7600.DF,17.169409001085338,14.45000809689887,15.809708548992104
20240111,y2405.DF,y2405-P-7500.DF,y2405-C-7600.DF,16.21504264735672,13.26320692031572,14.739124783836221
20240112,y2405.DF,y2405-P-7500.DF,y2405-C-7600.DF,16.055905048298822,13.244348385951627,14.650126717125225
20240115,y2405.DF,y2405-P-7400.DF,y2405-C-7500.DF,16.04920455829972,13.352021352168162,14.700612955233941
20240116,y2405.DF,y2405-P-7500.DF,y2405-C-7600.DF,15.86112250542576,13.623856676306223,14.742489590865992
20240117,y2405.DF,y2405-P-7400.DF,y2405-C-7500.DF,16.020486160791688,13.904908124413195,14.96269714260244
20240118,y2405.DF,y2405-P-7400.DF,y2405-C-7500.DF,16.156282245576527,13.660819012480735,14.908550629028632
20240119,y2405.DF,y2405-P-7600.DF,y2405-C-7700.DF,16.489431807934185,14.269914568084928,15.379673188009557
20240122,y2405.DF,y2405-P-7500.DF,y2405-C-7600.DF,16.58211964455604,14.308358294571436,15.44523896956374
20240123,y2405.DF,y2405-P-7600.DF,y2405-C-7700.DF,16.217583250797485,13.88859747590957,15.053090363353528
20240124,y2405.DF,y2405-P-7600.DF,y2405-C-7700.DF,15.917668417075983,13.822117307358075,14.869892862217029
20240125,y2405.DF,y2405-P-7600.DF,y2405-C-7700.DF,15.112305330982137,13.002324608634241,14.05731496980819
20240126,y2405.DF,y2405-P-7500.DF,y2405-C-7600.DF,15.82637321968477,13.258511967340858,14.542442593512813
20240129,y2405.DF,y2405-P-7300.DF,y2405-C-7500.DF,15.790794346754877,14.319725192608642,15.05525976968176
20240130,y2405.DF,y2405-P-7200.DF,y2405-C-7300.DF,16.278954297313604,15.195112761842475,15.737033529578039
20240131,y2405.DF,y2405-P-7200.DF,y2405-C-7300.DF,16.997768694314757,15.344293041918942,16.17103086811685
20240201,y2405.DF,y2405-P-7200.DF,y2405-C-7300.DF,16.61349593938436,15.234132428442932,15.923814183913645
20240202,y2405.DF,y2405-P-7100.DF,y2405-C-7200.DF,17.299522743561457,16.140311247508887,16.719916995535172
20240205,y2405.DF,y2405-P-7100.DF,y2405-C-7200.DF,17.24653046643515,15.938317343891642,16.592423905163397
20240206,y2405.DF,y2405-P-7100.DF,y2405-C-7200.DF,17.5859320242719,15.673101532408932,16.629516778340417
20240207,y2405.DF,y2405-P-7100.DF,y2405-C-7200.DF,18.055256223627143,15.92961183713082,16.99243403037898
20240208,y2405.DF,y2405-P-7100.DF,y2405-C-7200.DF,16.44928255219429,15.459312812916295,15.954297682555293
