date,main_contract,put_option,call_option,put_iv,call_iv,avg_iv
20240102,zn2402.SF,zn2402P21600.SF,zn2402C21800.SF,16.188843872036955,14.446983935895597,15.317913903966275
20240103,zn2402.SF,zn2402P21600.SF,zn2402C21800.SF,16.033556086630853,13.870296790532697,14.951926438581776
20240104,zn2402.SF,zn2402P21200.SF,zn2402C21400.SF,14.62974956091302,13.045457613993092,13.837603587453057
20240105,zn2402.SF,zn2402P21200.SF,zn2402C21400.SF,14.646786141763846,13.748752882827514,14.197769512295679
20240108,zn2402.SF,zn2402P21200.SF,zn2402C21400.SF,14.869444102858404,15.351457311903506,15.110450707380956
20240109,zn2402.SF,zn2402P21200.SF,zn2402C21400.SF,14.899950732328731,14.481241911996845,14.690596322162788
20240110,zn2402.SF,zn2402P21000.SF,zn2402C21200.SF,14.735748772930792,13.31966523234987,14.02770700264033
20240111,zn2402.SF,zn2402P21200.SF,zn2402C21400.SF,14.20632558991569,13.477922631587244,13.842124110751467
20240112,zn2402.SF,zn2402P21000.SF,zn2402C21200.SF,12.686127717174422,13.119500741158804,12.902814229166612
20240115,zn2402.SF,zn2402P21200.SF,zn2402C21400.SF,15.912770635929691,15.04687749200603,15.479824063967861
20240116,zn2402.SF,zn2402P21000.SF,zn2402C21200.SF,15.623678229368402,14.674001792604255,15.148840010986328
20240117,zn2403.SF,zn2403P21000.SF,zn2403C21200.SF,14.11515484333573,13.146894655802175,13.631024749568953
20240118,zn2403.SF,zn2403P20600.SF,zn2403C20800.SF,14.12559968753435,12.280821926096328,13.203210806815338
20240119,zn2403.SF,zn2403P20600.SF,zn2403C20800.SF,13.515016168900292,12.927059416970598,13.221037792935444
20240122,zn2403.SF,zn2403P20600.SF,zn2403C20800.SF,13.629988475708151,12.56939243247565,13.0996904540919
20240123,zn2403.SF,zn2403P20800.SF,zn2403C21000.SF,13.282677760908697,12.869980197583313,13.076328979246005
20240124,zn2403.SF,zn2403P21200.SF,zn2403C21400.SF,13.219337225981063,13.096499727009494,13.15791847649528
20240125,zn2403.SF,zn2403P21200.SF,zn2403C21400.SF,13.448786261027825,12.194720653073844,12.821753457050836
20240126,zn2403.SF,zn2403P21400.SF,zn2403C21600.SF,13.369277462577175,12.07274693928199,12.721012200929582
20240129,zn2403.SF,zn2403P21200.SF,zn2403C21400.SF,13.209294737711264,11.766153697059936,12.487724217385601
20240130,zn2403.SF,zn2403P21200.SF,zn2403C21400.SF,12.591023252931091,11.250338953699519,11.920681103315305
20240131,zn2403.SF,zn2403P21200.SF,zn2403C21400.SF,12.29092573937133,11.092458120690301,11.691691930030816
20240201,zn2403.SF,zn2403P20800.SF,zn2403C21000.SF,12.952701447272455,12.419503264172779,12.686102355722618
20240202,zn2403.SF,zn2403P20600.SF,zn2403C20800.SF,12.044359135803461,11.801599919346245,11.922979527574853
20240205,zn2403.SF,zn2403P20400.SF,zn2403C20600.SF,14.075255387727731,13.271049605950871,13.6731524968393
20240206,zn2403.SF,zn2403P20400.SF,zn2403C20600.SF,13.667375098754949,12.580121169142858,13.123748133948904
20240207,zn2403.SF,zn2403P20400.SF,zn2403C20600.SF,13.447923836285824,12.416741885157617,12.93233286072172
20240208,zn2403.SF,zn2403P20400.SF,zn2403C20600.SF,12.968761649812777,13.078511582074112,13.023636615943445
20240219,zn2403.SF,zn2403P20200.SF,zn2403C20400.SF,17.41262074130045,17.831448157888214,17.62203444959433
